currency;lcu_to_usd;year
ANG;1,790000e+00;1999
AUD;1,525918e+00;1999
AWG;1,790000e+00;1999
BBD;2,000000e+00;1999
BMD;1,000000e+00;1999
BRL;1,806813e+00;1999
BSD;1,000000e+00;1999
CAD;1,447219e+00;1999
CHF;1,592193e+00;1999
CNY;8,274750e+00;1999
CYP;5,729760e-01;1999
CZK;3,595445e+01;1999
DKK;7,396185e+00;1999
EEK;1,556541e+01;1999
EUR;9,918740e-01;1999
FKP;6,188770e-01;1999
GBP;6,185920e-01;1999
GRD;3,300213e+02;1999
HKD;7,772905e+00;1999
HUF;2,517669e+02;1999
IDR;7,049720e+03;1999
IEP;7,826290e-01;1999
INR;4,350207e+01;1999
ISK;7,249313e+01;1999
JPY;1,022115e+02;1999
KPW;9,000000e+02;1999
KRW;1,135107e+03;1999
LKR;7,175000e+01;1999
LTL;4,000000e+00;1999
LVL;5,854070e-01;1999
MTL;4,121780e-01;1999
MXN;9,477049e+00;1999
MYR;3,799848e+00;1999
NOK;8,014879e+00;1999
NZD;1,914647e+00;1999
PAB;1,000000e+00;1999
PHP;4,024963e+01;1999
PLN;4,139658e+00;1999
RON;1,827026e+00;1999
RUB;2,748277e+01;1999
SAR;3,750770e+00;1999
SEK;8,514611e+00;1999
SGD;1,666412e+00;1999
SHP;6,188770e-01;1999
SIT;1,975039e+02;1999
SKK;4,213974e+01;1999
THB;3,770041e+01;1999
TRY;5,405080e-01;1999
TWD;3,137949e+01;1999
USD;1,000000e+00;1999
VEF;6,468200e-01;1999
XDR;7,294450e-01;1999
XPF;1,187853e+02;1999
ZAR;6,159078e+00;1999
AED;3,672460e+00;2000
ALL;1,454616e+02;2000
ANG;1,790000e+00;2000
ARS;1,004842e+00;2000
AUD;1,798329e+00;2000
AWG;1,790000e+00;2000
BBD;2,000000e+00;2000
BDT;5,503224e+01;2000
BGN;2,105499e+00;2000
BHD;3,764150e-01;2000
BIF;7,510521e+02;2000
BMD;1,000000e+00;2000
BND;1,753896e+00;2000
BOB;6,469962e+00;2000
BRL;1,962433e+00;2000
BSD;1,000000e+00;2000
BTN;4,726878e+01;2000
BWP;5,438796e+00;2000
BZD;2,000000e+00;2000
CAD;1,500253e+00;2000
CHF;1,625430e+00;2000
CLP;5,762672e+02;2000
CNY;8,270000e+00;2000
COP;2,245179e+03;2000
CRC;3,229554e+02;2000
CVE;1,184976e+02;2000
CYP;6,190200e-01;2000
CZK;3,777174e+01;2000
DJF;1,777210e+02;2000
DKK;8,019889e+00;2000
DOP;1,621333e+01;2000
DZD;7,687351e+01;2000
EEK;1,677026e+01;2000
EGP;3,843554e+00;2000
ETB;8,329715e+00;2000
EUR;1,068246e+00;2000
FJD;2,202149e+00;2000
FKP;6,697580e-01;2000
GBP;6,697580e-01;2000
GIP;6,779150e-01;2000
GMD;1,599807e+01;2000
GNF;1,903740e+03;2000
GRD;3,656846e+02;2000
GTQ;7,776572e+00;2000
GYD;1,827781e+02;2000
HKD;7,800102e+00;2000
