currency,lcu_to_usd,year
ANG,1.79,1999
AUD,1.525918,1999
AWG,1.79,1999
BBD,2,1999
BMD,1,1999
BRL,1.806813,1999
BSD,1,1999
CAD,1.447219,1999
CHF,1.592193,1999
CNY,8.27475,1999
CYP,0.572976,1999
CZK,35.954454,1999
DKK,7.396185,1999
EEK,15.565408,1999
EUR,0.991874,1999
FKP,0.618877,1999
GBP,0.618592,1999
GRD,330.021307,1999
HKD,7.772905,1999
HUF,251.766863,1999
IDR,7049.719986,1999
IEP,0.782629,1999
INR,43.502065,1999
ISK,72.493132,1999
JPY,102.211516,1999
KPW,900,1999
KRW,1135.106541,1999
LKR,71.75,1999
LTL,4,1999
LVL,0.585407,1999
MTL,0.412178,1999
MXN,9.477049,1999
MYR,3.799848,1999
NOK,8.014879,1999
NZD,1.914647,1999
PAB,1,1999
PHP,40.249626,1999
PLN,4.139658,1999
RON,1.827026,1999
RUB,27.482769,1999
SAR,3.75077,1999
SEK,8.514611,1999
SGD,1.666412,1999
SHP,0.618877,1999
SIT,197.503892,1999
SKK,42.13974,1999
THB,37.700408,1999
TRY,0.540508,1999
TWD,31.37949,1999
USD,1,1999
VEF,0.64682,1999
XDR,0.729445,1999
XPF,118.785288,1999
ZAR,6.159078,1999
AED,3.67246,2000
ALL,145.46158,2000
ANG,1.79,2000
ARS,1.004842,2000
AUD,1.798329,2000
AWG,1.79,2000
BBD,2,2000
BDT,55.032241,2000
BGN,2.105499,2000
BHD,0.376415,2000
BIF,751.052123,2000
BMD,1,2000
BND,1.753896,2000
BOB,6.469962,2000
BRL,1.962433,2000
BSD,1,2000
BTN,47.26878,2000
BWP,5.438796,2000
BZD,2,2000
CAD,1.500253,2000
CHF,1.62543,2000
CLP,576.267194,2000
CNY,8.27,2000
COP,2245.178791,2000
CRC,322.9554,2000
CVE,118.497582,2000
CYP,0.61902,2000
CZK,37.771743,2000
DJF,177.721,2000
DKK,8.019889,2000
DOP,16.213325,2000
DZD,76.873509,2000
EEK,16.770256,2000
EGP,3.843554,2000
ETB,8.329715,2000
EUR,1.068246,2000
FJD,2.202149,2000
FKP,0.669758,2000
GBP,0.669758,2000
GIP,0.677915,2000
GMD,15.998066,2000
GNF,1903.739925,2000
GRD,365.684645,2000
GTQ,7.776572,2000
GYD,182.778076,2000
HKD,7.800102,2000
HNL,15.290489000000001,2000
HRK,8.199248,2000
HTG,21.265449,2000
HUF,285.253706,2000
IDR,9923.578721,2000
IEP,0.841944,2000
ILS,4.073658,2000
INR,46.992588,2000
IQD,1994.948952,2000
IRR,1777.442235,2000
ISK,84.685653,2000
JMD,45.671037,2000
JOD,0.7095,2000
JPY,114.726753,2000
KES,78.747551,2000
KHR,3883.836647,2000
KMF,528.713595,2000
KPW,2.227727,2000
KRW,1265.410032,2000
KWD,0.307633,2000
KZT,147.436862,2000
LAK,7696.195594,2000
LBP,1521.009383,2000
LKR,83.909511,2000
LSL,6.318216,2000
LTL,4.000967,2000
LVL,0.619452,2000
LYD,0.551854,2000
MAD,10.691779,2000
MMK,6.608705,2000
MNT,1111.090811,2000
MOP,8.033889,2000
MRO,260.865126,2000
MTL,0.438878,2000
MUR,28.320258,2000
MVR,11.77,2000
MWK,48.087265,2000
MXN,9.693666,2000
MYR,3.799695,2000
NAD,7.583987,2000
NGN,111.882859,2000
NIO,13.062762,2000
NOK,8.85686,2000
NPR,75.519613,2000
NZD,2.265584,2000
OMR,0.384497,2000
PAB,1,2000
PEN,3.548277,2000
PGK,3.096292,2000
PHP,50.364589,2000
PKR,58.38336,2000
PLN,4.137346,2000
PYG,3594.605051,2000
QAR,3.64,2000
RON,2.603462,2000
RUB,28.909511,2000
SAR,3.75047,2000
SBD,5.226975,2000
SCR,6.33971,2000
SEK,9.457995,2000
SGD,1.733524,2000
SHP,0.669758,2000
SIT,228.574067,2000
SKK,47.15585,2000
SLL,1922.933907,2000
SOS,2653.175712,2000
SVC,8.865556,2000
SYP,46.812466,2000
