Year,Economy,Economy Label,Flow,Flow Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Domestic Product Missing value
2000,008,"Albania",15,"Receipts",597.8,,,17.14079,,
2000,012,"Algeria",15,"Receipts",790,"Imputed from EIU",,1.44512,,
2000,660,"Anguilla",15,"Receipts",2.189,"Imputed from IMF_bop",,1.4571,,
2000,028,"Antigua and Barbuda",15,"Receipts",25.004,,,3.18998,,
2000,533,"Aruba",16,"Payments",43.743,,,2.33489,,
2000,036,"Australia",15,"Receipts",518.334,,,0.12638,,
2000,036,"Australia",16,"Payments",868.991,,,0.21188,,
2000,044,"Bahamas",16,"Payments",56.17,,,0.69547,,
2000,048,"Bahrain",16,"Payments",1012.682,,,11.17392,,
2000,050,"Bangladesh",15,"Receipts",1967.529,,,4.32713,,
2000,050,"Bangladesh",16,"Payments",4.378,,,0.00963,,
2000,052,"Barbados",15,"Receipts",113.2,,,3.59125,,
2000,204,"Benin",15,"Receipts",85.876,,,2.44575,,
2000,068,"Bolivia (Plurinational State of)",16,"Payments",37,,,0.44059,,
2000,070,"Bosnia and Herzegovina",15,"Receipts",1580.953,,,28.3947,,
2000,072,"Botswana",16,"Payments",133.941,,,2.31399,,
2000,076,"Brazil",15,"Receipts",1349.591,,,0.2059,,
2000,076,"Brazil",16,"Payments",338.325,,,0.05162,,
2000,132,"Cabo Verde",15,"Receipts",89.761,,,14.63709,,
2000,116,"Cambodia",16,"Payments",59.618,,,1.62596,,
2000,120,"Cameroon",16,"Payments",30.055,,,0.28514,,
2000,124,"Canada",15,"Receipts",554.56,,,0.07446,,
2000,124,"Canada",16,"Payments",1696.622,,,0.2278,,
2000,344,"China, Hong Kong SAR",15,"Receipts",135.538,,,0.07895,,
2000,344,"China, Hong Kong SAR",16,"Payments",225.385,,,0.13129,,
2000,158,"China, Taiwan Province of",15,"Receipts",305,"Imputed from EIU",,0.09223,,
2000,170,"Colombia",15,"Receipts",1610.1,,,1.62259,,
2000,170,"Colombia",16,"Payments",219.2,,,0.2209,,
2000,188,"Costa Rica",15,"Receipts",136,,,0.90583,,
2000,188,"Costa Rica",16,"Payments",142.4,,,0.94846,,
2000,191,"Croatia",15,"Receipts",1008.1,,,4.62264,,
2000,191,"Croatia",16,"Payments",92.1,,,0.42232,,
2000,192,"Cuba",15,"Receipts",700,"Imputed from EIU",,2.29014,,
2000,531,"Curacao",15,"Receipts",,,"Not applicable",,,"Not applicable"
2000,531,"Curacao",16,"Payments",,,"Not applicable",,,"Not applicable"
2000,203,"Czechia",15,"Receipts",293.965,,,0.47549,,
