Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Turkiye,TUR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,108000000,124000000,124000000,126000000,157000000,190000000,268000000,404000000,689000000,815000000,850000000,1108000000,631000000,627000000,678000000,521000000,631000000,731000000,994000000
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,216603835.92,624996676.79,788698416.8004,454083461.9711,323642538.268423,444730790.483326,524163478.528777,228991809.215134,167894464.282526,143979106.230961,234618700.600525,217292317.990937,225420606.479917,..,..,..
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4135728.07,4863740.36,6511798.04614106,26532132.0306529,9940000,279685288.700009,229819782.333038,209306821.565656,150855105.344629,215775643.88998,190551293.64341,178722842.218417,153312400.478059,147156757.388012,106330982.912761,114879336.943132,119679640.769479,124630375.669198,140344309.701299,149489653.212121,178276905.235549
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83920974.73,112963012.7,130798111,164692703.2,149682266.2,126301345.8,156824249.3,141269714.4,130872345,101439361.6,82272422.79,53256538.39,38377834.32,31481969.0371486,22032304.1215837,..,..,..,..,..,..,..,..,..,..,..,..,..,26999999.9999988,35000000.0000016,48863732.651948,26782545.1641349,45702405.8364337,27971375.7452961,30901604.941008,44242618.9188504,38715810.1979153,295922112.14148,72128990.5929386,76633496.3215657,214378056.734394,87006383.2050524,81545364.5801962,149253465.262997,83216354.2530757,77650629.4705225,74973190.7473104
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91484853.444657,83804274.980466,70514090.7029224,123883259.200784,..
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79000000,89000000,77000000,71000000,104000000,150000000,124500000,121637000,132900000,148900000,209546000,173802000,179950000,201650000,263070000,266290000,216060000,223507959.12,229849970,296009591.2,214905215.9,412666784.97,602671451.28,669453676,715962015.82,714458886,564261541.640106,2051320868.26326,2395965855.79732,2746615873.18541,1252909011.69,1176110313.56,961415276.24,681627015.492267,549082042.551059,576471436.778989,445400143.824058,517668187.39298,434161569.954021
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11148148.54,10925926.21,4314815.044,9474074.364,6311111.11111111,7867901.325,9424691.2,10981481.4814815,8396296.2962963,7859259.25925926,2051851.85185185,1111111.11111111,1085185.18518518,1581851.85185185,1558148.14814815,1564444.44444444,1411481.48148148,1489292.59259259,1566737.03703704,37356938.9733342,39912337.5431445,48278132.5138068,51046970.3667893,48365332.4423548,48919119.1843307,48524100.8269397,50128385.6921298,49248879.3135012,52088361.5547778,52822644.38,54742927.4962963,55445390.1111111,54174267.5481481,47551576.2174111,44158258.3572766,52124108.4092389,55995754.8148148,57136720.0000001
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16000000,28000000,36000000,27000000,18000000,19000000,22000000,18000000,20000000,21000000,45360000.61,69720001.22,94080001.83,118440002.4,142800000,163100000,176600000,195200000,207300000,231700000,246500000,250300000,267700000,256100000,119550000,180410000,234470000,314010000,356443536.609755,463192097.270433,631436069.113049,766571548.308179,1037765445.69439,1137054505.60572,979205922.333175,887803486.561137,732414557.145982,685001365.914279,769242057.986733,1060484529.95531,1010375535.64433,669932291.414625,521040572.482506,601996355.712134,595083515.980289,519511391.828224
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31400000,37190000,3210000,8045000,3520000,18080000,22791214.4548463,25591178,184166845.259631,207369058.141488,182059933.214311,238832730.679451,223597466.863586,180494515.859856,227429876.335838,300394193.48562,314788691.745455,355297861.233836,390589978.814492,363788468.805367,358015507.114938,367496443.764591,341262575.416442,362671834.147856,304365569.428434,352775607.719648,605440454.645195,535930537.81696
