iso;quality
AE;2
AL;2
AT;3
AU;3
BA;2
BE;3
BG;2
BH;2
BR;4
CA;3
CH;4
CI;3
CL;3
CN;3
CN-RU;3
CN-UR;3
CY;2
CZ;3
DD;3
DE;4
DE-BD;3
DE-BY;3
DE-HB;3
DE-HE;3
DE-HH;3
DE-PR;3
DE-SN;3
DE-WU;3
DK;4
EE;3
EG;1
ES;3
FI;4
FR;5
GB;4
GR;3
HR;2
HU;3
IE;3
IN;3
IQ;2
IR;2
IS;3
IT;3
JO;2
KR;3
KS;2
KW;2
LB;3
LT;2
LU;3
LV;2
MD;2
ME;2
MK;2
MT;2
MY;4
NL;4
NO;4
OM;2
PL;3
PS;2
PT;3
QA;2
QE;4
QE-MER;4
QP;3
QP-MER;3
QY;4
QY-MER;4
RO;2
RS;2
RU;3
SA;0
SE;4
SI;3
SK;2
SG;3
SY;2
TH;4
TR;2
TW;3
US;5
US-AK;3
US-AL;3
US-AR;3
US-AZ;3
US-CA;3
US-CO;3
US-CT;3
US-DC;3
US-DE;3
US-FL;3
US-GA;3
US-HI;3
US-IA;3
US-ID;3
US-IL;3
US-IN;3
US-KS;3
US-KY;3
US-LA;3
US-MA;3
US-MD;3
US-ME;3
US-MI;3
US-MN;3
US-MO;3
US-MS;3
US-MT;3
US-NC;3
US-ND;3
US-NE;3
US-NH;3
US-NJ;3
US-NM;3
US-NV;3
US-NY;3
US-OH;3
US-OK;3
US-OR;3
US-PA;3
US-RI;3
US-SC;3
US-SD;3
US-TN;3
US-TX;3
US-UT;3
US-VA;3
US-VT;3
US-WA;3
US-WI;3
US-WV;3
US-WY;3
UY;3
WO;3
WO-MER;3
XA;3
XA-MER;3
XF;3
XF-MER;3
XL;3
XL-MER;3
XM;3
XN;3
XN-MER;3
XR;3
XR-MER;3
YE;2
ZA;3
AO;1
BF;1
BI;1
BJ;1
BW;1
CD;1
CF;1
CG;1
CM;1
CV;1
DJ;1
DZ;1
ET;1
GA;1
GH;1
GM;1
GN;1
GW;1
KE;1
KM;1
LR;1
LS;1
MA;1
MG;1
ML;1
MR;1
MU;1
MW;1
MZ;1
NA;1
NE;1
NG;1
QB;2
QK;2
QN;2
QO;2
QT;2
QV;2
RW;1
SC;1
SD;1
SL;1
SN;1
SS;1
ST;1
SZ;1
TD;1
TG;1
TN;1
TZ;1
UG;1
ZM;1
ZW;1
ER;0
GQ;0
LY;0
SO;0
ZZ;0
QF;2
XM-MER;3
BD;1
BT;1
KG;1
KZ;1
LA;1
LK;1
MM;1
MN;1
MV;1
NP;1
PH;1
PK;1
TJ;1
TL;1
TM;1
UZ;1
VN;1
JP;3
NZ;3
AF;0
BN;0
KH;0
KP;0
MO;0
ID;1
PG;0
