DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1995-Q1,71.768,e
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1995-Q2,72.639,e
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1995-Q3,73.440,e
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1995-Q4,74.761,e
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1996-Q1,74.254,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1996-Q2,74.912,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1996-Q3,75.243,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1996-Q4,75.811,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1997-Q1,74.483,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1997-Q2,74.586,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1997-Q3,74.758,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1997-Q4,75.766,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1998-Q1,74.596,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1998-Q2,75.299,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1998-Q3,75.679,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1998-Q4,77.177,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1999-Q1,76.247,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1999-Q2,76.704,
ESTAT:NAMQ_10_GDP(1.0),30/04/24 23:00:00,Q,PD15_NAC,NSA,B1GQ,EA19,1999-Q3,76.869,
