"TIME","GEO","UNIT","S_ADJ","NA_ITEM","Value","Flag and Footnotes"
"1975Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1975Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1975Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1975Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1976Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1976Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1976Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1976Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1977Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1977Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1977Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1977Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1978Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1978Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1978Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1978Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1979Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1979Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1979Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1979Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1980Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1980Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1980Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1980Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1981Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1981Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1981Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1981Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1982Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1982Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
