"TIME","GEO","INDIC_NA","AGGREG95","Value","Flag and Footnotes"
"1995","European Union (28 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00000",""
"1995","European Union (27 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00198",""
"1995","European Union (25 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.01775",""
"1995","European Union (15 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.06693",""
"1995","Euro area (19 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07173",""
"1995","Euro area (18 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07454",""
"1995","Euro area (17 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07627",""
"1995","Euro area (16 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07727",""
"1995","Euro area (15 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.08212",""
"1995","Euro area (13 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.08300",""
"1995","Euro area (12 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.08445",""
"1995","Euro area (11 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.09278",""
"1995","Belgium","Purchasing power parities (EU28=1)","Gross Domestic Product","1.08996",""
"1995","Bulgaria","Purchasing power parities (EU28=1)","Gross Domestic Product","0.0225226",""
"1995","Czech Republic","Purchasing power parities (EU28=1)","Gross Domestic Product","13.2471",""
"1995","Denmark","Purchasing power parities (EU28=1)","Gross Domestic Product","10.1277",""
"1995","Germany (until 1990 former territory of the FRG)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.20212",""
"1995","Estonia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.363694",""
"1995","Ireland","Purchasing power parities (EU28=1)","Gross Domestic Product","0.983767",""
"1995","Greece","Purchasing power parities (EU28=1)","Gross Domestic Product","0.685301",""
"1995","Spain","Purchasing power parities (EU28=1)","Gross Domestic Product","0.848237",""
"1995","France","Purchasing power parities (EU28=1)","Gross Domestic Product","1.18762",""
"1995","Croatia","Purchasing power parities (EU28=1)","Gross Domestic Product","3.69344",""
"1995","Italy","Purchasing power parities (EU28=1)","Gross Domestic Product","0.942947",""
"1995","Cyprus","Purchasing power parities (EU28=1)","Gross Domestic Product","0.850638",""
"1995","Latvia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.327034",""
"1995","Lithuania","Purchasing power parities (EU28=1)","Gross Domestic Product","0.413374",""
"1995","Luxembourg","Purchasing power parities (EU28=1)","Gross Domestic Product","1.13423",""
"1995","Hungary","Purchasing power parities (EU28=1)","Gross Domestic Product","73.7690",""
"1995","Malta","Purchasing power parities (EU28=1)","Gross Domestic Product","0.620154",""
"1995","Netherlands","Purchasing power parities (EU28=1)","Gross Domestic Product","1.09438",""
"1995","Austria","Purchasing power parities (EU28=1)","Gross Domestic Product","1.11658",""
"1995","Poland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.40781",""
"1995","Portugal","Purchasing power parities (EU28=1)","Gross Domestic Product","0.775690",""
"1995","Romania","Purchasing power parities (EU28=1)","Gross Domestic Product","0.0706590",""
"1995","Slovenia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.477353",""
"1995","Slovakia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.518126",""
"1995","Finland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.19480",""
"1995","Sweden","Purchasing power parities (EU28=1)","Gross Domestic Product","11.1997",""
"1995","United Kingdom","Purchasing power parities (EU28=1)","Gross Domestic Product","0.765635",""
"1995","Iceland","Purchasing power parities (EU28=1)","Gross Domestic Product","87.3514",""
"1995","Norway","Purchasing power parities (EU28=1)","Gross Domestic Product","10.9588",""
"1995","Switzerland","Purchasing power parities (EU28=1)","Gross Domestic Product","2.36736",""
"1995","Montenegro","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1995","Former Yugoslav Republic of Macedonia, the","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1995","Albania","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1995","Serbia","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1995","Turkey","Purchasing power parities (EU28=1)","Gross Domestic Product","0.0292983",""
"1995","Bosnia and Herzegovina","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1995","Kosovo (under United Nations Security Council Resolution 1244/99)","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1995","United States","Purchasing power parities (EU28=1)","Gross Domestic Product","1.19412",""
"1995","Japan","Purchasing power parities (EU28=1)","Gross Domestic Product","208.363",""
"1996","European Union (28 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00000",""
"1996","European Union (27 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00207",""
"1996","European Union (25 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.01754",""
"1996","European Union (15 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.06621",""
"1996","Euro area (19 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.06770",""
"1996","Euro area (18 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07038",""
"1996","Euro area (17 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07200",""
"1996","Euro area (16 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07293",""
"1996","Euro area (15 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07798",""
"1996","Euro area (13 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07879",""
"1996","Euro area (12 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.08035",""
"1996","Euro area (11 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.08795",""
"1996","Belgium","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07925",""
"1996","Bulgaria","Purchasing power parities (EU28=1)","Gross Domestic Product","0.0481568",""
"1996","Czech Republic","Purchasing power parities (EU28=1)","Gross Domestic Product","14.1493",""
"1996","Denmark","Purchasing power parities (EU28=1)","Gross Domestic Product","9.98770",""
"1996","Germany (until 1990 former territory of the FRG)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.17438",""
"1996","Estonia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.437772",""
"1996","Ireland","Purchasing power parities (EU28=1)","Gross Domestic Product","0.978721",""
"1996","Greece","Purchasing power parities (EU28=1)","Gross Domestic Product","0.715519",""
"1996","Spain","Purchasing power parities (EU28=1)","Gross Domestic Product","0.849243",""
"1996","France","Purchasing power parities (EU28=1)","Gross Domestic Product","1.16920",""
"1996","Croatia","Purchasing power parities (EU28=1)","Gross Domestic Product","3.70579",""
"1996","Italy","Purchasing power parities (EU28=1)","Gross Domestic Product","0.957009",""
"1996","Cyprus","Purchasing power parities (EU28=1)","Gross Domestic Product","0.842676",""
"1996","Latvia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.364827",""
"1996","Lithuania","Purchasing power parities (EU28=1)","Gross Domestic Product","0.480361",""
"1996","Luxembourg","Purchasing power parities (EU28=1)","Gross Domestic Product","1.12041",""
"1996","Hungary","Purchasing power parities (EU28=1)","Gross Domestic Product","86.5799",""
"1996","Malta","Purchasing power parities (EU28=1)","Gross Domestic Product","0.667258",""
"1996","Netherlands","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07507",""
"1996","Austria","Purchasing power parities (EU28=1)","Gross Domestic Product","1.10014",""
"1996","Poland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.60730",""
"1996","Portugal","Purchasing power parities (EU28=1)","Gross Domestic Product","0.780935",""
"1996","Romania","Purchasing power parities (EU28=1)","Gross Domestic Product","0.0993910",""
"1996","Slovenia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.513565",""
"1996","Slovakia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.524815",""
"1996","Finland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.18719",""
"1996","Sweden","Purchasing power parities (EU28=1)","Gross Domestic Product","10.9402",""
"1996","United Kingdom","Purchasing power parities (EU28=1)","Gross Domestic Product","0.758629",""
"1996","Iceland","Purchasing power parities (EU28=1)","Gross Domestic Product","88.6684",""
"1996","Norway","Purchasing power parities (EU28=1)","Gross Domestic Product","10.7012",""
"1996","Switzerland","Purchasing power parities (EU28=1)","Gross Domestic Product","2.29346",""
"1996","Montenegro","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1996","Former Yugoslav Republic of Macedonia, the","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1996","Albania","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1996","Serbia","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1996","Turkey","Purchasing power parities (EU28=1)","Gross Domestic Product","0.0504445",""
"1996","Bosnia and Herzegovina","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1996","Kosovo (under United Nations Security Council Resolution 1244/99)","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1996","United States","Purchasing power parities (EU28=1)","Gross Domestic Product","1.18135",""
"1996","Japan","Purchasing power parities (EU28=1)","Gross Domestic Product","201.313",""
"1997","European Union (28 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.000000",""
"1997","European Union (27 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00209",""
"1997","European Union (25 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.01532",""
"1997","European Union (15 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.06353",""
"1997","Euro area (19 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.03788",""
"1997","Euro area (18 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.04030",""
"1997","Euro area (17 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.04183",""
"1997","Euro area (16 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.04277",""
"1997","Euro area (15 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.04766",""
"1997","Euro area (13 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.04837",""
"1997","Euro area (12 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.04984",""
"1997","Euro area (11 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.05639",""
"1997","Belgium","Purchasing power parities (EU28=1)","Gross Domestic Product","1.06849",""
"1997","Bulgaria","Purchasing power parities (EU28=1)","Gross Domestic Product","0.490399",""
"1997","Czech Republic","Purchasing power parities (EU28=1)","Gross Domestic Product","14.8995",""
"1997","Denmark","Purchasing power parities (EU28=1)","Gross Domestic Product","9.87964",""
"1997","Germany (until 1990 former territory of the FRG)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.16009",""
"1997","Estonia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.469487",""
"1997","Ireland","Purchasing power parities (EU28=1)","Gross Domestic Product","0.999902",""
"1997","Greece","Purchasing power parities (EU28=1)","Gross Domestic Product","0.737953",""
"1997","Spain","Purchasing power parities (EU28=1)","Gross Domestic Product","0.842927",""
"1997","France","Purchasing power parities (EU28=1)","Gross Domestic Product","1.14132",""
"1997","Croatia","Purchasing power parities (EU28=1)","Gross Domestic Product","3.86670",""
"1997","Italy","Purchasing power parities (EU28=1)","Gross Domestic Product","0.956475",""
"1997","Cyprus","Purchasing power parities (EU28=1)","Gross Domestic Product","0.838239",""
"1997","Latvia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.379561",""
"1997","Lithuania","Purchasing power parities (EU28=1)","Gross Domestic Product","0.525423",""
"1997","Luxembourg","Purchasing power parities (EU28=1)","Gross Domestic Product","1.12251",""
"1997","Hungary","Purchasing power parities (EU28=1)","Gross Domestic Product","99.6649",""
"1997","Malta","Purchasing power parities (EU28=1)","Gross Domestic Product","0.655003",""
"1997","Netherlands","Purchasing power parities (EU28=1)","Gross Domestic Product","1.06629",""
"1997","Austria","Purchasing power parities (EU28=1)","Gross Domestic Product","1.08298",""
"1997","Poland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.77840",""
"1997","Portugal","Purchasing power parities (EU28=1)","Gross Domestic Product","0.787294",""
"1997","Romania","Purchasing power parities (EU28=1)","Gross Domestic Product","0.238648",""
"1997","Slovenia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.540793",""
"1997","Slovakia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.533268",""
"1997","Finland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.16851",""
