alpha2;year;p2;nhweal992j;thweal992j;ahweal992j;ohweal992j;bhweal992j;shweal992j
"FR";1807;"p0";177898.8;0;40.44121;18875.9;;1
"FR";1817;"p0";186763.6;0;33.70101;21361.88;;1
"FR";1827;"p0";199030.1;0;46.78769;21353.24;;1
"FR";1837;"p0";212004.9;0;44.4978;22666.27;;1
"FR";1847;"p0";225265.2;0;27.46151;24605.87;;1
"FR";1857;"p0";236815.8;0;49.90407;27214.86;;1
"FR";1867;"p0";239646.3;0;72.59462;30133.53;;1
"FR";1877;"p0";243667.4;0;65.06835;30706.37;;.9999999
"FR";1887;"p0";252162.4;0;78.38148;35917.64;;1
"FR";1902;"p0";261488.9;0;44.23557;43369.6;;1
"FR";1903;"p0";262333.8;0;52.18492;43524.21;;.9999999
"FR";1904;"p0";263257.1;0;51.48328;43544.15;;1
"FR";1905;"p0";264131.6;0;57.17946;43661.41;;1
"FR";1907;"p0";265560.6;0;59.88316;44086.91;;1
"FR";1909;"p0";266888.5;0;62.22719;44569.7;;1
"FR";1910;"p0";267596.1;0;67.546;44870.19;;1
"FR";1911;"p0";268375.7;0;61.65099;45163.98;;1
"FR";1912;"p0";269113.8;0;62.26635;45345.29;;1
"FR";1913;"p0";270078.1;0;69.34242;45679.39;;1
"FR";1914;"p0";271323.7;0;65.26345;42803.84;;.9999999
"FR";1915;"p0";270224.8;0;65.29095;41069.73;;.9999999
"FR";1916;"p0";268058.5;0;61.36365;38790.14;;1
"FR";1917;"p0";267257.4;0;53.78283;36008.57;;1
"FR";1918;"p0";267420.9;0;49.36561;32913.77;;1
"FR";1919;"p0";265746.9;0;45.81128;30729.16;;1
"FR";1920;"p0";271940.1;0;43.51772;28294.9;;1
"FR";1921;"p0";274463;0;41.38759;26103.09;;1
"FR";1922;"p0";276326.8;0;39.16485;24659.85;;.9999999
"FR";1923;"p0";278830.1;0;37.58515;23399.48;;1
"FR";1924;"p0";282232;0;35.64151;22314.01;;1
"FR";1925;"p0";285562;0;31.72437;21443.24;;.9999999
"FR";1926;"p0";287377.6;0;33.05805;22181.29;;1
"FR";1927;"p0";289488.3;0;32.27991;24090.33;;1
"FR";1929;"p0";292888.7;0;35.16055;29154.22;;1
"FR";1930;"p0";294542;0;38.9203;28574.2;;1
"FR";1931;"p0";297448.8;0;38.73898;26959.4;;1
"FR";1932;"p0";297663.2;0;42.70441;27798.47;;1
"FR";1933;"p0";298393.8;0;38.20028;28026.45;;1
"FR";1935;"p0";299495.3;0;42.64424;28572.21;;1
"FR";1936;"p0";297436.6;0;45.47705;29118.29;;1
"FR";1937;"p0";295365.4;0;53.82296;29753.71;;1
"FR";1938;"p0";293685.6;0;59.23191;30562.19;;1
"FR";1939;"p0";279905.5;0;58.55861;32582.52;;1
"FR";1940;"p0";279382.4;0;45.11841;22140.57;;1
"FR";1941;"p0";260810.6;0;40.64135;23843.12;;1
"FR";1942;"p0";263296.5;0;45.32087;22473.47;;1
"FR";1943;"p0";262914.9;0;38.67966;21423.97;;1
"FR";1944;"p0";260955.5;0;33.61597;18505.4;;.9999999
"FR";1945;"p0";262159.1;0;26.70938;16260.38;;1
"FR";1946;"p0";291547.4;0;24.27534;14526.81;;1
"FR";1947;"p0";293642.4;0;26.96318;14796.61;;1
"FR";1948;"p0";296139.9;0;27.00292;14997.9;;1
"FR";1949;"p0";298357;0;21.52313;15267.84;;1
"FR";1950;"p0";299844.5;0;39.71407;16718.05;;.9999999
"FR";1951;"p0";302141;0;33.29738;18246.95;;1
"FR";1952;"p0";303815.2;0;44.1407;19675.23;;1
"FR";1953;"p0";305733.5;0;44.02013;20924.17;;.9999999
"FR";1954;"p0";306944.2;0;43.78352;22180.86;;1
"FR";1955;"p0";308800.7;0;57.22799;24168.55;;1
"FR";1956;"p0";310734.9;0;68.09416;26427.22;;1
"FR";1957;"p0";312716.3;0;63.62834;28517.77;;1
"FR";1958;"p0";315036.2;0;79.13166;30785.04;;1
"FR";1959;"p0";317126.4;0;85.07822;33066.53;;1
"FR";1960;"p0";319069.1;0;93.22408;35236.66;;1
"FR";1962;"p0";321886;0;95.67622;40749.4;;1
"FR";1964;"p0";330595.2;0;113.105;46072.47;;1
"FR";1965;"p0";332870.9;0;135.0963;49200.48;;.9999999
"FR";1966;"p0";334544.1;0;172.158;52688.76;;1
"FR";1967;"p0";338503.7;0;206.8316;56078.21;;1
"FR";1968;"p0";342571.3;0;266.6425;59670.51;;1
"FR";1969;"p0";347080.8;0;326.4554;63314.73;;.9999999
"FR";1970;"p0";351718.5;168.342;1521.812;64961.2;385.8883;1
"FR";1971;"p0";356749.5;0;483.3658;66213.59;;1
"FR";1972;"p0";361012.3;0;553.2673;68834.13;;1
"FR";1973;"p0";365150.5;0;623.9968;71812.48;;1
"FR";1974;"p0";369145.2;0;575.3347;73542.67;;1
"FR";1975;"p0";372786.7;0;1518.864;74289.22;;1
"FR";1976;"p0";375910.4;0;732.5244;75850.88;;1
"FR";1977;"p0";379517.4;0;803.2728;77943.99;;1
"FR";1978;"p0";383307.4;0;669.1162;82902.79;;1
"FR";1979;"p0";386735.5;0;1880.697;87838.97;;1
"FR";1980;"p0";390554.6;0;552.3631;89013.39;;1
"FR";1981;"p0";394280;0;552.5918;88751.89;;1
"FR";1982;"p0";398249.6;0;624.2543;87253.13;;1
"FR";1983;"p0";402015.3;0;682.7208;87253.57;;1
"FR";1984;"p0";410833.5;468.9627;2189.103;87244.01;186.0362;1
"FR";1985;"p0";409975.6;225.9155;868.9058;87380.61;386.7844;1
"FR";1986;"p0";413828;151.9618;736.6844;89168.43;586.7818;1
"FR";1987;"p0";417725.8;117.5652;689.2863;91894.03;781.6433;1
"FR";1988;"p0";421525.2;95.12454;2434.252;94400.99;992.3936;1
"FR";1989;"p0";425680.6;165.8981;678.6741;100001.1;602.7861;1
"FR";1990;"p0";429620.8;463.7976;2157.54;102527.9;221.0616;1
"FR";1991;"p0";434051.5;0;1958.846;101505.7;;1
"FR";1992;"p0";435216.1;96.78916;1897.909;100412.9;1037.44;1
"FR";1993;"p0";402446.2;0;1552.347;99678.53;;1
"FR";1994;"p0";401722.2;0;1697.31;99432.65;;1
"FR";1995;"p0";436966;0;1866.481;100333.7;;1
"FR";1996;"p0";433471.6;0;1913.943;103104.8;;1
"FR";1997;"p0";430188.2;0;1804.549;106433.9;;1
"FR";1998;"p0";457362.8;0;1230.199;110945.3;;1
"FR";1999;"p0";459965;0;1334.59;121511.4;;1
"FR";2000;"p0";463606.2;0;880.2138;131024.3;;1
"FR";2001;"p0";467894.4;0;1384.553;134586.7;;1
"FR";2002;"p0";472468.6;0;1397.448;137872.3;;1
"FR";2003;"p0";476836.1;0;1461.501;147429.6;;1
"FR";2004;"p0";480640.7;0;1465.829;162935.1;;1
"FR";2005;"p0";484114.4;0;1754.083;180575.2;;1
"FR";2006;"p0";487723.1;0;1628.668;197025.7;;1
"FR";2007;"p0";491541;0;1533.308;206676.5;;1
"FR";2008;"p0";495127.4;0;1422.907;199225.5;;1
"FR";2009;"p0";498497.2;0;1190.444;191870.6;;1
"FR";2010;"p0";501103.8;0;878.9555;198410.3;;1
"FR";2011;"p0";505618.1;0;984.0267;202659.6;;1
"FR";2012;"p0";508617.1;0;1014.508;201994;;1
"FR";2013;"p0";513180;0;308.475;201147.5;;1
"FR";2014;"p0";517215.1;0;315.8376;199806.6;;1
"FR";1807;"p1";177898.8;87.62262;121.3236;19066.16;217.5941;.9999785
"FR";1817;"p1";186763.6;67.40202;101.103;21577.31;320.1286;.9999842
"FR";1827;"p1";199030.1;100.2593;147.047;21568.46;215.1267;.9999781
"FR";1837;"p1";212004.9;101.7092;146.207;22894.77;225.1002;.9999804
"FR";1847;"p1";225265.2;60.41531;87.87682;24854.14;411.3881;.9999889
"FR";1857;"p1";236815.8;94.81774;144.7218;27489.26;289.9168;.9999817
"FR";1867;"p1";239646.3;140.3496;212.9442;30437.18;216.8669;.9999759
"FR";1877;"p1";243667.4;130.1367;195.2051;31015.87;238.333;.9999788
"FR";1887;"p1";252162.4;151.8641;230.2456;36279.65;238.8955;.9999782
"FR";1902;"p1";261488.9;93.38619;137.6217;43807.22;469.0974;.9999898
"FR";1903;"p1";262333.8;104.3698;156.5548;43963.32;421.2263;.999988
"FR";1904;"p1";263257.1;102.9666;159.1301;43983.47;427.1627;.9999882
"FR";1905;"p1";264131.6;109.594;166.7734;44101.85;402.4113;.9999869
"FR";1907;"p1";265560.6;119.7663;179.6495;44531.63;371.8209;.9999863
"FR";1909;"p1";266888.5;124.4544;182.2368;45019.27;361.7331;.999986
"FR";1910;"p1";267596.1;130.8704;194.1947;45322.75;346.3178;.9999849
"FR";1911;"p1";268375.7;131.5221;193.1731;45619.56;346.8585;.9999865
"FR";1912;"p1";269113.8;124.5327;186.7991;45802.69;367.7965;.9999862
"FR";1913;"p1";270078.1;138.6848;208.0273;46140.1;332.6975;.9999849
"FR";1914;"p1";271323.7;130.5269;195.7904;43235.54;331.2385;.9999847
"FR";1915;"p1";270224.8;130.5819;202.7456;41483.92;317.6851;.999984
"FR";1916;"p1";268058.5;119.6591;181.0228;39181.34;327.4413;.9999841
"FR";1917;"p1";267257.4;107.5657;163.9096;36371.75;338.1353;.999985
"FR";1918;"p1";267420.9;100.7058;148.0968;33245.74;330.1272;.9999851
"FR";1919;"p1";265746.9;93.20226;139.0135;31039.1;333.0294;.999985
"FR";1920;"p1";271940.1;87.03543;131.669;28580.27;328.3751;.9999846
"FR";1921;"p1";274463;82.77518;124.1628;26366.34;318.5296;.9999842
"FR";1922;"p1";276326.8;79.41761;118.5825;24908.55;313.6401;.999984
"FR";1923;"p1";278830.1;75.1703;113.7995;23635.45;314.4254;.9999839
"FR";1924;"p1";282232;70.36915;106.9245;22539.04;320.2972;.999984
"FR";1925;"p1";285562;65.21121;96.05435;21659.51;332.144;.9999852
"FR";1926;"p1";287377.6;66.11609;99.17414;22405.01;338.8738;.9999851
"FR";1927;"p1";289488.3;64.55982;96.16724;24333.34;376.9115;.9999866
"FR";1929;"p1";292888.7;70.3211;104.1794;29448.35;418.7698;.999988
"FR";1930;"p1";294542;78.45839;117.3787;28862.44;367.8694;.9999864
"FR";1931;"p1";297448.8;78.10278;115.5921;27231.33;348.6602;.9999856
"FR";1932;"p1";297663.2;86.07608;128.1132;28078.83;326.2095;.9999847
