iso,year,index,currency
FR,1820,.14836352,EUR
FR,1821,.14586653,EUR
FR,1822,.13754319,EUR
FR,1823,.13712695,EUR
FR,1824,.13650276,EUR
FR,1825,.13837549,EUR
FR,1826,.14378569,EUR
FR,1827,.14961201,EUR
FR,1828,.16396977,EUR
FR,1829,.16958809,EUR
FR,1830,.16563447,EUR
FR,1831,.16438593,EUR
FR,1832,.16334546,EUR
FR,1833,.15273331,EUR
FR,1834,.15148477,EUR
FR,1835,.15273331,EUR
FR,1836,.15460607,EUR
FR,1837,.15731117,EUR
FR,1838,.16480204,EUR
FR,1839,.17208499,EUR
FR,1840,.16917181,EUR
FR,1841,.15814345,EUR
FR,1842,.16251324,EUR
FR,1843,.15668681,EUR
FR,1844,.16230509,EUR
FR,1845,.16022427,EUR
FR,1846,.17125267,EUR
FR,1847,.18207304,EUR
FR,1848,.15668681,EUR
FR,1849,.15335757,EUR
FR,1850,.15169281,EUR
FR,1851,.15148477,EUR
FR,1852,.15814345,EUR
FR,1853,.17645475,EUR
FR,1854,.19747129,EUR
FR,1855,.21078846,EUR
FR,1856,.21432607,EUR
FR,1857,.20038445,EUR
FR,1858,.18186496,EUR
FR,1859,.17229305,EUR
FR,1860,.19185299,EUR
FR,1861,.20163278,EUR
FR,1862,.19559851,EUR
FR,1863,.19310154,EUR
FR,1864,.18727507,EUR
FR,1865,.18581857,EUR
FR,1866,.19497423,EUR
FR,1867,.20662688,EUR
FR,1868,.21078846,EUR
FR,1869,.19747129,EUR
FR,1870,.20204896,EUR
FR,1871,.23513436,EUR
FR,1872,.21786344,EUR
FR,1873,.22473018,EUR
FR,1874,.22847563,EUR
FR,1875,.20246521,EUR
FR,1876,.20995626,EUR
FR,1877,.21515836,EUR
FR,1878,.21765535,EUR
FR,1879,.21432607,EUR
FR,1880,.22306544,EUR
FR,1881,.22264929,EUR
FR,1882,.21765535,EUR
FR,1883,.21994415,EUR
FR,1884,.21515836,EUR
FR,1885,.2076674,EUR
FR,1886,.20704308,EUR
FR,1887,.20412986,EUR
FR,1888,.19601455,EUR
FR,1889,.19892786,EUR
FR,1890,.20288135,EUR
FR,1891,.2065333,EUR
FR,1892,.2046745,EUR
FR,1893,.20160432,EUR
FR,1894,.20785402,EUR
FR,1895,.20244996,EUR
FR,1896,.19921073,EUR
FR,1897,.20119773,EUR
FR,1898,.19782867,EUR
FR,1899,.20456423,EUR
FR,1900,.20913412,EUR
FR,1901,.20622963,EUR
FR,1902,.20345621,EUR
FR,1903,.21078886,EUR
FR,1904,.2136616,EUR
FR,1905,.20986557,EUR
FR,1906,.21387199,EUR
FR,1907,.2170894,EUR
FR,1908,.21951418,EUR
FR,1909,.22498204,EUR
FR,1910,.23687562,EUR
FR,1911,.24330512,EUR
FR,1912,.24090058,EUR
FR,1913,.24516018,EUR
FR,1914,.24516018,EUR
FR,1915,.29100513,EUR
FR,1916,.32592586,EUR
FR,1917,.39045921,EUR
FR,1918,.50642544,EUR
FR,1919,.63303185,EUR
FR,1920,.89618671,EUR
FR,1921,.89398783,EUR
FR,1922,.9191916,EUR
FR,1923,.95782506,EUR
FR,1924,1.0942296,EUR
FR,1925,1.1347742,EUR
FR,1926,1.3914918,EUR
FR,1927,1.486993,EUR
FR,1928,1.4619011,EUR
FR,1929,1.5358121,EUR
FR,1930,1.6186924,EUR
FR,1931,1.6004552,EUR
FR,1932,1.4986743,EUR
FR,1933,1.4397799,EUR
FR,1934,1.3695674,EUR
FR,1935,1.2662907,EUR
FR,1936,1.3193467,EUR
FR,1937,1.6535693,EUR
FR,1938,1.8739897,EUR
FR,1939,1.9809214,EUR
FR,1940,2.3493736,EUR
FR,1941,2.7558136,EUR
FR,1942,3.3097339,EUR
FR,1943,4.1106873,EUR
FR,1944,5.0273728,EUR
FR,1945,7.4505668,EUR
FR,1946,11.369564,EUR
FR,1947,16.986124,EUR
FR,1948,26.923014,EUR
FR,1949,30.476845,EUR
FR,1950,33.033989,EUR
FR,1951,.060064778,EUR
FR,1952,.067964494,EUR
FR,1953,.068150647,EUR
FR,1954,.068518944,EUR
FR,1955,.069895856,EUR
FR,1956,.073427737,EUR
FR,1957,.078581333,EUR
FR,1958,.08846017,EUR
FR,1959,.094031118,EUR
FR,1960,.096541584,EUR
FR,1961,.099648565,EUR
FR,1962,.10451918,EUR
FR,1963,.11033578,EUR
FR,1964,.11493744,EUR
FR,1965,.118434,EUR
FR,1966,.121981,EUR
FR,1967,.12570615,EUR
FR,1968,.13126187,EUR
FR,1969,.14090745,EUR
FR,1970,.14850722,EUR
FR,1971,.15723081,EUR
FR,1972,.16809236,EUR
FR,1973,.18109068,EUR
FR,1974,.20162177,EUR
FR,1975,.2291186,EUR
FR,1976,.25391647,EUR
FR,1977,.27636939,EUR
FR,1978,.30189076,EUR
FR,1979,.33285525,EUR
FR,1980,.37113267,EUR
FR,1981,.4144108,EUR
FR,1982,.46455425,EUR
FR,1983,.50972521,EUR
FR,1984,.54588568,EUR
FR,1985,.57543635,EUR
FR,1986,.60541528,EUR
FR,1987,.62093216,EUR
FR,1988,.64126462,EUR
FR,1989,.66305757,EUR
FR,1990,.68133163,EUR
FR,1991,.69939131,EUR
FR,1992,.71288973,EUR
FR,1993,.7253533,EUR
FR,1994,.73351377,EUR
FR,1995,.74257368,EUR
FR,1996,.75341851,EUR
FR,1997,.76030076,EUR
FR,1998,.76816845,EUR
FR,1999,.76952493,EUR
FR,2000,.78162825,EUR
FR,2001,.79736912,EUR
FR,2002,.81505692,EUR
FR,2003,.83133698,EUR
FR,2004,.84525532,EUR
FR,2005,.8614186,EUR
FR,2006,.87985986,EUR
FR,2007,.90262383,EUR
FR,2008,.92556971,EUR
FR,2009,.929905,EUR
FR,2010,.93747634,EUR
FR,2011,.95729107,EUR
FR,2012,.9748565,EUR
FR,2013,.98225129,EUR
FR,2014,.9878493,EUR
FR,2015,1,EUR
