alpha2;year;p2;ahweal992j;ahwnfa992j;ahwhou992j;ahwbus992j;ahwfin992j;ahwfix992j;ahwcud992j;ahwbol992j;ahwequ992j;ahwpen992j;ahwdeb992j;ahwfie992j
"FR";1970;"p0p10";2812.162;1.1446404;.39170729;.75293312;2811.083;2804.9779;2801.3383;3.6396674;2.3127631;3.792327;.06561427;9.744758
"FR";1971;"p0p10";2950.759;1.0394404;.37727067;.66216972;2949.7839;2944.5721;2940.9307;3.6414238;1.8962246;3.3155508;.06469956;8.853199
"FR";1972;"p0p10";3108.372;.94604945;.35851135;.5875381;3107.4923;3102.8928;3099.2367;3.6560647;1.8631276;2.7364375;.06624023;8.255629
"FR";1973;"p0p10";3216.164;.8463572;.34240812;.50394908;3215.3841;3211.3215;3207.7507;3.5708046;2.0061399;2.0564414;.06664536;7.633386
"FR";1974;"p0p10";3192.541;.73996933;.3309594;.40900992;3191.8613;3189.0139;3185.6143;3.3995346;1.5805122;1.2669601;.0607964;6.247007
"FR";1975;"p0p10";3155.525;.61406567;.30111983;.31294584;3154.9632;3153.2615;3150.0696;3.1918607;1.2539841;.44775091;.05271013;4.893596
"FR";1976;"p0p10";3372.993;.65988838;.26538006;.39450832;3372.3807;3368.9241;3364.7309;4.1932147;1.5699254;1.8866255;.04729291;7.649766
"FR";1977;"p0p10";3612.515;.70465672;.22758984;.47706688;3611.8516;3606.4966;3601.1649;5.331778;1.6788108;3.6761129;.04154564;10.6867
"FR";1978;"p0p10";3784.648;.75680101;.19040383;.56639718;3783.9228;3776.3164;3769.448;6.8683871;1.9623407;5.6441214;.03113184;14.47485
"FR";1979;"p0p10";3934.807;.80063812;.14342333;.6572148;3934.0287;3924.3013;3915.6388;8.6625337;2.301973;7.4253585;.0219104;18.38987
"FR";1980;"p0p10";3887.068;.87718965;.13166199;.74552766;3886.2117;3877.9315;3868.9552;8.976337;2.1876987;6.0925163;.02095632;17.25655
"FR";1981;"p0p10";3874.474;.92990111;.11702684;.81287427;3873.5628;3866.9128;3858.2962;8.6166042;1.9330571;4.7169088;.01858053;15.26657
"FR";1982;"p0p10";3945.035;.96361162;.09848872;.86512289;3944.0874;3939.0547;3930.9072;8.1475209;1.7727153;3.2599801;.01612446;13.18022
"FR";1983;"p0p10";4016.148;1.0099401;.08014029;.92979985;4015.1519;4011.1156;4003.3459;7.7696962;2.2427425;1.7935794;.0137403;11.80602
"FR";1984;"p0p10";4048.522;1.0423842;.06190076;.98048345;4047.4911;4044.2924;4036.7738;7.5186568;3.0187114;.17993834;.01129522;10.71731
