Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
CPGHAM,Ghana Consumer Price Index,Consumer Price Indices,Ghana New Cedi,Ghana,Index Number,Units,Stock,none,Annual From Dec 1939 To Dec 1951<BR>Monthly From Jan 1952 To Apr 2016<BR>,"Sources: Central Bureau of Statistics, Quarterly Digest of Statistics (1948-)  Notes: Data are annual from 1948 through 1951 and monthly thereafter.",
Date,Ticker,Open,High,Low,Close,Volume,Openint
12/31/1939,CPGHAM,0.0002584,0.0002584,0.0002584,0.0002584,0,
12/31/1941,CPGHAM,0.0003902,0.0003902,0.0003902,0.0003902,0,
12/31/1942,CPGHAM,0.0004109,0.0004109,0.0004109,0.0004109,0,
12/31/1943,CPGHAM,0.0004342,0.0004342,0.0004342,0.0004342,0,
12/31/1944,CPGHAM,0.0004574,0.0004574,0.0004574,0.0004574,0,
12/31/1945,CPGHAM,0.0004807,0.0004807,0.0004807,0.0004807,0,
12/31/1946,CPGHAM,0.0005117,0.0005117,0.0005117,0.0005117,0,
12/31/1947,CPGHAM,0.000522,0.000522,0.000522,0.000522,0,
12/31/1948,CPGHAM,0.0005324,0.0005324,0.0005324,0.0005324,0,
12/31/1949,CPGHAM,0.0005825,0.0005825,0.0005825,0.0005825,0,
12/31/1950,CPGHAM,0.0006657,0.0006657,0.0006657,0.0006657,0,
12/31/1951,CPGHAM,0.0007831,0.0007831,0.0007831,0.0007831,0,
12/31/1952,CPGHAM,0.0007581,0.0007581,0.0006749,0.0007022,0,
12/31/1953,CPGHAM,0.0007113,0.0007489,0.0006509,0.0006976,0,
12/31/1954,CPGHAM,0.0007159,0.0007159,0.0006646,0.0006976,0,
12/31/1955,CPGHAM,0.0006885,0.0007296,0.000684,0.0007296,0,
12/31/1956,CPGHAM,0.0007649,0.0007649,0.0007296,0.0007444,0,
12/31/1957,CPGHAM,0.0007581,0.0007649,0.0007296,0.0007375,0,
12/31/1958,CPGHAM,0.0007649,0.0007717,0.0007375,0.0007512,0,
12/31/1959,CPGHAM,0.0007717,0.0007923,0.0007375,0.0007717,0,
12/31/1960,CPGHAM,0.0007717,0.0008071,0.0007649,0.0008071,0,
12/31/1961,CPGHAM,0.0007854,0.000904,0.0007786,0.0008686,0,
12/31/1962,CPGHAM,0.0008686,0.0009313,0.0008686,0.000904,0,
12/31/1963,CPGHAM,0.0008903,0.0010613,0.0008903,0.0009963,0,
12/31/1964,CPGHAM,0.0010396,0.0011673,0.0010396,0.0011673,0,
12/31/1965,CPGHAM,0.0011764,0.0015161,0.0011764,0.0015161,0,
12/31/1966,CPGHAM,0.0015458,0.0016985,0.0014865,0.0014865,0,
12/31/1967,CPGHAM,0.0014591,0.0015036,0.0013885,0.0014443,0,
12/31/1968,CPGHAM,0.0014865,0.0016472,0.0014705,0.0016233,0,
12/31/1969,CPGHAM,0.0016016,0.0017954,0.0016016,0.0016769,0,
12/31/1970,CPGHAM,0.0016837,0.0017931,0.0016837,0.0016883,0,
12/31/1971,CPGHAM,0.0017076,0.0020724,0.0017076,0.0018729,0,
12/31/1972,CPGHAM,0.0020052,0.0023164,0.0019721,0.0021089,0,
12/31/1973,CPGHAM,0.002126,0.0026606,0.0020895,0.0026435,0,
12/31/1974,CPGHAM,0.0026264,0.0030699,0.0026264,0.0030699,0,
12/31/1975,CPGHAM,0.0031588,0.004309,0.0031588,0.004309,0,
12/31/1976,CPGHAM,0.0045552,0.0069993,0.0045552,0.0069993,0,
12/31/1977,CPGHAM,0.0074496,0.0161383,0.0074496,0.0147589,0,
12/31/1978,CPGHAM,0.016087,0.0307707,0.016087,0.0307707,0,
12/31/1979,CPGHAM,0.0327063,0.0393203,0.029519,0.0363986,0,
12/31/1980,CPGHAM,0.0383593,0.0683719,0.0383593,0.0683719,0,
12/31/1981,CPGHAM,0.0773764,0.1368955,0.0773764,0.1368955,0,
12/31/1982,CPGHAM,0.1323426,0.1598758,0.1199228,0.1598758,0,
12/31/1983,CPGHAM,0.1755455,0.3875661,0.1755455,0.3875661,0,
12/31/1984,CPGHAM,0.3967221,0.4561649,0.3923345,0.4107743,0,
12/31/1985,CPGHAM,0.4310597,0.4908695,0.4310597,0.4908695,0,
12/31/1986,CPGHAM,0.511864,0.6545014,0.511864,0.6545014,0,
12/31/1987,CPGHAM,0.6830082,0.8782076,0.6830082,0.8782076,0,
12/31/1988,CPGHAM,0.9146575,1.1139801,0.9146575,1.1114255,0,
12/31/1989,CPGHAM,1.1550468,1.4499452,1.1550468,1.4499452,0,
12/31/1990,CPGHAM,1.5367057,1.9704979,1.5367057,1.9704979,0,
12/31/1991,CPGHAM,2.0035587,2.1883492,2.0035587,2.1726533,0,
12/31/1992,CPGHAM,2.1775858,2.462317,2.1775858,2.462317,0,
12/31/1993,CPGHAM,2.6448686,3.1432892,2.6448686,3.1432892,0,
12/31/1994,CPGHAM,3.2480973,4.217607,3.2480973,4.217607,0,
12/31/1995,CPGHAM,4.4037506,7.2044733,4.4037506,7.2044733,0,
12/31/1996,CPGHAM,7.451097,9.5575796,7.451097,9.5575796,0,
