Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
CPHKGM,Hong Kong Consumer Price Index,Consumer Price Indices,Hong Kong Dollar,Hong Kong,Index Number,Units,Stock,none,Quarterly From Mar 1947 To Dec 1950<BR>Monthly From Jan 1951 To Apr 2016<BR>,"Sources: Hong Kong Statistical Bureau, Monthly Bulletin of Statistics (1947-) Notes: Data are quarterly from 1947 to 1950 and monthly thereafter. Data are disseminated for four different CPIs, namely, Consumer Price Index (A) [CPI(A)], Consumer Price Index (B) [CPI(B)], Consumer Price Index (C) [CPI(C)] and Composite CPI. (1) The CPI(A) is based on the expenditure patterns of about 50 percent of households, in the relatively low expenditure range, in Hong Kong, which had an average monthly expenditure of $4,500-$18,499 in 1999/2000 (October 1999 - September 2000). (2) The CPI(B) is based on the expenditure patterns of the next 30 percent of households, which had an average monthly expenditure of $18,500-$32,499 in 1999/2000. (3) The CPI(C) is based on the expenditure patterns of the next 10 percent of households, which had an average monthly expenditure of $32,500-$65,999 in 1999/2000.  (4) The Composite CPI, which is the main indicator of consumer price inflation in Hong Kong, is based on the expenditure patterns of all the above households taken together. The CPIs are Laspeyres indices, with a base period of the 12-month period from October 1999 to September 2000. The CPIs cover 984 items. About 45,000 price quotations from some 4,000 outlets, including retail outlets and service providers, are obtained monthly. Prices do not include general sales tax as it does not exist in Hong Kong, but do include duties imposed on a very confined list of items such as motor spirits, tobacco, and drinks containing methyl alcohol. Prices are collected twice a week, monthly, bi-monthly, quarterly, and annually for different items. The weights are derived from the Household Expenditure Survey, and the indices are re-based and the weights revised every five years. Seasonally adjusted CPIs are also available.",
Date,Ticker,Open,High,Low,Close,Volume,Openint
12/31/1947,CPHKGM,7.0646814,7.0646814,6.2168956,6.2168956,0,
12/31/1948,CPHKGM,6.6408313,6.7821147,6.2875801,6.499548,0,
12/31/1949,CPHKGM,6.5701468,7.9124671,6.5701468,7.9124671,0,
12/31/1950,CPHKGM,7.983066,7.983066,7.5592159,7.6299004,0,
12/31/1951,CPHKGM,7.7711838,8.548285,7.7711838,8.4776005,0,
12/31/1952,CPHKGM,8.4776005,8.6895684,8.3363172,8.3363172,0,
12/31/1953,CPHKGM,8.124435,9.1841029,8.124435,8.8308517,0,
12/31/1954,CPHKGM,8.1950338,8.7602529,8.0537505,8.124435,0,
12/31/1955,CPHKGM,8.1950338,8.3363172,7.8417826,8.124435,0,
12/31/1956,CPHKGM,8.0537505,8.8308517,7.983066,8.4776005,0,
12/31/1957,CPHKGM,8.4776005,8.6488712,7.8781958,7.8781958,0,
12/31/1958,CPHKGM,7.9637884,8.4776005,7.9637884,8.3063298,0,
12/31/1959,CPHKGM,8.8201419,9.3339541,8.392008,8.392008,0,
12/31/1960,CPHKGM,8.6488712,8.8201419,8.2207373,8.3063298,0,
12/31/1961,CPHKGM,8.563193,9.0770052,8.4776005,8.4776005,0,
12/31/1962,CPHKGM,8.6317356,8.6317356,8.3029027,8.6317356,0,
12/31/1963,CPHKGM,8.6317356,8.796152,8.4673191,8.7139867,0,
12/31/1964,CPHKGM,8.7139867,9.3715668,8.5495702,8.9605685,0,
12/31/1965,CPHKGM,8.8783174,9.2894014,8.796152,9.2071503,0,
12/31/1966,CPHKGM,9.0427339,9.7451237,8.9605685,9.3021675,0,
12/31/1967,CPHKGM,9.5679412,10.7196276,9.3907587,9.9223063,0,
12/31/1968,CPHKGM,10.0108975,10.4538538,9.833715,9.9223063,0,
12/31/1969,CPHKGM,10.18808,10.9854013,10.0994888,10.542445,0,
