Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
CPKENM,Kenya Consumer Price Index,Consumer Price Indices,Kenya Shilling,Kenya,Index Number,Units,Stock,none,Monthly From Dec 1947 To Nov 2015<BR>,"Sources: Central Bureau of Statistics, Statistical Digest (1947-) Notes: Data are annual for 1945, bi-monthly through June 1962 and monthly thereafter. The Kenya CPI launched in April 2002 is based on the 1993/94 Urban Household Budget Survey (UHBS) with October 1997 as base period. Central Bureau of Statistics (CBS) collects, compiles, and disseminates the Kenya Consumer Price Indices (CPI). Retail price information is collected from 13 representative urban centers across Kenya. The information is collected from different market outlets. The indices are designed to measure changes in the general level of retail prices of goods and services consumed by Kenyan urban households. CPI data mainly involves the collection of price data by visiting the retail outlets. Prices of primary agricultural food stuffs  are collected from open markets. These items are weighed to determine their unit price. Prices of each of the rest of the items are collected from 3 different retail outlets in each of the 25 zones countrywide. In total there are 206 commodities in the  CPI basket. Nairobi's lower income has 185 items, Nairobi middle upper, 210 items while rest of urban towns have 216 items. Overall, over 11,000 quotations are used in the compilation of Kenya's CPI. However, prices of some consumer items like electricity tariffs and post & telecommunication services are centrally collected from the respective national service providers. Prices are verified both by the field and headquarter staff.  Completed price questionnaires are returned to the CPI unit at headquarters for the computation of price indices. The indices are calculated from item index to group index according to the modified Laspeyres formula. The Kenya CPI launched in April 2002 is based on the 1993/94 Urban Household Budget Survey (UHBS) with October 1997 as base period.",
Date,Ticker,Open,High,Low,Close,Volume,Openint
12/31/1947,CPKENM,0.42653,0.42653,0.42653,0.42653,0,
12/31/1948,CPKENM,0.46184,0.4686,0.45959,0.46635,0,
12/31/1949,CPKENM,0.46635,0.48279,0.46184,0.48279,0,
12/31/1950,CPKENM,0.48279,0.52408,0.48279,0.52408,0,
12/31/1951,CPKENM,0.52408,0.58109,0.52408,0.58109,0,
12/31/1952,CPKENM,0.58109,0.61856,0.58109,0.61856,0,
12/31/1953,CPKENM,0.61856,0.63732,0.61856,0.63732,0,
12/31/1954,CPKENM,0.63732,0.66545,0.63732,0.66545,0,
12/31/1955,CPKENM,0.66545,0.70782,0.66545,0.70782,0,
12/31/1956,CPKENM,0.70782,0.72047,0.70782,0.72047,0,
12/31/1957,CPKENM,0.72047,0.73943,0.72047,0.73943,0,
12/31/1958,CPKENM,0.73943,0.74574,0.73943,0.73943,0,
12/31/1959,CPKENM,0.73943,0.74574,0.73943,0.74574,0,
12/31/1960,CPKENM,0.74574,0.75206,0.74574,0.75206,0,
12/31/1961,CPKENM,0.75206,0.77102,0.75206,0.77102,0,
12/31/1962,CPKENM,0.77102,0.79957,0.77102,0.79215,0,
12/31/1963,CPKENM,0.79957,0.79957,0.79215,0.79215,0,
12/31/1964,CPKENM,0.79215,0.79215,0.78475,0.79215,0,
12/31/1965,CPKENM,0.81435,0.84399,0.80696,0.84399,0,
12/31/1966,CPKENM,0.85877,0.87359,0.85877,0.87359,0,
12/31/1967,CPKENM,0.88098,0.8884,0.8692,0.8692,0,
