Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
CPMUSM,Mauritius Consumer Price Index,Consumer Price Indices,Mauritius Rupee,Mauritius,Index Number,Units,Stock,none,Annual From Dec 1946 To Dec 1948<BR>Monthly From Jan 1949 To May 2016<BR>,"Sources: Digest of Colonial Statistics (1946-1962), Central Statistical Office, Digest of Statistics (1962-) Notes: Data are annual from 1946 through 1949, semi-annual in 1950, quarterly in 1951 and monthly thereafter. The Consumer Price Index (CPI) measures the change in the level of prices of goods and services that the private consumer buys. It is made up of a basket of goods and services which not only covers commodities of basic necessity, but includes all those forming part of private consumption expenditure. The composition of this basket reflects the general consumption pattern of all types of private households of the Republic of Mauritius. The computation of the CPI follows the ILO standards.  The composition of the CPI basket used for computing the CPI for the months of July 1997 to June 2002 has been derived from data obtained in a Household Budget Survey (HBS) conducted over the twelve-month period July 1996 - June 1997. The HBS involved 6234 households out of a total number of households of around 250,000. The weight of certain items, in particular expenditures on alcoholic beverages and tobacco, was adjusted for underreporting using information from additional sources. Excluded from the CPI are financial services, services of owner-occupied dwellings, and a few minor types of expenditures. The basket is classified at four levels with nine major commodity groups, 37 groups, 100 subgroups and 251 item classes.",
Date,Ticker,Open,High,Low,Close,Volume,Openint
12/31/1946,CPMUSM,2.27819,2.27819,2.27819,2.27819,0,
12/31/1947,CPMUSM,2.07108,2.07108,2.07108,2.07108,0,
12/31/1948,CPMUSM,2.73383,2.73383,2.73383,2.73383,0,
12/31/1949,CPMUSM,2.73051,2.76177,2.73051,2.76177,0,
12/31/1950,CPMUSM,2.90768,2.97021,2.84515,2.89726,0,
12/31/1951,CPMUSM,2.99105,3.22033,2.99105,3.22033,0,
12/31/1952,CPMUSM,3.26202,3.35582,3.2516,3.28286,0,
12/31/1953,CPMUSM,3.27244,3.32455,3.26202,3.26202,0,
12/31/1954,CPMUSM,3.28286,3.31413,3.26202,3.29329,0,
12/31/1955,CPMUSM,3.30371,3.35582,3.2516,3.28286,0,
12/31/1956,CPMUSM,3.28286,3.40793,3.28286,3.37666,0,
12/31/1957,CPMUSM,3.3975,3.3975,3.30371,3.34539,0,
12/31/1958,CPMUSM,3.36624,3.46003,3.35582,3.36624,0,
12/31/1959,CPMUSM,3.38708,3.38708,3.34539,3.34539,0,
12/31/1960,CPMUSM,3.38708,3.52257,3.38708,3.40793,0,
12/31/1961,CPMUSM,3.42877,3.47046,3.37666,3.38708,0,
12/31/1962,CPMUSM,3.44961,3.51214,3.41409,3.41409,0,
12/31/1963,CPMUSM,3.48104,3.53036,3.43171,3.47399,0,
12/31/1964,CPMUSM,3.53036,3.67482,3.45638,3.53389,0,
12/31/1965,CPMUSM,3.5656,3.66425,3.55855,3.60788,0,
12/31/1966,CPMUSM,3.71358,3.73824,3.6114,3.73119,0,
12/31/1967,CPMUSM,3.72415,3.87918,3.69244,3.87918,0,
12/31/1968,CPMUSM,3.92498,4.08,3.92498,4.02363,0,
12/31/1969,CPMUSM,4.06944,4.1857,4.06944,4.17161,0,
12/31/1970,CPMUSM,4.19627,4.27731,4.09762,4.10466,0,
12/31/1971,CPMUSM,4.13638,4.24912,4.13638,4.24912,0,
12/31/1972,CPMUSM,4.32664,4.49223,4.32664,4.49223,0,
12/31/1973,CPMUSM,4.59793,5.75713,4.59793,5.75713,0,
12/31/1974,CPMUSM,5.87339,6.82116,5.87339,6.82116,0,
12/31/1975,CPMUSM,6.87399,7.8887,6.87399,7.8887,0,
12/31/1976,CPMUSM,8.0597,8.56498,8.0597,8.56498,0,
12/31/1977,CPMUSM,8.72236,9.41815,8.72236,9.41815,0,
12/31/1978,CPMUSM,9.49269,10.1802,9.49269,10.1802,0,
12/31/1979,CPMUSM,10.4287,14.0982,10.4287,14.0982,0,
12/31/1980,CPMUSM,14.7029,17.4033,14.7029,17.4033,0,
12/31/1981,CPMUSM,17.6277,19.7495,17.6277,19.7495,0,
12/31/1982,CPMUSM,20.0148,21.0961,20.0148,21.0961,0,
12/31/1983,CPMUSM,21.3409,22.055,21.3409,21.9326,0,
12/31/1984,CPMUSM,22.4223,24.1157,22.4223,24.1157,0,
12/31/1985,CPMUSM,24.2993,25.3398,24.2993,25.2174,0,
12/31/1986,CPMUSM,25.299,25.605,25.1154,25.2174,0,
12/31/1987,CPMUSM,25.2378,25.9723,25.1944,25.4995,0,
12/31/1988,CPMUSM,26.0334,29.8723,25.7791,29.5163,0,
12/31/1989,CPMUSM,29.6943,32.7197,29.6943,32.7197,0,
12/31/1990,CPMUSM,33.5332,37.9314,33.5332,37.8043,0,
12/31/1991,CPMUSM,38.6356,38.6356,37.1747,37.8283,0,
12/31/1992,CPMUSM,38.2896,41.365,38.2896,41.365,0,
12/31/1993,CPMUSM,41.9032,45.5554,41.9032,45.5554,0,
12/31/1994,CPMUSM,45.9013,48.2848,45.9013,48.2848,0,
12/31/1995,CPMUSM,48.7846,51.1682,48.7846,51.1682,0,
12/31/1996,CPMUSM,51.3989,54.9353,51.3989,54.9353,0,
12/31/1997,CPMUSM,56.207,57.7063,56.207,57.7063,0,
12/31/1998,CPMUSM,58.5953,62.9828,58.5953,62.9828,0,
12/31/1999,CPMUSM,63.6491,66.4261,63.6491,66.4261,0,
12/31/2000,CPMUSM,66.6483,69.5364,66.6483,69.5364,0,
12/31/2001,CPMUSM,69.9252,73.202,69.9252,73.202,0,
12/31/2002,CPMUSM,74.2018,77.4982,74.2018,77.3506,0,
12/31/2003,CPMUSM,77.8673,80.3767,77.8673,80.3767,0,
12/31/2004,CPMUSM,80.9672,84.879,80.9672,84.879,0,
12/31/2005,CPMUSM,85.6909,88.2004,85.6909,88.2004,0,
12/31/2006,CPMUSM,90.8574,98.6811,90.8574,98.6811,0,
12/31/2007,CPMUSM,98.8287,142.8,98.8287,108.2,0,
12/31/2008,CPMUSM,109.6,117.2,109.6,115.5,0,
12/31/2009,CPMUSM,115.3,117.8,115.3,117.2,0,
12/31/2010,CPMUSM,118.2,124.4,118.2,124.4,0,
12/31/2011,CPMUSM,125.8,130.4,125.8,130.4,0,
12/31/2012,CPMUSM,131.9,134.6,131.9,134.6,0,
