Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
CPTWNM,Taiwan Consumer Price Index,Consumer Price Indices,Taiwan New Dollar,Taiwan,Index Number,Units,Stock,none,Annual From Dec 1897 To Jun 1951<BR>Monthly From Jul 1951 To Apr 2016<BR>,"Sources: Mizoguchi, Toshiyuki. â€œCompiling the Long-term Statistics Database for Taiwan,â€ Asian Historical Statistics Project. vol. 1, February 1996, pp. 4-6; Taiwan Central Bank, Financial Statistics Monthly (1951-) Notes: Pre-war data are taken from Mizoguchi. There is no link between the pre-war and post-war data. No international agencies have carried data for Taiwan since the People's Republic of China joined the UN in 1972; however, Taiwan publishes a statistical monthly which contains relevant economic data which is available in most libraries and the data are available over the internet.",
Date,Ticker,Open,High,Low,Close,Volume,Openint
12/31/1897,CPTWNM,0.0069162,0.0069162,0.0069162,0.0069162,0,
12/31/1898,CPTWNM,0.0074552,0.0074552,0.0074552,0.0074552,0,
12/31/1899,CPTWNM,0.0070061,0.0070061,0.0070061,0.0070061,0,
12/31/1900,CPTWNM,0.0079042,0.0079042,0.0079042,0.0079042,0,
12/31/1901,CPTWNM,0.0077247,0.0077247,0.0077247,0.0077247,0,
12/31/1902,CPTWNM,0.0079941,0.0079941,0.0079941,0.0079941,0,
12/31/1903,CPTWNM,0.0084432,0.0084432,0.0084432,0.0084432,0,
12/31/1904,CPTWNM,0.0092516,0.0092516,0.0092516,0.0092516,0,
12/31/1905,CPTWNM,0.0097007,0.0097007,0.0097007,0.0097007,0,
12/31/1906,CPTWNM,0.0097007,0.0097007,0.0097007,0.0097007,0,
12/31/1907,CPTWNM,0.0097905,0.0097905,0.0097905,0.0097905,0,
12/31/1908,CPTWNM,0.0102396,0.0102396,0.0102396,0.0102396,0,
12/31/1909,CPTWNM,0.0109581,0.0109581,0.0109581,0.0109581,0,
12/31/1910,CPTWNM,0.0118564,0.0118564,0.0118564,0.0118564,0,
12/31/1911,CPTWNM,0.0127546,0.0127546,0.0127546,0.0127546,0,
12/31/1912,CPTWNM,0.0139223,0.0139223,0.0139223,0.0139223,0,
12/31/1913,CPTWNM,0.0134732,0.0134732,0.0134732,0.0134732,0,
12/31/1914,CPTWNM,0.0132037,0.0132037,0.0132037,0.0132037,0,
12/31/1915,CPTWNM,0.0123953,0.0123953,0.0123953,0.0123953,0,
