Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
CPTZAM,Tanzania Consumer Price Index,Consumer Price Indices,Tanzania Shilling,"Tanzania, United Republic Of",Index Number,Units,Stock,none,Annual From Dec 1947 To Jun 1950<BR>Monthly From Jul 1950 To Apr 2016<BR>,"Sources: Bank of Tanzania, Economic Bulletin Notes: The National Consumer Price Index (NCPI) measures the changing cost of a fixed basket of goods and services purchased by the private consumer and is the official measure of inflation in the country. The NCPI covers 20 urban towns of mainland Tanzania and represents households of all income groups. The reference period is December 1994. Sub indices for minimum, middle, and high income groups for the mainland and for Dar-es-Salaam are also being compiled.  The NCPI basket of goods and services is derived from the 1991/92 Household Budget Survey (HBS) and contains 212 consumer items, 84 of which are food and 128 nonfood items. The index does not incorporate the imputed rents of owner-occupied dwellings, but actual rents are included. Prices are collected by personal visits of regional office staff. Market prices consisting of mainly food items are collected from central markets by actual purchases for three consecutive days during the first or second week of the month. For nonfood items pricing quotes are collected from five different outlets. The purchased items are weighted at the office to determine the unit price. Prices of other consumer items, including items like tariffs and postage stamps, are collected from their respective selling outlets. Price quotes are verified both by the regional and the central NBS offices. In addition, central office staff make frequent inspection visits.  The regional offices send the price forms to the NBS for the computation of the index. The lowest level indices are determined as simple averages of the price relatives of the basic observations. These indices are aggregated into group and overall indices according to the modified Laspeyres formula.  The representative items and varieties have been selected on a judgmental basis. Originally, the items were narrowly specified, but in actual practice frequent substitution takes place without calculation of possible quality differences. No specific outlets have been selected, although for practical reasons often prices are collected from the same outlets. However, regional offices have now been directed to select five permanent outlets.  If a seasonal item is not available in one region, its price is imputed by the price movements of that item in other regions. If exceptionally a seasonal item is not available in any region, its price is carried forward until it reappears on the market. Replacement items are used for items that have temporarily disappeared from the market. If no replacement item can be found, the weight of the permanently disappeared item is distributed over remaining items. New products are exclusively introduced when a new basket is selected, which is normally every ten years.  Notes: The National Consumer Price Index (NCPI) measures the changing cost of a fixed basket of goods and services purchased by the private consumer and is the official measure of inflation in the country. The NCPI covers 20 urban towns of mainland Tanzania and represents households of all income groups. The reference period is December 1994. Sub indices for minimum, middle, and high income groups for the mainland and for Dar-es-Salaam are also being compiled.  The NCPI basket of goods and services is derived from the 1991/92 Household Budget Survey (HBS) and contains 212 consumer items, 84 of which are food and 128 nonfood items. The index does not incorporate the imputed rents of owner-occupied dwellings, but actual rents are included. Prices are collected by personal visits of regional office staff. Market prices consisting of mainly food items are collected from central markets by actual purchases for three consecutive days during the first or second week of the month. For nonfood items pricing quotes are collected from five different outlets. The purchased items are weighted at the office to determine the unit price. Prices of other consumer items, including items like tariffs and postage stamps, are collected from their respective selling outlets. Price quotes are verified both by the regional and the central NBS offices. In addition, central office staff make frequent inspection visits.  The regional offices send the price forms to the NBS for the computation of the index. The lowest level indices are determined as simple averages of the price relatives of the basic observations. These indices are aggregated into group and overall indices according to the modified Laspeyres formula.  The representative items and varieties have been selected on a judgmental basis. Originally, the items were narrowly specified, but in actual practice frequent substitution takes place without calculation of possible quality differences. No specific outlets have been selected, although for practical reasons often prices are collected from the same outlets. However, regional offices have now been directed to select five permanent outlets.  If a seasonal item is not available in one region, its price is imputed by the price movements of that item in other regions. If exceptionally a seasonal item is not available in any region, its price is carried forward until it reappears on the market. Replacement items are used for items that have temporarily disappeared from the market. If no replacement item can be found, the weight of the permanently disappeared item is distributed over remaining items. New products are exclusively introduced when a new basket is selected, which is normally every ten years.",
Date,Ticker,Open,High,Low,Close,Volume,Openint
12/31/1947,CPTZAM,0.1273,0.1273,0.1273,0.1273,0,
12/31/1948,CPTZAM,0.135,0.135,0.135,0.135,0,
12/31/1950,CPTZAM,0.15301,0.16814,0.15301,0.16814,0,
12/31/1951,CPTZAM,0.16814,0.18495,0.16814,0.18495,0,
12/31/1952,CPTZAM,0.18495,0.20681,0.18495,0.20681,0,
12/31/1953,CPTZAM,0.20681,0.21354,0.20681,0.21017,0,
12/31/1954,CPTZAM,0.21017,0.21522,0.21017,0.21522,0,
12/31/1955,CPTZAM,0.21522,0.22194,0.21522,0.22194,0,
12/31/1956,CPTZAM,0.22194,0.22699,0.22194,0.22699,0,
12/31/1957,CPTZAM,0.22699,0.23539,0.22699,0.23539,0,
12/31/1958,CPTZAM,0.23539,0.24131,0.23539,0.24131,0,
12/31/1959,CPTZAM,0.24131,0.24131,0.24131,0.24131,0,
12/31/1960,CPTZAM,0.24131,0.24343,0.24131,0.24343,0,
12/31/1961,CPTZAM,0.24343,0.24797,0.23825,0.24797,0,
12/31/1962,CPTZAM,0.24068,0.24554,0.23582,0.24311,0,
12/31/1963,CPTZAM,0.25041,0.25041,0.23339,0.23582,0,
12/31/1964,CPTZAM,0.24068,0.24068,0.23582,0.23582,0,
12/31/1965,CPTZAM,0.24554,0.26499,0.24554,0.26499,0,
12/31/1966,CPTZAM,0.26499,0.27229,0.26013,0.27229,0,
12/31/1967,CPTZAM,0.26499,0.27958,0.26256,0.27691,0,
12/31/1968,CPTZAM,0.28372,0.28818,0.27574,0.28442,0,
12/31/1969,CPTZAM,0.29029,0.29029,0.28137,0.28959,0,
12/31/1970,CPTZAM,0.28935,0.30008,0.2892,0.30008,0,
12/31/1971,CPTZAM,0.30008,0.31041,0.30008,0.31041,0,
12/31/1972,CPTZAM,0.31041,0.35281,0.31041,0.35281,0,
12/31/1973,CPTZAM,0.35281,0.37346,0.35281,0.37346,0,
12/31/1974,CPTZAM,0.37346,0.53438,0.37346,0.53438,0,
12/31/1975,CPTZAM,0.53438,0.55993,0.53438,0.55993,0,
12/31/1976,CPTZAM,0.55993,0.6556,0.55993,0.6556,0,
12/31/1977,CPTZAM,0.6556,0.6855,0.63168,0.6855,0,
12/31/1978,CPTZAM,0.6855,0.7647,0.6855,0.7647,0,
12/31/1979,CPTZAM,0.7647,0.92642,0.7647,0.92642,0,
12/31/1980,CPTZAM,0.92642,1.20594,0.92642,1.20594,0,
12/31/1981,CPTZAM,1.20594,1.49479,1.20594,1.49479,0,
12/31/1982,CPTZAM,1.49479,1.94136,1.49479,1.94136,0,
12/31/1983,CPTZAM,1.94136,2.49042,1.94136,2.49042,0,
12/31/1984,CPTZAM,2.49042,3.61118,2.49042,3.61118,0,
12/31/1985,CPTZAM,3.61118,4.77388,3.61118,4.77388,0,
12/31/1986,CPTZAM,4.77388,6.24537,4.7639,6.24537,0,
12/31/1987,CPTZAM,6.24537,8.21066,6.24537,8.21066,0,
12/31/1988,CPTZAM,8.21066,10.4695,8.21066,10.4695,0,
12/31/1989,CPTZAM,10.4695,12.697,10.4695,12.697,0,
12/31/1990,CPTZAM,12.697,16.1897,12.6198,16.1897,0,
12/31/1991,CPTZAM,16.1897,19.6159,15.222,19.6159,0,
12/31/1992,CPTZAM,19.6159,24.409,18.5271,24.409,0,
12/31/1993,CPTZAM,24.409,29.893,23.9299,27.2855,0,
12/31/1994,CPTZAM,30.47,47.3705,30.47,47.3705,0,
12/31/1995,CPTZAM,49.6802,59.2676,48.765,59.2676,0,
