Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
CPZWEM,Zimbabwe Consumer Price Index,Consumer Price Indices,Zimbabwe New Dollar,Zimbabwe,Index Number,Units,Stock,none,Annual From Dec 1914 To Dec 1929<BR>Monthly From Jan 1930 To Jan 2016<BR>,"Sources: League of Nations (1930-1945), Central Statistical Office, Monthly Digest of Statistics (1946-) <br />Notes: The Central statistical Office is responsible for collection, compilation and dissemination of the Consumer Price Index. The Consumer Price Index (CPI) in Zimbabwe expresses the average price change of a basket of goods and services, of fixed quantity and quality, purchased by a private household, at the comparison period (current period). This is expressed as a percentage of the same basket of goods and services in the base years (1995=100). <br /> <br />The measurement of the CPI is based on purchases made by private households residing in Zimbabwe. The CPI is based on sample data in which purchasers (selling) prices are collected from a cross-classification of outlets in nineteen major urban centres in Zimbabwe. They are Harare including Chitungwiza, Bulawayo, Hwange, Victoria Falls, Bindura, Mt. Darwin, Mutare, Chipinge, Chinhoyi, Kadoma, Masvingo, Chiredzi, Gweru, Kwekwe, Beitbridge, Gwanda, Marondera and Chivhu. Apart from urban areas prices are also collected in some rural service areas. <br /> <br />Goods and services are classified in ten major divisions (major groups). The basket has three hundred and thirty seven (337) items. The groups and the weights are as follows: Food (33.6%), Beverages and tobacco (16.0%), Clothing and footwear (6.9%), Rent, Rates, and Domestic Power (17.3%), Furniture and Household Stores (7.5%), Medical Care (1.7%), Transport and Communications (6.6%), Recreation and entertainment (1.2%), Education (4.5%) and Miscellaneous goods and services (4.7%)  <br /> <br />The weights used in the CPI were compiled from the Income, Consumption and Expenditure Survey (ICES) of 1995/96. The data were collected for the period between July 1995 and June 1996. Thus, the base year for the weights of the index is 1995, and the base for price collection for index compilation is also 1995.  <br /> <br />The prices of all items are collected monthly around the 15th of each month. Administered prices which change uniformly across the country like diesel, electricity tariffs, and gasoline are collected centrally in Harare.  Special surveys like school fees are carried out yearly whilst the rent and domestic wages surveys are conducted twice a year. The Modified Laspeyres formula is used for compiling indices at item level, section, and all items level. The formula utilises the short-term price relatives with the previous month's indices as weights. <br /> <br />Some uses of the index are for the measurement of inflation, determining real interest rates, the direction, and stance of monetary policy. It is also used for adjusting wages and salaries to hedge against loss of purchasing power, and deflating nominal national-accounts aggregates to get real national accounts aggregates (in terms of physical quantities and volumes of goods and services), among other uses. The all items index with national and provincial weights is published every month.",,Split adjusted.
Date,Ticker,Open,High,Low,Close,Volume,Openint
12/31/1914,CPZWEM,1.6992E-13,1.6992E-13,1.6992E-13,1.6992E-13,0,
12/31/1920,CPZWEM,1.7165E-13,1.7165E-13,1.7165E-13,1.7165E-13,0,
12/31/1926,CPZWEM,1.8521E-13,1.8521E-13,1.8521E-13,1.8521E-13,0,
12/31/1927,CPZWEM,1.8521E-13,1.8521E-13,1.8521E-13,1.8521E-13,0,
12/31/1928,CPZWEM,1.8862E-13,1.8862E-13,1.8862E-13,1.8862E-13,0,
12/31/1929,CPZWEM,1.8862E-13,1.8862E-13,1.8862E-13,1.8862E-13,0,
12/31/1930,CPZWEM,1.7713E-13,1.7713E-13,1.7484E-13,1.7502E-13,0,
12/31/1931,CPZWEM,1.7255E-13,1.7255E-13,1.6621E-13,1.6621E-13,0,
12/31/1932,CPZWEM,1.6533E-13,1.6533E-13,1.5739E-13,1.5739E-13,0,
12/31/1933,CPZWEM,1.5563E-13,1.5634E-13,1.5246E-13,1.5281E-13,0,
12/31/1934,CPZWEM,1.5281E-13,1.544E-13,1.5158E-13,1.5175E-13,0,
12/31/1935,CPZWEM,1.5193E-13,1.5387E-13,1.507E-13,1.5123E-13,0,
12/31/1936,CPZWEM,1.5211E-13,1.5246E-13,1.5034E-13,1.5034E-13,0,
12/31/1937,CPZWEM,1.4982E-13,1.5493E-13,1.4982E-13,1.5493E-13,0,
12/31/1938,CPZWEM,1.544E-13,1.5828E-13,1.544E-13,1.581E-13,0,
12/31/1939,CPZWEM,1.5898E-13,1.6057E-13,1.581E-13,1.6057E-13,0,
12/31/1940,CPZWEM,1.6039E-13,1.6251E-13,1.6021E-13,1.6233E-13,0,
12/31/1941,CPZWEM,1.6286E-13,1.7273E-13,1.6268E-13,1.7273E-13,0,
12/31/1942,CPZWEM,1.7396E-13,1.8154E-13,1.7396E-13,1.8154E-13,0,
12/31/1943,CPZWEM,1.8154E-13,1.9212E-13,1.8154E-13,1.9212E-13,0,
12/31/1944,CPZWEM,1.9388E-13,1.9564E-13,1.9388E-13,1.9564E-13,0,
12/31/1945,CPZWEM,1.9723E-13,2.0518E-13,1.9723E-13,2.0518E-13,0,
12/31/1946,CPZWEM,2.0678E-13,2.1314E-13,2.0678E-13,2.1314E-13,0,
12/31/1947,CPZWEM,2.1314E-13,2.2268E-13,2.1155E-13,2.2268E-13,0,
12/31/1948,CPZWEM,2.2268E-13,2.3382E-13,2.2268E-13,2.3382E-13,0,
12/31/1949,CPZWEM,2.3382E-13,2.5767E-13,2.3382E-13,2.5767E-13,0,
12/31/1950,CPZWEM,2.5767E-13,2.6722E-13,2.5767E-13,2.6722E-13,0,
12/31/1951,CPZWEM,2.6881E-13,2.8611E-13,2.6881E-13,2.8611E-13,0,
12/31/1952,CPZWEM,2.9069E-13,3.09E-13,2.9069E-13,3.0442E-13,0,
12/31/1953,CPZWEM,3.09E-13,3.1587E-13,3.09E-13,3.1358E-13,0,
12/31/1954,CPZWEM,3.1587E-13,3.1587E-13,3.1129E-13,3.1129E-13,0,
12/31/1955,CPZWEM,3.1129E-13,3.2212E-13,3.1129E-13,3.2212E-13,0,
12/31/1956,CPZWEM,3.2212E-13,3.315E-13,3.2212E-13,3.315E-13,0,
12/31/1957,CPZWEM,3.315E-13,3.4714E-13,3.315E-13,3.4714E-13,0,
12/31/1958,CPZWEM,3.5027E-13,3.5339E-13,3.5027E-13,3.5339E-13,0,
12/31/1959,CPZWEM,3.5652E-13,3.659E-13,3.5652E-13,3.659E-13,0,
12/31/1960,CPZWEM,3.659E-13,3.7216E-13,3.659E-13,3.7216E-13,0,
12/31/1961,CPZWEM,3.7216E-13,3.8154E-13,3.7216E-13,3.8154E-13,0,
12/31/1962,CPZWEM,3.8154E-13,3.8854E-13,3.8154E-13,3.8854E-13,0,
12/31/1963,CPZWEM,3.8854E-13,3.9204E-13,3.8854E-13,3.9204E-13,0,
12/31/1964,CPZWEM,3.9204E-13,4.0254E-13,3.9204E-13,4.0254E-13,0,
12/31/1965,CPZWEM,4.0645E-13,4.1427E-13,4.0645E-13,4.1427E-13,0,
12/31/1966,CPZWEM,4.2208E-13,4.3381E-13,4.1818E-13,4.3381E-13,0,
12/31/1967,CPZWEM,4.3733E-13,4.3733E-13,4.3733E-13,4.3733E-13,0,
12/31/1968,CPZWEM,4.5257E-13,4.6586E-13,4.5257E-13,4.5257E-13,0,
12/31/1969,CPZWEM,4.6351E-13,4.6351E-13,4.4671E-13,4.5218E-13,0,
12/31/1970,CPZWEM,4.5921E-13,4.7055E-13,4.5687E-13,4.7055E-13,0,
12/31/1971,CPZWEM,4.7367E-13,4.768E-13,4.7367E-13,4.7524E-13,0,
12/31/1972,CPZWEM,4.8188E-13,4.9439E-13,4.8188E-13,4.9439E-13,0,
12/31/1973,CPZWEM,5.0064E-13,5.0745E-13,5.0064E-13,5.0745E-13,0,
12/31/1974,CPZWEM,5.2589E-13,5.4387E-13,5.2589E-13,5.4387E-13,0,
12/31/1975,CPZWEM,5.7014E-13,6.0839E-13,5.7014E-13,6.0839E-13,0,
12/31/1976,CPZWEM,6.1715E-13,6.932E-13,6.1715E-13,6.932E-13,0,
