"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1957","1957","NATUSD","National currency per US dollar","0","Units",,,0.00018,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1958","1958","NATUSD","National currency per US dollar","0","Units",,,0.00018,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1959","1959","NATUSD","National currency per US dollar","0","Units",,,0.00018,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1960","1960","NATUSD","National currency per US dollar","0","Units",,,0.00018,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1961","1961","NATUSD","National currency per US dollar","0","Units",,,0.00018,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1962","1962","NATUSD","National currency per US dollar","0","Units",,,0.0002899991,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1963","1963","NATUSD","National currency per US dollar","0","Units",,,0.000299999,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1964","1964","NATUSD","National currency per US dollar","0","Units",,,0.000299999,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1965","1965","NATUSD","National currency per US dollar","0","Units",,,0.000299999,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1966","1966","NATUSD","National currency per US dollar","0","Units",,,0.000299999,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1967","1967","NATUSD","National currency per US dollar","0","Units",,,0.0003083323,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1968","1968","NATUSD","National currency per US dollar","0","Units",,,0.000349999,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1969","1969","NATUSD","National currency per US dollar","0","Units",,,0.000349999,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1970","1970","NATUSD","National currency per US dollar","0","Units",,,0.00035,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1971","1971","NATUSD","National currency per US dollar","0","Units",,,0.0003752151,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1972","1972","NATUSD","National currency per US dollar","0","Units",,,0.00042,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1973","1973","NATUSD","National currency per US dollar","0","Units",,,0.00042,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1974","1974","NATUSD","National currency per US dollar","0","Units",,,0.0004455,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1975","1975","NATUSD","National currency per US dollar","0","Units",,,0.0006325988,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1976","1976","NATUSD","National currency per US dollar","0","Units",,,0.000793632,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1977","1977","NATUSD","National currency per US dollar","0","Units",,,0.001047503,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1978","1978","NATUSD","National currency per US dollar","0","Units",,,0.001747511,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1979","1979","NATUSD","National currency per US dollar","0","Units",,,0.002543616,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","1980","1980","NATUSD","National currency per US dollar","0","Units",,,0.005124935,,
