"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Function","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,4705.41,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,4869.5,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,4569.97,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,4570.25,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,5228.15,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,5080.19,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,4941.4,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,4618.75,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,4574.29,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,5035,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,5209.18,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,5203.75,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,5261.06,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,5486.84,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,6101.57,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,6087.39,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,6090.35,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,6248.05,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,6269.56,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,6330.53,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,6453.77,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,6458.57,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,6541.58,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,6665.38,,
"AUT","Austria","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,6933.28,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,6204.7,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,6265.3,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,6398.8,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,6250.3,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,6656.8,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,7212.5,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,6670.6,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,7534.3,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,7573.2,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,7998.7,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,8722.7,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,9051.7,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,8977.5,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,9255.1,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,9191.2,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,9572.9,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,10238.6,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,10773.7,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,10743.1,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,10388.8,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,10277.7,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,10475.2,,
