"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Function","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1970","1970","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1971","1971","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1972","1972","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1973","1973","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1974","1974","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1975","1975","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1976","1976","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1977","1977","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1978","1978","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1979","1979","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1980","1980","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1981","1981","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1982","1982","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1983","1983","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1984","1984","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1985","1985","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1986","1986","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1987","1987","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1988","1988","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1989","1989","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1990","1990","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1991","1991","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1992","1992","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1993","1993","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1994","1994","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1995","1995","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1996","1996","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1997","1997","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1998","1998","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","1999","1999","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2000","2000","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2001","2001","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2002","2002","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2003","2003","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2004","2004","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2005","2005","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2006","2006","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2007","2007","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2008","2008","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2009","2009","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2010","2010","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2011","2011","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2012","2012","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2013","2013","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2014","2014","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2015","2015","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2016","2016","USD","US Dollar","6","Millions",,,0,,
"USA","United States","P3CG","Final consumption expenditure","050","Environment protection","GS13","General government","C","Current prices","2017","2017","USD","US Dollar","6","Millions",,,0,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","1995","1995","GBP","Pound Sterling","6","Millions",,,39902,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","1996","1996","GBP","Pound Sterling","6","Millions",,,42176,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","1997","1997","GBP","Pound Sterling","6","Millions",,,42752,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","1998","1998","GBP","Pound Sterling","6","Millions",,,45575,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","1999","1999","GBP","Pound Sterling","6","Millions",,,49412,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2000","2000","GBP","Pound Sterling","6","Millions",,,52345,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2001","2001","GBP","Pound Sterling","6","Millions",,,57183,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2002","2002","GBP","Pound Sterling","6","Millions",,,63028,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2003","2003","GBP","Pound Sterling","6","Millions",,,69240,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2004","2004","GBP","Pound Sterling","6","Millions",,,76237,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2005","2005","GBP","Pound Sterling","6","Millions",,,82054,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2006","2006","GBP","Pound Sterling","6","Millions",,,89573,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2007","2007","GBP","Pound Sterling","6","Millions",,,94310,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2008","2008","GBP","Pound Sterling","6","Millions",,,101760,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2009","2009","GBP","Pound Sterling","6","Millions",,,109966,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2010","2010","GBP","Pound Sterling","6","Millions",,,112616,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2011","2011","GBP","Pound Sterling","6","Millions",,,115687,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2012","2012","GBP","Pound Sterling","6","Millions",,,119023,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2013","2013","GBP","Pound Sterling","6","Millions",,,122575,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2014","2014","GBP","Pound Sterling","6","Millions",,,128957,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2015","2015","GBP","Pound Sterling","6","Millions",,,132087,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2016","2016","GBP","Pound Sterling","6","Millions",,,137689,,
"GBR","United Kingdom","P3CG","Final consumption expenditure","070","Health","GS13","General government","C","Current prices","2017","2017","GBP","Pound Sterling","6","Millions",,,139027,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,131.97,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,148.75,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,169.78,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,187.19,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,204.65,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,207.49,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,210.69,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,223.45,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,232.99,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,259.84,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,320.32,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,338.26,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,355.76,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,343.06,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,354.09,,
"SVN","Slovenia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,353.91,,
