"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1990","1990","USD","US Dollar","6","Millions",,,790031.044,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1991","1991","USD","US Dollar","6","Millions",,,848860.2337,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1992","1992","USD","US Dollar","6","Millions",,,790725.4701,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1993","1993","USD","US Dollar","6","Millions",,,885446.0165,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1994","1994","USD","US Dollar","6","Millions",,,881080.7533,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,982321.8763,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,1150562.5274,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,1259818.2454,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,1227003.8479,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,1547873.6229,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,1651401.8006,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,1473707.9357,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,1383687.8803,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,2110367.1423,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,2604891.015,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,3194171.1092,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,3578453.7498,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,4744609.0992,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,2908695.4023,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,4271441.4843,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,5200253.3682,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,4792217.3058,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,5239508.4933,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,4985207.7849,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,4820684.4238,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1989","1989","USD","US Dollar","6","Millions",,,53613.7262,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1990","1990","USD","US Dollar","6","Millions",,,60809.0585,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1991","1991","USD","US Dollar","6","Millions",,,54896.9717,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1992","1992","USD","US Dollar","6","Millions",,,55763.2845,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1993","1993","USD","US Dollar","6","Millions",,,52836.435,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1994","1994","USD","US Dollar","6","Millions",,,51805.1043,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,44528.9883,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,45194.5007,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,52455.4349,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,54174.9441,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,62350.6099,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,69247.4274,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,92953.3742,,
"HUN","Hungary","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,123421.3048,,
