"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1959","1959","AUD","Australian Dollar","6","Millions",,,47,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1960","1960","AUD","Australian Dollar","6","Millions",,,55,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1961","1961","AUD","Australian Dollar","6","Millions",,,73,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1962","1962","AUD","Australian Dollar","6","Millions",,,69,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1963","1963","AUD","Australian Dollar","6","Millions",,,85,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1964","1964","AUD","Australian Dollar","6","Millions",,,110,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1965","1965","AUD","Australian Dollar","6","Millions",,,103,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1966","1966","AUD","Australian Dollar","6","Millions",,,112,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1967","1967","AUD","Australian Dollar","6","Millions",,,108,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1968","1968","AUD","Australian Dollar","6","Millions",,,139,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1969","1969","AUD","Australian Dollar","6","Millions",,,148,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1970","1970","AUD","Australian Dollar","6","Millions",,,177,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1971","1971","AUD","Australian Dollar","6","Millions",,,250,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1972","1972","AUD","Australian Dollar","6","Millions",,,387,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,551,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1974","1974","AUD","Australian Dollar","6","Millions",,,482,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1975","1975","AUD","Australian Dollar","6","Millions",,,429,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1976","1976","AUD","Australian Dollar","6","Millions",,,469,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","1977","1977","AUD","Australian Dollar","6","Millions",,,505,,
