alpha2;year;p2;shweal992i;ahweal992i
GB;1895;p0p90;.0696812438964844;
GB;1896;p0p90;.0709930419921875;
GB;1897;p0p90;.0721175384521484;
GB;1898;p0p90;.0737104797363281;
GB;1899;p0p90;.0740853118896484;
GB;1900;p0p90;.0734293365478516;
GB;1901;p0p90;.0706182098388672;
GB;1902;p0p90;.0743663787841797;
GB;1903;p0p90;.0760530090332031;
GB;1904;p0p90;.0763341522216797;
GB;1905;p0p90;.0748348999023438;
GB;1906;p0p90;.0745537567138672;
GB;1907;p0p90;.0779270935058594;
GB;1908;p0p90;.0795201110839844;
GB;1909;p0p90;.0783956146240234;
GB;1910;p0p90;.081019287109375;
GB;1911;p0p90;.0730037689208984;2979.551242410939
GB;1912;p0p90;.0715486145019531;2974.353949122642
GB;1913;p0p90;.0742674255371094;3128.797057197981
GB;1914;p0p90;.0703445434570313;3166.762056622057
GB;1919;p0p90;.1146587371826172;
GB;1920;p0p90;.1202615356445313;3033.514772907106
GB;1921;p0p90;.1182194519042969;
GB;1922;p0p90;.1117539215087891;
GB;1923;p0p90;.1166962432861328;
GB;1924;p0p90;.1207073211669922;4245.656085210277
GB;1925;p0p90;.1183522796630859;4343.817081491503
GB;1926;p0p90;.1278828430175781;4760.173957021577
GB;1927;p0p90;.1201717376708984;4796.172102999188
GB;1928;p0p90;.1331729888916016;5185.394339678289
GB;1929;p0p90;.1292977142333984;4778.078725272505
GB;1930;p0p90;.1386894226074219;5689.403925967807
GB;1931;p0p90;.1419263458251953;
GB;1932;p0p90;.1425822448730469;
GB;1933;p0p90;.1359293365478516;
GB;1934;p0p90;.1388340759277344;
GB;1935;p0p90;.1412703704833984;
GB;1936;p0p90;.1483679962158203;6818.074059978748
GB;1937;p0p90;.1452996063232422;
GB;1938;p0p90;.1498746490478516;6908.846200700259
GB;1939;p0p90;.1571062469482422;
GB;1940;p0p90;.1618850708007812;
GB;1941;p0p90;.1714427947998047;
GB;1946;p0p90;.1648836517333984;
GB;1947;p0p90;.1702246856689453;
GB;1948;p0p90;.1690065002441406;
GB;1949;p0p90;.1823123168945313;
GB;1950;p0p90;.2005844879150391;7717.677555187006
GB;1951;p0p90;.2169825744628906;7497.22499373047
GB;1952;p0p90;.2251346588134766;7362.413590860049
GB;1953;p0p90;.2306632232666016;6706.580648648152
GB;1954;p0p90;.2337554168701172;7270.332575754293
GB;1955;p0p90;.2467801666259766;7481.138488442898
GB;1956;p0p90;.2604608154296875;7812.353972865021
GB;1957;p0p90;.2758280944824218;8716.223454831417
GB;1958;p0p90;.2795762634277344;9446.366511490751
GB;1959;p0p90;.2836054992675781;10369.36443642444
GB;1960;p0p90;.2945861053466797;10419.02699391218
GB;1961;p0p90;.306400375366211;11206.76982587421
GB;1962;p0p90;.3265032196044922;12167.52043562326
GB;1963;p0p90;.3205402374267578;12920.09933032991
GB;1964;p0p90;.3150625610351562;13287.43114913394
GB;1965;p0p90;.3184075164794922;13204.35411806762
GB;1966;p0p90;.3371051025390625;13935.81590157486
GB;1967;p0p90;.3328709411621094;14507.42468423816
GB;1968;p0p90;.3264144134521484;14395.39999954364
GB;1969;p0p90;.3539461517333984;15101.79192894818
GB;1970;p0p90;.3553848266601563;15275.85256221537
GB;1971;p0p90;.3660114288330078;16320.57441286222
GB;1972;p0p90;.3401222229003906;17655.02015864869
GB;1973;p0p90;.3659680938720703;20009.17025038972
GB;1974;p0p90;.3895883560180664;17625.37711115843
GB;1975;p0p90;.4134509658813477;17639.50686835793
GB;1976;p0p90;.3904819107055664;15379.78497818459
GB;1977;p0p90;.4233441162109375;15336.01212813793
GB;1978;p0p90;.4115911865234375;16786.50931407847
GB;1979;p0p90;.4597516250610352;20712.22358452848
GB;1980;p0p90;.478969841003418;22907.99706236904
GB;1981;p0p90;.4683491134643555;20352.7326058598
GB;1982;p0p90;.4877173614501953;22953.86806250224
GB;1983;p0p90;.4933611679077148;25941.45226669298
GB;1984;p0p90;.5329415512084961;31688.57216586338
GB;1985;p0p90;.5131870651245117;30598.46613840452
GB;1986;p0p90;.5117599868774414;32492.09078247337
GB;1987;p0p90;.4964118194580078;37690.33732036436
GB;1988;p0p90;.5181462478637695;45080.04537978853
GB;1989;p0p90;.5147358322143555;46701.89892747187
GB;1990;p0p90;.5401427078247071;46052.95130781064
GB;1991;p0p90;.5441088104248046;
GB;1992;p0p90;.5200417709350585;40825.11518833185
GB;1993;p0p90;.5017038345336914;39407.56827183984
GB;1994;p0p90;.5045466232299805;40082.44047227978
GB;1995;p0p90;.5308302307128906;42746.71721100777
GB;1996;p0p90;.5162120437622071;41089.78915578443
GB;1997;p0p90;.4842697906494141;39555.45273277926
GB;1998;p0p90;.4811316299438477;
GB;1999;p0p90;.4992802810668945;48227.19358145635
GB;2000;p0p90;.494449234008789;51010.05419527707
GB;2001;p0p90;.4976004409790039;58719.05929749433
GB;2002;p0p90;.4915437698364258;60039.99461955656
GB;2003;p0p90;.4974470138549805;64084.11146476558
GB;2005;p0p90;.4881085586547851;66845.97889325283
GB;2006;p0p90;.48022705078125;67079.06391424737
GB;2009;p0p90;.4598651123046875;59623.98843904841
GB;2012;p0p90;.48083984375;63272.80459321282
GB;1895;p90p100;.9303187561035157;
GB;1896;p90p100;.9290069580078125;
GB;1897;p90p100;.9278824615478516;
GB;1898;p90p100;.9262895202636718;
GB;1899;p90p100;.9259146881103516;
GB;1900;p90p100;.9265706634521484;
GB;1901;p90p100;.9293817901611328;
GB;1902;p90p100;.9256336212158203;
GB;1903;p90p100;.9239469909667969;
GB;1904;p90p100;.9236658477783203;
GB;1905;p90p100;.9251651000976563;
GB;1906;p90p100;.9254462432861328;
GB;1907;p90p100;.9220729064941406;
GB;1908;p90p100;.9204798889160156;
GB;1909;p90p100;.9216043853759766;
GB;1910;p90p100;.918980712890625;
GB;1911;p90p100;.9269962310791016;340507.0082769643
GB;1912;p90p100;.9284513854980468;347370.6315381142
GB;1913;p90p100;.9257325744628906;350999.9707686224
GB;1914;p90p100;.9296554565429688;376660.0410988803
GB;1919;p90p100;.8853412628173828;
GB;1920;p90p100;.8797384643554688;199717.1957145596
GB;1921;p90p100;.8817805480957032;
GB;1922;p90p100;.888246078491211;
GB;1923;p90p100;.8833037567138672;
GB;1924;p90p100;.8792926788330078;278347.3983871451
GB;1925;p90p100;.8816477203369141;291227.5787609367
GB;1926;p90p100;.8721171569824219;292164.7933501063
GB;1927;p90p100;.8798282623291016;316033.292361344
GB;1928;p90p100;.8668270111083984;303766.9968109187
GB;1929;p90p100;.8707022857666016;289584.0566943
GB;1930;p90p100;.8613105773925781;317998.9734999029
GB;1931;p90p100;.8580736541748046;
GB;1932;p90p100;.8574177551269532;
GB;1933;p90p100;.8640706634521484;
GB;1934;p90p100;.8611659240722657;
GB;1935;p90p100;.8587296295166016;
GB;1936;p90p100;.8516320037841797;352221.5841401617
GB;1937;p90p100;.8547003936767578;
GB;1938;p90p100;.8501253509521485;352697.8581449448
GB;1939;p90p100;.8428937530517578;
GB;1940;p90p100;.8381149291992187;
GB;1941;p90p100;.8285572052001953;
GB;1946;p90p100;.8351163482666015;
GB;1947;p90p100;.8297753143310547;
GB;1948;p90p100;.8309934997558593;
GB;1949;p90p100;.8176876831054688;
GB;1950;p90p100;.799415512084961;276824.3993897332
GB;1951;p90p100;.7830174255371094;243494.7619648861
GB;1952;p90p100;.7748653411865234;228058.6753809457
GB;1953;p90p100;.7693367767333984;201317.624867014
GB;1954;p90p100;.7662445831298829;214487.7635557784
GB;1955;p90p100;.7532198333740234;205504.6710795043
GB;1956;p90p100;.7395391845703125;199638.0027230706
GB;1957;p90p100;.7241719055175782;205955.8053374465
GB;1958;p90p100;.7204237365722657;219076.1089021609
GB;1959;p90p100;.7163945007324218;235739.437696956
GB;1960;p90p100;.7054138946533203;224543.983887557
GB;1961;p90p100;.6935996246337891;228319.244118548
GB;1962;p90p100;.6734967803955079;225887.7343949001
GB;1963;p90p100;.6794597625732421;246484.4639941063
GB;1964;p90p100;.6849374389648437;259978.6254712936
GB;1965;p90p100;.6815924835205078;254390.6549228042
GB;1966;p90p100;.6628948974609375;246634.7458159479
GB;1967;p90p100;.6671290588378906;261677.7567838102
GB;1968;p90p100;.6735855865478516;267355.8579953618
GB;1969;p90p100;.6460538482666016;248086.147264871
GB;1970;p90p100;.6446151733398438;249373.1034006838
GB;1971;p90p100;.6339885711669921;254427.899070341
GB;1972;p90p100;.6598777770996094;308275.6493190043
GB;1973;p90p100;.6340319061279297;311989.1408482959
GB;1974;p90p100;.6104116439819336;248540.8438632176
GB;1975;p90p100;.5865490341186523;225221.1970171213
GB;1976;p90p100;.6095180892944336;216062.0301988244
GB;1977;p90p100;.5766558837890625;188008.7890681876
GB;1978;p90p100;.5884088134765625;215981.2288549322
GB;1979;p90p100;.5402483749389648;219048.0701027571
GB;1980;p90p100;.521030158996582;224276.7852361038
GB;1981;p90p100;.5316508865356445;207932.3568685824
GB;1982;p90p100;.5122826385498047;216990.0463439865
GB;1983;p90p100;.5066388320922851;239756.4530954366
GB;1984;p90p100;.4670584487915039;249940.6134496358
GB;1985;p90p100;.4868129348754883;261233.3221984033
GB;1986;p90p100;.4882400131225586;278989.0830295022
GB;1987;p90p100;.5035881805419922;344116.8579408419
GB;1988;p90p100;.4818537521362305;377302.5510085407
GB;1989;p90p100;.4852641677856445;396251.4561615008
GB;1990;p90p100;.459857292175293;352869.8371832307
GB;1991;p90p100;.4558911895751953;
GB;1992;p90p100;.4799582290649414;339105.7406165513
GB;1993;p90p100;.4982961654663086;352259.1403076428
GB;1994;p90p100;.4954533767700195;354240.4529166782
GB;1995;p90p100;.4691697692871094;340031.8908413012
GB;1996;p90p100;.483787956237793;346579.8758924022
GB;1997;p90p100;.5157302093505859;379126.4307924123
GB;1998;p90p100;.5188683700561524;
GB;1999;p90p100;.5007197189331055;435296.1043663463
GB;2000;p90p100;.505550765991211;469398.1338859834
