"Country or Area";"SNA93 Table Code";"Sub Group";"Item";"SNA93 Item Code";"Year";"Series";"Currency";"SNA System";"Fiscal Year Type";"Value";"Value Footnotes"
"Armenia";"4.2";"V.I External account of goods and services - Resources";"Imports of goods and services";"P.7";"1990";"100";"Russian ruble";"1993";"Western calendar year";"4700000000";""
"Armenia";"4.2";"V.I External account of goods and services - Uses";"Exports of goods and services";"P.6";"1990";"100";"Russian ruble";"1993";"Western calendar year";"3500000000";""
"Armenia";"4.2";"V.I External account of goods and services - Uses";"EXTERNAL BALANCE OF GOODS AND SERVICES";"B.11";"1990";"100";"Russian ruble";"1993";"Western calendar year";"1200000000";""
"Armenia";"4.2";"V.II External account of primary income and current transfers - Resources";"EXTERNAL BALANCE OF GOODS AND SERVICES";"B.11";"1990";"100";"Russian ruble";"1993";"Western calendar year";"1200000000";""
"Armenia";"4.2";"V.II External account of primary income and current transfers - Resources";"Other current transfers";"D.7";"1990";"100";"Russian ruble";"1993";"Western calendar year";"0";""
"Armenia";"4.2";"V.II External account of primary income and current transfers - Uses";"CURRENT EXTERNAL BALANCE";"B.12";"1990";"100";"Russian ruble";"1993";"Western calendar year";"1200000000";""
"Armenia";"4.2";"V.III.1 Capital account - Changes in liabilities and net worth";"CURRENT EXTERNAL BALANCE";"B.12";"1990";"100";"Russian ruble";"1993";"Western calendar year";"1200000000";""
"Armenia";"4.2";"V.III.1 Capital account - Changes in assets";"NET LENDING (+) / NET BORROWING (-)";"B.9";"1990";"100";"Russian ruble";"1993";"Western calendar year";"1200000000";"1"
"Australia";"4.2";"V.I External account of goods and services - Resources";"Imports of goods and services";"P.7";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"66948000000";""
"Australia";"4.2";"V.I External account of goods and services - Resources";"Imports of goods and services";"P.7";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"66948000000";""
"Australia";"4.2";"V.I External account of goods and services - Resources";"Imports of goods";"P.71";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"49681000000";""
"Australia";"4.2";"V.I External account of goods and services - Resources";"Imports of goods";"P.71";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"49681000000";""
"Australia";"4.2";"V.I External account of goods and services - Resources";"Imports of services";"P.72";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"17267000000";""
"Australia";"4.2";"V.I External account of goods and services - Resources";"Imports of services";"P.72";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"17267000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"Exports of goods and services";"P.6";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"66259000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"Exports of goods and services";"P.6";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"66259000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"Exports of goods";"P.61";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"52568000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"Exports of goods";"P.61";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"52568000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"Exports of services";"P.62";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"13691000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"Exports of services";"P.62";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"13691000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"EXTERNAL BALANCE OF GOODS AND SERVICES";"B.11";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"689000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"EXTERNAL BALANCE OF GOODS AND SERVICES";"B.11";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"689000000";""
"Australia";"4.2";"V.II External account of primary income and current transfers - Resources";"Current taxes on income, wealth, etc.";"D.5";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"2422000000";""
"Australia";"4.2";"V.II External account of primary income and current transfers - Resources";"Current taxes on income, wealth, etc.";"D.5";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"2422000000";""
"Australia";"4.2";"V.III.1 Capital account - Changes in liabilities and net worth";"Capital transfers, receivable less payable";"D.9";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"-2071000000";""
"Australia";"4.2";"V.III.1 Capital account - Changes in liabilities and net worth";"Capital transfers, receivable less payable";"D.9";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"-2071000000";""
"Australia";"4.2";"V.III.1 Capital account - Changes in liabilities and net worth";"Capital transfers, receivable";"D.9";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"653000000";""
"Australia";"4.2";"V.III.1 Capital account - Changes in liabilities and net worth";"Capital transfers, receivable";"D.9";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"653000000";""
