"Country or Area";"SNA93 Table Code";"Sub Group";"Item";"SNA93 Item Code";"Year";"Series";"Currency";"SNA System";"Fiscal Year Type";"Value";"Value Footnotes"
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2014";"300";"dram";"1993";"Western calendar year";"5956100000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2013";"300";"dram";"1993";"Western calendar year";"5154400000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2012";"300";"dram";"1993";"Western calendar year";"3891300000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2011";"300";"dram";"1993";"Western calendar year";"3728500000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2010";"300";"dram";"1993";"Western calendar year";"2677700000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2009";"300";"dram";"1993";"Western calendar year";"3017800000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2008";"300";"dram";"1993";"Western calendar year";"8278100000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2007";"300";"dram";"1993";"Western calendar year";"8684200000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2006";"300";"dram";"1993";"Western calendar year";"7647700000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2005";"300";"dram";"1993";"Western calendar year";"9118100000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2004";"300";"dram";"1993";"Western calendar year";"11225100000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2004";"200";"dram";"1993";"Western calendar year";"11225100000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2003";"300";"dram";"1993";"Western calendar year";"9962500000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2003";"200";"dram";"1993";"Western calendar year";"9962500000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2002";"300";"dram";"1993";"Western calendar year";"8270900000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2002";"200";"dram";"1993";"Western calendar year";"8270900000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2001";"300";"dram";"1993";"Western calendar year";"6702000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2001";"200";"dram";"1993";"Western calendar year";"6702000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2000";"300";"dram";"1993";"Western calendar year";"7386000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2000";"200";"dram";"1993";"Western calendar year";"7386000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1999";"300";"dram";"1993";"Western calendar year";"14050000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1999";"200";"dram";"1993";"Western calendar year";"14050000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1998";"300";"dram";"1993";"Western calendar year";"1389000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1998";"200";"dram";"1993";"Western calendar year";"1389000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1997";"300";"dram";"1993";"Western calendar year";"2882000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1997";"200";"dram";"1993";"Western calendar year";"2882000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1996";"200";"dram";"1993";"Western calendar year";"1834000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1995";"200";"dram";"1993";"Western calendar year";"2168000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1994";"200";"dram";"1993";"Western calendar year";"2120000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1993";"100";"Russian ruble";"1993";"Western calendar year";"7974000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1992";"100";"Russian ruble";"1993";"Western calendar year";"379000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1991";"100";"Russian ruble";"1993";"Western calendar year";"342000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1990";"100";"Russian ruble";"1993";"Western calendar year";"714000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2001";"100";"Aruban florin                           ";"1993";"Western calendar year";"7000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2000";"100";"Aruban florin                           ";"1993";"Western calendar year";"7000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1999";"100";"Aruban florin                           ";"1993";"Western calendar year";"7000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1998";"100";"Aruban florin                           ";"1993";"Western calendar year";"8000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1997";"100";"Aruban florin                           ";"1993";"Western calendar year";"5000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1996";"100";"Aruban florin                           ";"1993";"Western calendar year";"4000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"1995";"100";"Aruban florin                           ";"1993";"Western calendar year";"4000000";""
"Australia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2013";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"23293000000";""
"Australia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2012";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"22750000000";""
"Australia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2011";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"18981000000";""
"Australia";"4.1";"II.1.1 Generation of income account - Uses";"Less: Subsidies";"D.3";"2010";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"17487000000";""
