"Country or Area";"SNA93 Table Code";"Sub Group";"Item";"SNA93 Item Code";"Year";"Series";"Currency";"SNA System";"Fiscal Year Type";"Value";"Value Footnotes"
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2012";"300";"dram";"1993";"Western calendar year";"530315500000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2011";"300";"dram";"1993";"Western calendar year";"469703500000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2010";"300";"dram";"1993";"Western calendar year";"444087300000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2009";"300";"dram";"1993";"Western calendar year";"386266300000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2008";"300";"dram";"1993";"Western calendar year";"463284800000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2007";"300";"dram";"1993";"Western calendar year";"369849100000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2006";"300";"dram";"1993";"Western calendar year";"277290500000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2005";"300";"dram";"1993";"Western calendar year";"239766200000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2004";"300";"dram";"1993";"Western calendar year";"200440300000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2004";"200";"dram";"1993";"Western calendar year";"200440300000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2003";"300";"dram";"1993";"Western calendar year";"184474000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2003";"200";"dram";"1993";"Western calendar year";"184474000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2002";"300";"dram";"1993";"Western calendar year";"163660000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2002";"200";"dram";"1993";"Western calendar year";"163659600000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2001";"300";"dram";"1993";"Western calendar year";"139230000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2001";"200";"dram";"1993";"Western calendar year";"139230000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2000";"300";"dram";"1993";"Western calendar year";"117111000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2000";"200";"dram";"1993";"Western calendar year";"117111000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1999";"300";"dram";"1993";"Western calendar year";"116118000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1999";"200";"dram";"1993";"Western calendar year";"116118000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1998";"300";"dram";"1993";"Western calendar year";"97170000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1998";"200";"dram";"1993";"Western calendar year";"97170000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1997";"300";"dram";"1993";"Western calendar year";"74279000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1997";"200";"dram";"1993";"Western calendar year";"74279000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1996";"200";"dram";"1993";"Western calendar year";"44511000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1995";"200";"dram";"1993";"Western calendar year";"28150000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1994";"200";"dram";"1993";"Western calendar year";"10789000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1993";"100";"Russian ruble";"1993";"Western calendar year";"51344000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1992";"100";"Russian ruble";"1993";"Western calendar year";"5629000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1991";"100";"Russian ruble";"1993";"Western calendar year";"1282000000";""
"Armenia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1990";"100";"Russian ruble";"1993";"Western calendar year";"1843000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2001";"100";"Aruban florin                           ";"1993";"Western calendar year";"311000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2000";"100";"Aruban florin                           ";"1993";"Western calendar year";"300000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1999";"100";"Aruban florin                           ";"1993";"Western calendar year";"283000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1998";"100";"Aruban florin                           ";"1993";"Western calendar year";"274000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1997";"100";"Aruban florin                           ";"1993";"Western calendar year";"259000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1996";"100";"Aruban florin                           ";"1993";"Western calendar year";"248000000";""
"Aruba";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"1995";"100";"Aruban florin                           ";"1993";"Western calendar year";"233000000";""
"Australia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2013";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"183341000000";""
"Australia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2012";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"172249000000";""
"Australia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2011";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"158313000000";""
"Australia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2010";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"153695000000";""
"Australia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2009";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"145429000000";""
"Australia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2008";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"137374000000";""
"Australia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2008";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"138243000000";""
"Australia";"4.1";"II.1.1 Generation of income account - Uses";"Taxes on production and imports";"D.2";"2007";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"139458000000";""
