"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Angola","4.1","I. Production account - Uses","GROSS DOMESTIC PRODUCT","B.1*g","2012","200","(second) Kwanza","1993","Western calendar year","11974557000000",""
"Angola","4.1","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2012","200","(second) Kwanza","1993","Western calendar year","2760020000000",""
"Angola","4.1","I. Production account - Uses","GROSS DOMESTIC PRODUCT","B.1*g","2011","200","(second) Kwanza","1993","Western calendar year","10416478000000",""
"Angola","4.1","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2011","200","(second) Kwanza","1993","Western calendar year","2395047000000",""
"Angola","4.1","I. Production account - Uses","GROSS DOMESTIC PRODUCT","B.1*g","2010","200","(second) Kwanza","1993","Western calendar year","7662130000000",""
"Angola","4.1","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2010","200","(second) Kwanza","1993","Western calendar year","1819917000000",""
"Angola","4.1","I. Production account - Uses","GROSS DOMESTIC PRODUCT","B.1*g","2009","200","(second) Kwanza","1993","Western calendar year","5803484000000",""
"Angola","4.1","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2009","200","(second) Kwanza","1993","Western calendar year","1601141000000",""
"Angola","4.1","I. Production account - Uses","GROSS DOMESTIC PRODUCT","B.1*g","2008","200","(second) Kwanza","1993","Western calendar year","6643353000000",""
"Angola","4.1","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2008","200","(second) Kwanza","1993","Western calendar year","1348711000000",""
"Angola","4.1","I. Production account - Uses","GROSS DOMESTIC PRODUCT","B.1*g","2007","200","(second) Kwanza","1993","Western calendar year","5006335000000",""
"Angola","4.1","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2007","200","(second) Kwanza","1993","Western calendar year","964251000000",""
"Angola","4.1","I. Production account - Uses","GROSS DOMESTIC PRODUCT","B.1*g","2006","200","(second) Kwanza","1993","Western calendar year","4209762000000",""
"Angola","4.1","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2006","200","(second) Kwanza","1993","Western calendar year","787593000000",""
"Angola","4.1","I. Production account - Uses","GROSS DOMESTIC PRODUCT","B.1*g","2005","200","(second) Kwanza","1993","Western calendar year","3222352000000",""
"Angola","4.1","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2005","200","(second) Kwanza","1993","Western calendar year","594399000000",""
"Angola","4.1","I. Production account - Uses","GROSS DOMESTIC PRODUCT","B.1*g","2004","200","(second) Kwanza","1993","Western calendar year","1967571000000",""
"Angola","4.1","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2004","200","(second) Kwanza","1993","Western calendar year","426561000000",""
