"Country/Area","Year","Unit","GDP, at current prices - National currency"
"Afghanistan","1970","Afghani","77911878"
"Afghanistan","1971","Afghani","81574837"
"Afghanistan","1972","Afghani","74152916"
"Afghanistan","1973","Afghani","76619555"
"Afghanistan","1974","Afghani","92774575"
"Afghanistan","1975","Afghani","104385259"
"Afghanistan","1976","Afghani","113107176"
"Afghanistan","1977","Afghani","128917758"
"Afghanistan","1978","Afghani","145028303"
"Afghanistan","1979","Afghani","158776212"
"Afghanistan","1980","Afghani","160930107"
"Afghanistan","1981","Afghani","169591475"
"Afghanistan","1982","Afghani","173589299"
"Afghanistan","1983","Afghani","172453817"
"Afghanistan","1984","Afghani","170475688"
"Afghanistan","1985","Afghani","168520249"
"Afghanistan","1986","Afghani","168035667"
"Afghanistan","1987","Afghani","150976242"
"Afghanistan","1988","Afghani","137322243"
"Afghanistan","1989","Afghani","161491528"
"Afghanistan","1990","Afghani","180109889"
"Afghanistan","1991","Afghani","172172997"
"Afghanistan","1992","Afghani","174301038"
"Afghanistan","1993","Afghani","143927675"
"Afghanistan","1994","Afghani","729118301"
"Afghanistan","1995","Afghani","2297365030"
"Afghanistan","1996","Afghani","6674524156"
"Afghanistan","1997","Afghani","8773855716"
"Afghanistan","1998","Afghani","8805572314"
"Afghanistan","1999","Afghani","100567527295"
"Afghanistan","2000","Afghani","158270632870"
"Afghanistan","2001","Afghani","170927404578"
"Afghanistan","2002","Afghani","195740846106"
"Afghanistan","2003","Afghani","230601118468"
"Afghanistan","2004","Afghani","257813610332"
"Afghanistan","2005","Afghani","307884813631"
"Afghanistan","2006","Afghani","354705069349"
"Afghanistan","2007","Afghani","470250593341"
"Afghanistan","2008","Afghani","514400361283"
"Afghanistan","2009","Afghani","583525091849"
"Afghanistan","2010","Afghani","682799599547"
"Afghanistan","2011","Afghani","811093070883"
"Afghanistan","2012","Afghani","974457337532"
"Afghanistan","2013","Afghani","1086606365475"
"Afghanistan","2014","Afghani","1119228845188"
"Afghanistan","2015","Afghani","1144180555796"
