Country or area;Currency;Year;Gross National Income
Afghanistan;Afghani;1970;80297192
Afghanistan;Afghani;1971;84096960
Afghanistan;Afghani;1972;73397337
Afghanistan;Afghani;1973;79697117
Afghanistan;Afghani;1974;99096536
Afghanistan;Afghani;1975;108796197
Afghanistan;Afghani;1976;117495895
Afghanistan;Afghani;1977;135795250
Afghanistan;Afghani;1978;151694694
Afghanistan;Afghani;1979;165116116
Afghanistan;Afghani;1980;164008404
Afghanistan;Afghani;1981;175728615
Afghanistan;Afghani;1982;173908208
Afghanistan;Afghani;1983;171913214
Afghanistan;Afghani;1984;169941054
Afghanistan;Afghani;1985;167991886
Afghanistan;Afghani;1986;167926925
Afghanistan;Afghani;1987;146024379
Afghanistan;Afghani;1988;134735721
Afghanistan;Afghani;1989;169017189
Afghanistan;Afghani;1990;183148780
Afghanistan;Afghani;1991;168916990
Afghanistan;Afghani;1992;175713935
Afghanistan;Afghani;1993;134734965
Afghanistan;Afghani;1994;898389455
Afghanistan;Afghani;1995;2695563013
Afghanistan;Afghani;1996;7807701717
Afghanistan;Afghani;1997;9042545121
Afghanistan;Afghani;1998;8728618402
Afghanistan;Afghani;1999;1.26747E+11
Afghanistan;Afghani;2000;1.67247E+11
Afghanistan;Afghani;2001;1.71975E+11
Afghanistan;Afghani;2002;2.02093E+11
Afghanistan;Afghani;2003;2.40299E+11
Afghanistan;Afghani;2004;2.6772E+11
Afghanistan;Afghani;2005;3.28327E+11
Afghanistan;Afghani;2006;3.77454E+11
Afghanistan;Afghani;2007;5.20183E+11
Afghanistan;Afghani;2008;5.43395E+11
Afghanistan;Afghani;2009;6.35448E+11
Afghanistan;Afghani;2010;7.49765E+11
Afghanistan;Afghani;2011;9.00311E+11
Afghanistan;Afghani;2012;1.09154E+12
Afghanistan;Afghani;2013;1.20504E+12
Afghanistan;Afghani;2014;1.21757E+12
Albania;Lek;1970;11652253548
Albania;Lek;1971;11986600717
Albania;Lek;1972;12330839524
Albania;Lek;1973;12685680912
Albania;Lek;1974;13048361464
Albania;Lek;1975;13424438853
Albania;Lek;1976;13813258919
Albania;Lek;1977;14198627234
Albania;Lek;1978;14617399184
Albania;Lek;1979;15050642340
Albania;Lek;1980;15423184576
Albania;Lek;1981;15951300558
Albania;Lek;1982;16417481271
Albania;Lek;1983;16595693248
Albania;Lek;1984;16400650526
Albania;Lek;1985;16735562705
Albania;Lek;1986;17247305465
Albania;Lek;1987;17113761350
Albania;Lek;1988;16869098240
Albania;Lek;1989;18526581964
Albania;Lek;1990;16664915691
Albania;Lek;1991;15964222937
Albania;Lek;1992;48255081962
Albania;Lek;1993;1.23128E+11
Albania;Lek;1994;1.83395E+11
Albania;Lek;1995;2.32075E+11
Albania;Lek;1996;3.51024E+11
Albania;Lek;1997;3.507E+11
Albania;Lek;1998;4.17479E+11
Albania;Lek;1999;4.78229E+11
Albania;Lek;2000;5.34161E+11
Albania;Lek;2001;5.96832E+11
Albania;Lek;2002;6.32941E+11
Albania;Lek;2003;7.07346E+11
Albania;Lek;2004;7.62636E+11
Albania;Lek;2005;8.24515E+11
Albania;Lek;2006;9.00726E+11
Albania;Lek;2007;9.86666E+11
Albania;Lek;2008;1.08613E+12
Albania;Lek;2009;1.12575E+12
Albania;Lek;2010;1.22726E+12
Albania;Lek;2011;1.29703E+12
Albania;Lek;2012;1.32554E+12
Albania;Lek;2013;1.36777E+12
Albania;Lek;2014;1.4052E+12
Algeria;Algerian Dinar;1970;24561437776
Algeria;Algerian Dinar;1971;26465942523
