alpha2;year;p2;mgdpro999i_US;mnninc999i_US;mnnfin999i_US;mconfc999i_US;npopul999i_US;igdixx999i_US
US;1913;pall;;33790941130.05983;-72999999.99999999;;97225000;19.16051370851369
US;1914;pall;;31638723884.14299;-55000000.00000002;;99111000;18.91284549371505
US;1915;pall;;33619222516.3019;64000000;;100546000;18.47856660752182
US;1916;pall;;42499592278.8731;132000000;;101961000;16.95978031101318
US;1917;pall;;50782752163.80434;250000000;;103268000;14.16798548868971
US;1918;pall;;62686737961.38573;350000000;;103208000;12.05605356940188
US;1919;pall;;69198050656.41528;589000000.0000001;;104514000;10.56784735072325
US;1920;pall;;79858720772.87997;476000000;;106461000;9.155194263453646
US;1921;pall;;63909301838.54752;310000000;;108538000;10.51949772232125
US;1922;pall;;65350540489.9488;565000000;;110049000;11.3184469164216
US;1923;pall;;77119866204.61356;710000000.0000001;;111947000;11.00125189005572
US;1924;pall;;77846420135.42014;622000000;;114109000;10.99373737373737
US;1925;pall;;82069410981.60078;740000000;;115829000;10.80190034573927
US;1926;pall;;87874723504.47585;753000000.0000001;;117397000;10.74421329449367
US;1927;pall;;86290216476.02791;741000000;;119035000;10.93398880105402
US;1928;pall;;88042972199.88339;805000000;;120509000;11.02385720215857
US;1929;pall;103900000000;94200000000;700000000.0000001;10400000000;121878000;10.99373737373737
US;1930;pall;92600000000;83100000000;700000000;10200000000;123188000;11.43376405084568
US;1931;pall;76700000000;67700000000;500000000;9500000000;124149000;12.68803916996969
US;1932;pall;59300000000;51300000000;300000000;8300000000.000001;124949000;14.32078947368421
US;1933;pall;56700000000;49000000000;300000000.0000001;8000000000;125690000;14.71579232017307
US;1934;pall;66500000000;58300000000;200000000;8400000000;126485000;14.03093979631301
US;1935;pall;74600000000.00002;66400000000.00001;300000000;8500000000;127362000;13.75432832048528
US;1936;pall;83700000000;75200000000;300000000;8800000000;128181000;13.58946185541266
US;1937;pall;93100000000.00002;83700000000;299999999.9999999;9700000000;128961000;13.10827411778875
US;1938;pall;86800000000;77100000000;300000000;10000000000;129969000;13.35271745798062
US;1939;pall;92199999999.99998;82500000000;399999999.9999999;10100000000;131028000;13.52192818983725
US;1940;pall;101900000000;91600000000;300000000;10600000000;132122000;13.39874430629078
US;1941;pall;129100000000;117400000000;399999999.9999999;12100000000;133402000;12.57370609981515
US;1942;pall;166900000000;152400000000;399999999.9999999;14900000000;134860000;11.60938666666667
US;1943;pall;205000000000;187300000000;299999999.9999999;18000000000;136739000;11.08217085836473
US;1944;pall;222000000000;201000000000;400000000;21400000000;138397000;10.82426653406266
US;1945;pall;224300000000;201400000000;300000000.0000001;23200000000;139928000;10.55859526581296
US;1946;pall;226600000000;201500000000;700000000.0000001;25800000000;141389000;9.380160303369818
US;1947;pall;247100000000;219000000000;1100000000;29200000000;144126000;8.435092614120746
US;1948;pall;275400000000;245100000000;1100000000;31400000000;146631000;7.985765646782596
US;1949;pall;271400000000;240000000000;900000000.0000001;32300000000;149188000;7.989869329026575
US;1950;pall;299200000000;267000000000;1200000000;33400000000;151684000;7.91779426742325
US;1951;pall;344500000000;308000000000;1300000000;37800000000;154287000;7.41655877342419
US;1952;pall;365900000000.0001;326500000000;1200000000;40600000000;156954000;7.257802080554814
US;1953;pall;386599999999.9999;344400000000;1300000000;43500000000;159565000;7.165108624094799
US;1954;pall;388900000000;344400000000;1500000000;46000000000;162391000;7.092271601720317
US;1955;pall;424800000000;377600000000;1700000000;48900000000;165275000;6.99203392008223
US;1956;pall;453300000000;400900000000;1700000000;54100000000;168221000;6.759704366188435
US;1957;pall;476499999999.9999;419400000000;1800000000;58900000000;171274000;6.531716977735101
US;1958;pall;482300000000;421600000000;1700000000;62400000000;174141000;6.383460410557184
US;1959;pall;523000000000;459600000000;2000000000;65400000000.00001;177130000;6.299589049024714
