alpha2;p2;year;npopul992j;tcainc992j;scainc992j;acainc992j;tdiinc992j;sdiinc992j;adiinc992j;tfiinc992j;sfiinc992j;afiinc992j;thweal992j;shweal992j;ahweal992j;tfainc992j;sfainc992j;afainc992j;tptinc992j;sptinc992j;aptinc992j;tptkin992j;sptkin992j;aptkin992j;tptlin992j;sptlin992j;aptlin992j
US;pall;1962;113754000;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1964;116796001;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1966;119724001;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1967;121143001;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1968;123507004;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1969;125543004;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1970;127674002;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1971;130774002;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1972;133501995;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1973;136006004;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1974;138444000;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1975;141054998;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1976;143609003;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1977;146304993;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1978;149141999;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1979;152105009;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1980;155268001;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1981;158032998;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1982;160665004;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1983;163135004;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1984;165650001;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1985;168205002;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1986;170555994;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1987;172552008;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1988;174344002;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1989;176060002;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1990;178365000;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1991;180978003;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1992;183442997;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1993;185684997;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1994;187757001;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1995;189911000;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1996;192043000;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1997;194426004;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1998;196795006;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;1999;199254997;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2000;201645999;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2001;203775995;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2002;206200997;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2003;208605995;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2004;210950995;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2005;213348999;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2006;215896997;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2007;218457001;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2008;220883998;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2009;223262006;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2010;225703000;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2011;227879997;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2012;230035996;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2013;232188000;;;;;;;;;;;;;;;;;;;;;;;;
US;pall;2014;234444003;;;;;;;;;;;;;;;;;;;;;;;;
US;p0;1962;;-756000;-0.00023;-83;-930000;-0.0002;-94;-487000;-0.00233;-738;-279000;-0.00459;-7094;-87700;-0.00021;-98;-87000;-0.00017;-82;-9600;-0.00561;-698;-514000;-0.00019;-65
US;p1;1962;;10;0.00029;105;30;0.00033;154;0;0;0;-4650;-0.00235;-3627;-20;-3.00E-05;-12;0;8.00E-05;36;-410;-0.00285;-354;0;0;-1
US;p2;1962;;190;0.00071;259;250;0.00073;342;0;0;0;-2900;-0.0016;-2463;0;0;1;110;0.00035;167;-310;-0.00216;-268;0;1.00E-04;35
US;p3;1962;;320;0.00102;374;420;0.00104;490;0;0;0;-2050;-0.00105;-1620;10;8.00E-05;36;230;0.00062;292;-240;-0.00171;-213;90;0.00037;129
US;p4;1962;;430;0.00131;480;560;0.00132;622;0;0;0;-1300;-0.00072;-1111;60;0.00014;64;350;0.00085;401;-200;-0.00149;-186;170;0.00055;191
US;p5;1962;;530;0.00155;569;680;0.00156;734;0;0;0;-970;-0.00058;-904;70;0.00018;87;460;0.00106;501;-170;-0.00132;-164;230;0.00076;261
US;p6;1962;;610;0.00178;652;790;0.00177;840;0;0;0;-860;-0.00048;-736;110;0.00027;125;550;0.00127;597;-150;-0.00116;-144;300;0.00099;344
US;p7;1962;;690;0.00198;726;890;0.00199;929;0;0;0;-700;-0.00044;-680;140;0.00031;147;640;0.00146;687;-140;-0.00104;-130;380;0.00119;412
US;p8;1962;;760;0.00217;796;970;0.00216;1021;0;0.00013;40;-670;-0.00041;-639;160;0.00036;169;730;0.00163;765;-120;-0.00092;-115;440;0.00139;480
US;p9;1962;;830;0.00237;869;1050;0.00236;1108;80;0.00035;112;-580;-0.00037;-564;190;0.00048;224;810;0.0018;845;-110;-0.00081;-101;510;0.00156;541
US;p10;1962;;900;0.00254;930;1150;0.00252;1184;150;0.00057;179;-540;-0.00031;-478;260;0.00059;280;880;0.00195;920;-90;-0.00072;-90;570;0.00172;597
US;p11;1962;;960;0.0027;993;1250;0.00269;1265;210;0.00076;240;-440;-0.00026;-402;310;0.00075;352;950;0.00209;987;-90;-0.00066;-82;630;0.0019;658
US;p12;1962;;1000;0.00286;1050;1300;0.00284;1340;270;0.00098;309;-360;-0.00022;-338;390;0.00095;445;1000;0.00225;1055;-80;-0.00062;-77;680;0.00205;711
US;p13;1962;;1100;0.00301;1105;1400;0.00298;1410;350;0.00121;381;-260;-0.00015;-237;490;0.00113;529;1100;0.00237;1116;-70;-0.00057;-71;740;0.00221;766
US;p14;1962;;1150;0.00314;1159;1450;0.00315;1473;410;0.00142;449;-190;-7.00E-05;-107;570;0.00131;618;1150;0.00249;1172;-70;-0.00053;-66;790;0.00236;813
US;p15;1962;;1200;0.00331;1210;1500;0.00328;1544;490;0.00162;510;-70;-4.00E-05;-63;670;0.00151;716;1200;0.00262;1235;-60;-0.0005;-62;840;0.00248;860
US;p16;1962;;1250;0.00345;1268;1600;0.00344;1620;540;0.00182;575;-30;0;-3;760;0.00172;803;1250;0.00276;1297;-60;-0.00047;-58;880;0.00262;907
US;p17;1962;;1300;0.00358;1325;1650;0.00359;1692;610;0.00202;638;0;0;0;850;0.00189;888;1350;0.00289;1361;-60;-0.00044;-54;940;0.00278;964
US;p18;1962;;1350;0.00379;1379;1700;0.00374;1757;670;0.00224;707;0;0;0;930;0.00209;984;1400;0.00301;1415;-50;-0.0004;-49;990;0.00294;1016
US;p19;1962;;1400;0.0039;1430;1800;0.00387;1822;740;0.00243;768;0;0;5;1050;0.00231;1090;1450;0.00314;1474;-50;-0.00035;-44;1050;0.00308;1067
US;p20;1962;;1450;0.00403;1480;1850;0.004;1883;810;0.00267;843;40;6.00E-05;96;1150;0.00252;1186;1500;0.00326;1535;-40;-0.0003;-37;1100;0.00323;1114
US;p21;1962;;1500;0.00415;1526;1900;0.00412;1942;880;0.00292;924;130;0.00011;166;1250;0.00272;1278;1550;0.00336;1584;-30;-0.00026;-32;1150;0.00337;1167
US;p22;1962;;1550;0.00428;1570;1950;0.00426;2000;960;0.00314;994;220;0.00015;236;1350;0.00293;1377;1600;0.00349;1643;-30;-0.00022;-28;1200;0.00351;1216
US;p23;1962;;1600;0.0044;1617;2050;0.00438;2060;1000;0.00335;1056;260;0.00018;272;1400;0.00311;1464;1650;0.00362;1701;-30;-0.00019;-23;1250;0.00365;1262
US;p24;1962;;1650;0.00454;1667;2100;0.0045;2120;1100;0.00355;1123;300;0.0002;309;1500;0.0033;1555;1750;0.00374;1758;-20;-0.00015;-19;1300;0.0038;1315
US;p25;1962;;1700;0.00465;1708;2150;0.00462;2177;1150;0.00377;1190;330;0.00024;368;1600;0.00352;1653;1800;0.00388;1824;-20;-0.00013;-16;1350;0.00396;1371
US;p26;1962;;1750;0.00479;1756;2200;0.00476;2242;1200;0.00395;1250;390;0.00028;438;1700;0.0037;1743;1850;0.00403;1895;-10;-1.00E-04;-12;1400;0.00412;1427
US;p27;1962;;1800;0.00492;1811;2300;0.00491;2311;1300;0.00415;1313;480;0.00033;503;1800;0.0039;1837;1950;0.00418;1968;-10;-7.00E-05;-9;1450;0.00429;1488
US;p28;1962;;1850;0.0051;1868;2350;0.00506;2383;1350;0.00436;1380;530;0.00037;572;1900;0.00411;1932;2000;0.00433;2038;-10;-4.00E-05;-6;1500;0.00449;1551
US;p29;1962;;1900;0.00524;1923;2400;0.00522;2454;1400;0.0046;1453;640;0.00045;692;2000;0.00432;2029;2050;0.0045;2115;0;-2.00E-05;-2;1600;0.00468;1619
US;p30;1962;;1950;0.00538;1973;2500;0.00536;2526;1500;0.00479;1515;760;0.00053;811;2050;0.0045;2119;2150;0.00466;2194;0;0;0;1650;0.00488;1690
US;p31;1962;;2000;0.00553;2031;2550;0.00553;2599;1550;0.005;1580;840;0.00058;893;2150;0.0047;2210;2250;0.00481;2265;0;3.00E-05;4;1700;0.00506;1753
