alpha2;year;p2;ahweal992j;shweal992j;afiinc992j;sfiinc992j;afainc992j;sfainc992j;aptinc992j;sptinc992j;adiinc992j;sdiinc992j;npopul992i;mhweal992j;mfiinc992j;mfainc992j;mptinc992j;mdiinc992j
"US";1913;"pall";2796.8494;1;487.43098;;596.09787;.99997044;596.09787;1;596.09787;1;56687000;1.58545e+11;2.76310e+10;3.379e+10;3.379e+10;3.379e+10
"US";1913;"p90p100";21930.143;.78410169;;;2508.9648;.42089812;2521.3124;.42296954;2461.5747;.41294809;56687000;1.58545e+11;2.76310e+10;3.379e+10;3.379e+10;3.379e+10
"US";1913;"p99p100";126098.03;.45085742;;;11162.423;.18725822;11222.772;.18827063;10457.072;.17542541;56687000;1.58545e+11;2.76310e+10;3.379e+10;3.379e+10;3.379e+10
"US";1913;"p0p50";;;;;;;;;;;56687000;1.58545e+11;2.76310e+10;3.379e+10;3.379e+10;3.379e+10
"US";1913;"p0p90";670.92783;.21589831;;;383.53752;.57907231;382.18514;.57703046;388.82266;.58705191;56687000;1.58545e+11;2.76310e+10;3.379e+10;3.379e+10;3.379e+10
"US";1913;"p90p95";6834.1003;.12217498;;;1268.5836;.10640732;1277.1832;.10712865;1330.2681;.11158135;56687000;1.58545e+11;2.76310e+10;3.379e+10;3.379e+10;3.379e+10
"US";1913;"p95p99";14758.225;.21106929;;;1896.0768;.12723258;1901.1091;.12757027;1876.8339;.12594133;56687000;1.58545e+11;2.76310e+10;3.379e+10;3.379e+10;3.379e+10
"US";1913;"p0p99";1551.3829;.54914258;;;489.34952;.81271221;488.75773;.81172937;496.49208;.82457459;56687000;1.58545e+11;2.76310e+10;3.379e+10;3.379e+10;3.379e+10
"US";1914;"pall";2836.0466;1;481.97841;;545.6317;.99999994;545.6317;1.0000316;545.6317;1.0000316;57986000;1.64451e+11;2.79480e+10;3.164e+10;3.164e+10;3.164e+10
"US";1914;"p90p100";22206.036;.78299264;;;2328.5501;.42676224;2343.0455;.42941887;2276.1918;.41716634;57986000;1.64451e+11;2.79480e+10;3.164e+10;3.164e+10;3.164e+10
"US";1914;"p99p100";126363.4;.44556178;;;10469.888;.19188563;10541.194;.19319247;9698.5594;.17774919;57986000;1.64451e+11;2.79480e+10;3.164e+10;3.164e+10;3.164e+10
"US";1914;"p0p50";;;;;;;;;;;57986000;1.64451e+11;2.79480e+10;3.164e+10;3.164e+10;3.164e+10
