"Data Source","World Development Indicators",

"Last Updated Date","2016-07-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139851496.352118","142518387.517986","150776945.511938","172625698.276805","184916201.062731","174849562.379702","191455922.681094","197732244.630774","200801248.977658","209878263.448582","229782953.028073","235890981.502145","248157321.333232","267712545.706314","279708204.399598","250811431.206189","262436117.126271","279611912.430118","","","","",
"Andorra","AND","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","5924594.48463483","6732626.92843725","8569878.06613832","11435430.3841485","14160986.4382164","17789568.4208461","18364851.0888097","20516802.0927264","24835165.7128821","33056500.3293624","40470752.1550595","35095474.6755525","33795158.6198431","29380104.297467","29483829.1146967","33668346.4751205","46744046.9441945","59380082.8736821","70154324.5284736","77425960.1275793","101358242.971212","108835218.014781","118592964.688431","98097687.4748445","99075789.7623938","117894930.695664","122765923.089027","120006108.376295","123013051.263319","126849201.483297","140495331.306529","151198883.114303","177212944.167607","248245717.927826","307738314.709356","338605093.904799","368627755.216597","416297616.82841","410978793.406986","368391404.575086","354316946.38086","359843509.39185","324607008.084648","331448510.166217","","",
"Afghanistan","AFG","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","95557099.0566959","99541538.8682223","83639222.4564371","90931235.633441","115263994.777383","133421765.598005","144189256.263855","168555729.142891","189336486.640945","213412791.703465","228970841.992964","214358176.565304","","","","","","","","","","","","","","","","","","","","151240747.714719","285096841.923781","342682517.656619","431649900.327132","483375549.073188","566840997.001607","808184254.603537","904740028.108595","1111250449.32299","1506362061.04895","1707978946.41415","2075946248.34328","2138791484.15027","2083209974.39897","",
"Angola","AGO","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","489253034.263664","480810415.774718","445226489.27213","426649330.89821","640084428.416677","634562228.713082","726485867.24366","374724090.27478","543582516.609867","346345660.935006","539918451.934381","732209074.771873","872878639.347216","768926024.659021","794596854.599674","1344939268.43431","1259807032.41018","1840595587.42692","2033293055.86017","2400587422.41035","3023871089.98383","3448773343.82842","3675666344.17478","4939007932.41094","4425736825.86552","5678275645.00372","7663313998.9426","9229653991.57971","10790292192.4389","","",
"Albania","ALB","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","177547156.341462","191619908.215203","213685709.307868","211673070.687368","208623651.194571","232099969.503658","203148578.021544","104301355.12075","62184434.3762636","109845884.344105","180869548.329369","231329728.998068","314262953.348049","228999969.95947","275342490.953926","362206432.64421","389044755.181814","457530075.180849","505628954.495908","646688423.438715","833681214.215223","933848133.15916","1049836099.52834","1304898729.06797","1572603586.76821","1463631267.93847","1456609515.76462","1586487209.50795","1477751643.46743","1511797203.11916","1540760746.71718","",
"Arab World","ARB","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","1018061741.56787","1505176363.88784","1915807884.39442","2288662324.6785","2783553295.10136","3581042576.0395","4233704757.75418","5670488144.49512","6890919485.21536","7234005720.92753","6954196022.45215","6237884216.13906","5565226003.68883","5989446718.42826","6210306856.83779","6574014610.84103","6711440269.66044","7088805197.88101","7343286031.30618","7913175514.44","9031873891.85668","10014142377.0664","10913091623.1915","10710614040.5289","11859850852.4043","14429192674.2709","14500920664.6256","15473235735.4993","17419364248.7172","20552337833.1748","24112536667.0647","29242005332.6311","33875572229.792","40796476337.4184","33764511964.3212","38523776395.2946","45679241210.7293","48875190960.2162","51004658532.884","53332495078.8614","",
"Argentina","ARG","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","3814007072.23784","4230240031.39234","4481638174.63286","6259676905.24937","8250043373.97263","6846230140.59638","7752815859.93541","6716327252.52468","8209043471.74885","8533846389.03696","9371314330.62886","10688198187.0266","12289030572.5803","14472858288.6991","10863351918.7015","13288907561.0632","15725219307.7113","15396467655.1979","17945573654.6231","11880327385.0985","22186214746.3848","26590890986.0482","28973163346.7458","29227029517.176","31083034010.5634","33596279707.765","34347939031.8949","35054625053.1324","35852987041.9995","36817529795.8621","38368893548.8872","38652765374.6442","17892757215.9338","20113948809.4539","25445883369.5228","27802154278.6491","30507705208.7112","35531558273.4303","36900199811.1571","36844167621.2611","43238110196.9948","50714275481.3876","54842958633.7383","55652072250.4185","48615752791.315","",
"Armenia","ARM","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342305545.900805","309968233.204056","211919925.004029","181545434.849164","194111837.482693","210040770.395745","239150809.845955","236391874.019037","258830250.95978","259638091.424812","278627446.883137","302840310.096043","353514001.683689","394006909.488472","472502375.611877","620690888.839452","746821646.643142","1058735804.05385","1225726323.46429","938678184.6127","1042433717.10017","1084871283.06376","1141042318.72861","1331023223.25984","1480774737.30841","",
"American Samoa","ASM","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","4554257.57600688","5191374.25067802","5516030.56894958","7162004.14068485","8267988.59598354","10842054.6856637","13807545.2379997","14733365.5030416","16356415.2663498","19071368.3336266","21887176.9841584","27900629.4678216","30947711.3446924","35393992.6574678","37133853.2440926","40976539.9735123","44420294.8066653","47580592.32211","51614492.0686096","55491302.6496077","59688693.293589","63500159.7670115","67377165.3200804","87264188.6825831","89833051.2432725","86355129.5027874","81674578.8585111","81314988.2311151","83069226.2767262","79914312.8083352","88131376.637653","98712901.4488038","104667129.4313","109741013.840727","116951964.741759","136837207.308104","148470644.541928","163299547.406055","",
"Australia","AUS","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","7076222602.13596","7810471339.55161","8618929733.97164","10361406406.7859","13832232311.9669","15221123953.7643","15993188683.282","17240793212.2374","18041725906.8774","20803334333.991","23179110889.7865","27308305335.8713","31570248024.2019","28338893633.6238","30663738709.1466","29569830922.7739","31300493084.2107","31794057261.386","38801873620.9207","49254818720.568","52294251913.2835","55227796644.645","55249482204.1425","53104826065.7414","53770332080.6925","59604680674.9641","63246080525.012","69739450566.5251","64199896192.4796","62090208463.4304","67499603934.2904","61019188108.3665","63023361315.354","73524471941.7216","97547144665.3845","110526783574.29","119322675098.702","135631736607.417","168547837409.328","150243687686.068","178599150140.7","214234202260.288","244567386240.492","256554614289.925","247950418092.344","",
"Austria","AUT","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","2285514220.648","2685801120.59918","3294686615.37623","4316806586.40682","5181521862.93924","6023981271.24927","6232748751.43135","7641531991.12869","9418993336.71583","11067287774.4038","12609864151.1202","11255160053.8409","11397611228.5651","11381601875.0298","10718830584.915","10839586550.7727","15470686446.0253","19527650477.6917","20787975423.997","20788771226.4245","25801050847.6188","27007078923.0144","30917402306.8864","30815531956.554","32853971960.11","38336760066.6832","37899062701.632","34221821739.2047","35174693593.9724","35128979631.5625","32031925539.9252","32668070542.523","35668319252.5913","44300144422.1223","50526157939.1364","52956599711.472","55475411941.7211","63285116076.2139","71550979843.5448","70041490661.8248","68321571993.217","74340200797.9202","71582107647.621","76140552860.1081","78359630085.224","",
"Azerbaijan","AZE","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1232033056.47922","1099924997.27859","636956028.851943","539561828.222845","462961315.825229","429302419.792014","353964194.360267","557641154.313019","744094382.524092","713344929.340952","659342562.819779","704271730.041256","790028569.81589","800074659.762186","926706874.77971","1316133235.89765","1696555211.12582","2016781260.93898","2701557935.73084","2640457825.35934","2864208296.99191","3047613017.59226","3221873051.74818","3309728713.74399","3669743266.20186","",
"Burundi","BDI","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","39573014.4832442","40562357.0865018","40386540.6999527","48630953.8565191","54830337.2072431","67175789.2680357","70262668.8672809","84824917.3488043","94725225.3138143","122538950.254503","146215339.773682","152226396.129536","161055069.374227","172720118.749132","159370469.119928","184750764.110238","193673897.023915","183033872.92592","175519658.806799","184309695.146738","186190327.654153","190025216.970603","175935499.273711","156656790.391002","155261426.604264","169984236.003925","151630726.645363","169443800.366343","152770934.629764","143265544.65769","155000786.40455","155731228.252185","145486758.214793","138049691.840021","161983639.898302","205123938.692654","219194286.215018","201119154.874091","235487816.829416","255253249.191623","298399703.072066","345834738.914119","363543649.785331","399772737.092208","456324821.679724","",
"Belgium","BEL","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","3851013999.72508","4217050680.189","5232544845.53659","6410364316.1097","7666969987.35355","8929027600.26654","9260331306.88385","11311953394.0181","13811849906.2797","15948400929.9828","19729454998.6692","17129673042.5457","15004924258.6703","14177772121.6766","13130281804.0133","13489340888.9645","18371391417.4483","22606671401.0918","23759589158.4096","23887124699.62","29877716366.6245","31256404605.2538","35243885301.8697","34499065783.14","37513885450.4775","45318618059.8688","45213345391.4604","41048386222.2798","42459933087.7178","43204169109.8004","39790136853.5165","40506375024.2932","44154468199.982","55993385973.615","64314330354.5815","68146623680.94","73641437234.8413","84893002424.9268","97001749546.9328","93995621556.2571","93095403605.4174","102396808515.345","98139953436.614","102787887974.225","104593268564.525","",
"Benin","BEN","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","16984981.2205845","17618439.8986879","19084725.9883915","24932158.1421253","25780784.6201058","33100746.8121398","44453164.6188202","44322478.0710239","60105515.8077869","67481698.7864733","75211791.1297908","71138343.0368443","61531182.881811","74572910.4185963","67857591.752473","61210226.0070512","80681389.6867945","95780183.1524986","98118823.9115766","92848698.4090262","114357298.517091","115823060.314618","102313871.697082","135603661.223776","102006004.823444","127757090.316709","146597711.182824","141554900.697223","157239961.240564","173091190.819576","165230265.038606","164819336.356456","185144173.606645","232245944.050036","272246405.980521","286594914.135366","292020195.856484","320861301.98206","375764107.55256","381919719.819714","389593608.334703","425108735.974971","446252201.196111","506111213.64322","537412800.625689","",
"Burkina Faso","BFA","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","19640281.9736399","19972765.9572861","23320291.4093782","29129202.9063022","32434675.926979","43099367.9457203","48655595.1942418","56879875.9911947","72257054.7219391","85446547.0114057","106746932.597049","100290234.743161","104871100.57196","107503195.977366","104024583.960554","106376496.812688","144829796.136146","178637729.582598","197647752.151363","202030037.918361","252573035.544899","243405144.171606","182005968.191376","190907663.472718","155755804.009748","198928265.961529","204542092.631918","193252615.935499","227965588.643805","256141269.996118","165061697.303571","177337010.143544","208697937.797481","268736846.99989","340971785.332905","390923436.264746","455806185.557537","578243005.006887","636067259.840874","617790597.445256","578674335.243206","825626722.740916","864023568.452693","941821257.266746","980322815.821755","",
