"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","31.98252384","","","","39.85761765","41.46477965","41.91009745","43.43690136","44.79294429","46.58091202","49.29969441","52.03856632","54.05421533","56.87344534","60.46277381","62.49516409","64.5108131","66.44610402","67.68830631","69.23185149","72.03160231","74.1087087","76.56598673","79.3662932","81.37421125","84.13737451","87.17364959","91.87335769","100.103127","97.96455227","100","104.3745958","104.9713633","102.4811662","102.91261","103.4029732","102.479564","101.986314990648",
"Afghanistan","AFG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.13189273","71.14097429","76.30217768","82.77480692","108.0666","99.11535881","100","110.2016601","118.1563","127.2003573","133.0570866","131.016195","133.8585287","",
"Angola","AGO","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.22E-08","4.08E-08","1.63E-07","2.41E-06","2.53E-05","0.000699912","0.029712006","0.094833807","0.196576088","0.684469883","2.90897559","7.346938493","15.34756614","30.42251619","43.66907214","53.69712626","60.84059102","68.2927576","76.81140046","87.35872038","100","113.4670154","125.1467361","136.1297275","146.0393748","161.0512393","216.9942543","281.753122698418",
"Albania","ALB","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.115616401","16.6771868","30.85358795","37.81571633","40.76277774","45.95003598","61.19638399","73.82906717","74.11658536","74.15365709","76.45804744","82.39923977","82.79805424","84.68586575","86.69002617","88.74521117","91.34782643","94.41642136","96.56958995","100","103.4503472","105.5520402","107.5972351","109.3529831","111.4416436","112.8712157","115.121786592095",
"Andorra","AND","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.95402445","97.60625787","99.12872123","100","100.8768366","101.5469402","102.6634323","105.0717402","109.3469353","111.1160341","113.303770547701",
"Argentina","ARG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.462030296","16.04850284","44.28605631","52.5592167","59.89688496","65.09143412","65.51338658","64.99525184","67.03994049","67.7505969","70.94947749","75.88845605","76.37592044","78.58498444","82.04850831","89.39181153","92.43718211","100","107.6512336","110.4022296","116.7987006","120.280456","124.7628106","123.1768127","124.373589667768",
"American Samoa","ASM","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.56938073","80.46158257","81.08256881","82.21999235","84.19956859","85.87811271","87.62150502","89.46046308","91.05982416","92.34927916","97.27501092","96.73984273","100","103.4567497","106.9503604","108.0834972","109.2610037","110.3197357","109.7797892","",
