"Data Source","World Development Indicators",

"Last Updated Date","2019-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","31.9826181318074","","","","39.8577351593881","41.4649018964058","41.9102210139946","43.4370294171569","44.7930763541759","46.5810493526159","49.2998397547382","52.0387197411127","54.05437469441","56.873613017793","60.462952070841","62.4953483443488","64.511003297646","66.4462999139352","67.6885058735256","69.2320555968976","72.0318146799062","74.108927187662","76.5660595573112","79.3654192375592","81.3729003163727","84.1381756422133","87.1736495895311","91.8737218367097","100.10305419121","97.9645522714163","100","104.316331940827","104.971363315912","102.481166209295","102.913265514208","103.402172076465","102.485244679054","101.991968327769","105.64368293109",
"Afghanistan","AFG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.5233948093157","71.5821433759539","76.4387030058668","83.0740187275294","105.021064735005","97.8679108385313","100","111.804185808913","119.005731346616","127.795223073732","133.768366733582","132.883209191418","138.708665508891","145.610741438593","",
"Angola","AGO","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.22008150730772E-08","4.08014979721419E-08","1.63005984545567E-07","2.41008848315838E-06","2.5300928889588E-05","0.000699937697271515","0.0297130970585906","0.094837288950553","0.19658330514343","0.684495013337209","2.90908239295018","7.34720823610933","15.3481296293837","30.4236985252629","43.67081781503","53.69480503122","60.8390116952928","68.292701659282","76.8127824283575","87.3593955494138","100","113.482467921851","125.146088077866","136.131179284704","146.042056377604","161.052326207984","213.197420100571","280.763277338802","337.450432498107",
"Albania","ALB","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.11476319055453","16.6744052854876","30.8484420189515","37.8094092156115","40.7559791036701","45.9423721802302","61.186177324196","73.8167535553786","74.10422378836","74.1412893400533","76.4452953510446","82.3854967754163","82.7842447315689","84.671741380676","86.6755675346977","88.7304097599339","91.3325909428359","94.4042316258352","96.5107646622123","100","103.4428359317","105.549368968077","107.581662954714","109.31700074239","111.404974016333","112.825527004454","115.075186896808","117.400615256125",
"Andorra","AND","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.9537830939087","97.6059869416765","99.1284460839815","100","100.877346595685","101.545425889605","102.663561221631","105.072324180443","109.348732137854","111.115725679973","113.303456055268","116.779772707568",
"Argentina","ARG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.462030295706842","16.0498210283141","44.289693873561","52.5635338054846","59.9018047741462","65.0967806009243","65.5187677213725","65.0005904218581","67.0454470164194","67.756161803785","70.9553051421402","75.8946893809888","76.3796018037861","78.5887722763934","82.0524630946995","89.3961202671007","92.4416376368405","100","107.650008078593","110.403716898759","116.795725329982","120.277766438018","124.766161254862","123.014933984404","124.207629297982","127.33795197859",
"American Samoa","ASM","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.5693807339448","80.4615825688071","81.0825688073393","82.2199923547401","84.1995685889035","85.8781127129751","87.621505024028","89.4604630843163","91.0598241590214","92.3492791612058","97.2750109217999","96.7398427260813","100","103.456749672346","106.950360419397","108.083497160332","109.261003713412","110.319735692442","109.779789209262","112.450169287899","",
