"Data Source","World Development Indicators",

"Last Updated Date","2016-07-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","41.4647796487359","41.9100974534258","43.4369013552204","44.7929442943142","46.5809120214157","49.2996944079447","52.0385663194973","54.0542153301995","56.8734453418466","60.4627738127319","62.4951640942876","64.5108131049897","66.4461040155979","67.6883063128914","69.2318514855386","72.0316023142403","74.1087086982107","76.5659867274941","79.3662931953645","81.3742112530807","84.1373745142251","87.1736495895311","91.8733576876239","100.103127021027","97.9645522714163","100","104.374595794515","104.971363315912","102.481166209295","102.912610045854","103.402973204454",
"Andorra","AND","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.1318927309003","71.1409742918197","76.3021776776999","82.7748069188245","108.066600010077","99.1153588128686","100","110.201660141582","118.156300027035","127.20035727534","133.057086584945","131.016195008548",
"Angola","AGO","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.407605402157E-06","","0.000699911725453789","0.0297120061821803","0.0948338071269945","0.196576087851681","0.684469883023073","2.90897558990128","7.34693849323699","15.3475661434394","30.4225161866313","43.6690721373618","53.6971262620668","60.8405910165032","68.2927575963651","76.8114004572421","87.358720378298","100","113.467015350446","125.146736137673","136.129727500683","146.039374789764","161.051239264314",
"Albania","ALB","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.11561640084525","16.67718679729","30.8535879479423","37.8157163261906","40.76277774116","45.9500359768252","61.1963839895288","73.8290671682311","74.1165853550575","74.153657089776","76.458047439507","82.3992397682071","82.7980542408038","84.6858657493686","86.6900261681513","88.7452111683053","91.3478264295177","94.4164213626452","96.5695899495834","100","103.45034715268","105.552040205314","107.597235059701","109.352983057361","111.417359094723",
"Arab World","ARB","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.9540244505931","97.606257865569","99.1287212337473","100","100.876836632777","101.546726725813","102.664442818204","105.071620061744","109.346134980362",
"Argentina","ARG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.5","",
"Armenia","ARM","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.462030295706842","16.0485028362837","44.2860563051802","52.5592166962017","59.8968849634196","65.0914341202852","65.5133865823993","64.9952518414397","67.0399404893516","67.7505969048158","70.9494774934964","75.8884560544918","76.3759204433311","78.5849844378653","82.0485083124573","89.3918115336927","92.4371821149321","100","107.651233637976","110.402229587225","116.798700625537","120.280455960631","124.762810626746",
"American Samoa","ASM","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.569380733945","80.4615825688073","81.0825688073395","82.2199923547403","84.1995685889032","85.8781127129751","87.6215050240277","89.460463084316","91.0598241590211","92.3492791612058","97.2750109217996","96.7398427260813","100","103.456749672346","106.950360419397","108.083497160332","109.261003713412","110.319735692442",
"Australia","AUS","Consumer price index (2010 = 100)","FP.CPI.TOTL","7.98282710206596","8.18336629277896","8.16057774840513","8.2038759827587","8.39757861012993","8.73029135832052","8.99008076441914","9.27721642381649","9.52333270329994","9.80135294493864","10.1842004908018","10.8017700439728","11.4352915781987","12.5177474369924","14.4091966219115","16.5809449029317","18.823337671513","21.1386537822092","22.8136117954515","24.8873693354524","27.4076092681564","30.0638848788314","33.4146584257936","36.7940710628285","38.247504887655","40.8250230005762","44.5337851744861","48.3141450735422","51.8081140711546","55.7245096483964","59.7769409038239","61.7033603707995","62.3117033603708","63.441483198146","64.643684820394","67.6419466975666","69.4090382387022","69.5828505214369","70.1767091541136","71.2050984936269","74.3916570104287","77.6506373117034","79.9826187717266","82.1987253765933","84.1251448435689","86.3702201622248","89.4264194669757","91.5121668597914","95.4953650057937","97.2334878331402","100","103.303850156087","105.124869927159","107.700312174818","110.379812695109","112.044745057232",
