"Data Source","World Development Indicators",

"Last Updated Date","2019-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","56.9238836580591","58.9735404977085","60.7971672400535","63.2094875482819","66.8855857243835","70.6392908620231","73.3183388191312","77.2016597651788","82.0677943709474","84.8340041462232","87.616738218631","90.8634552915754","96.8324070824287","98.9626046661004","100","105.629057896627","110.41138795261","112.727941918036","115.175223118592","119.013777599773","122.519085072653","129.808734220297","136.393773126075","138.749392168985","137.80998389694","142.092154420922","143.213383838384","139.987882459861","142.475217783118","145.383222691611","143.271847596008","144.255446135482","",
"Afghanistan","AFG","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","111.65523822034","124.240382550808","137.798454142272","147.719600125925","180.997511515776","184.791741983155","180.793949236649","187.69057005143","218.834717103615","234.813495234107","246.138046378186","247.533512592586","253.59205127826","266.532125561718","271.723432120291","273.875043749848",
"Angola","AGO","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","4.28705632293308E-08","4.19701501468192E-08","4.19701501468192E-08","4.19755070319467E-08","4.19760057477972E-08","4.99662248026381E-08","4.54627380218593E-08","4.9928684326955E-08","5.10339927832032E-08","5.93421546643563E-08","6.76544712689004E-08","1.39577927680422E-07","8.04688737806164E-07","8.18998894556242E-06","0.000186402424825001","0.0035891696476374","0.175888394344964","0.343779182409549","0.479088428283886","3.15001174865776","16.3176590936026","33.6718363717297","100.000001968785","193.926858257731","258.776346106944","368.434273474669","431.503212037768","450.094163436159","537.277045500011","447.223599061626","588.945042067438","776.061968090395","832.370776096916","856.007976631664","886.488903773374","855.298764525375","1041.53407924381","1277.07185317131","1722.06590669197",
"Albania","ALB","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","2.70957288962813","2.65159962714335","2.65112978755412","2.65068558621114","2.64993384496675","2.65924100481951","2.59495916061338","2.59495121762933","2.59493620375731","2.59503167564931","2.58383751831052","3.50146795555262","11.6593511273047","26.3094207492493","35.7393683606848","39.3028202239717","54.3055367445331","60.4093062835158","64.4750006931698","65.8312185344784","69.5465890444503","72.1990492975176","74.8300908923865","78.7190895861339","81.2042071135671","83.8867808789141","85.9677315115566","89.7416286851914","93.4364538934379","95.7000386853914","100","102.314779211204","103.381341681877","103.679881533721","105.29143599897","105.873593687505","105.168133639614","106.702596802823","107.548837067527",
"Andorra","AND","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","5.54081824278109","5.9755436940202","6.4845451496314","7.25292703803017","8.40942085419982","9.82067265696072","11.4400875553245","14.1151338172266","17.0272329194409","19.9102310550807","22.5692053488681","25.3567669949381","28.8008117935171","32.2235680211272","35.7245730914507","38.7952658254677","43.0157311228805","45.5726717004514","48.2779224533165","51.6072679922839","55.388142188722","59.2293924007684","63.2041413864442","66.0718597544631","68.6353506546604","72.0212172854118","72.5953533624887","74.2128941101172","75.3257586764745","77.3836415573946","100","102.769518098936","106.264100862641","109.32436186302","112.987130903513","116.489276497286","120.217506970013","124.869696931017","127.342208154906","127.34219060369","129.379592795535","132.613911441486","134.072549916171","134.073033403127","133.938468229092","133.328424695358","134.261586823102","135.689820523359","136.90559405644",
"Arab World","ARB","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","27.9514420299598","31.2425374330578","32.8845689972593","31.6806282614747","33.914435868816","37.1417254584134","39.7618825316472","40.2839038533763","38.8264252756677","36.4589967348556","36.7289875970048","36.1051511427786","37.4358371062586","38.327201507786","38.9984168228142","40.2993652022558","40.6261320910667","41.3601756572094","41.8887737180555","41.7788261917873","43.4113253667616","45.9174802405966","45.4802077521772","43.5452771815514","47.2219692977798","52.6333877734053","51.3968675565603","53.3349609652285","55.5069775402609","60.225859973351","70.1787957586491","78.5738836543114","88.4223033292433","104.809921008246","88.8966517851226","100","113.165389424771","115.6976167208","114.694344818752","113.531227354465","95.9958747897982","92.9266500219339","98.7904036675315","105.449856495154",
"Argentina","ARG","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","7.18895053091502E-11","8.64907652849211E-11","1.11462242081356E-10","1.3998671649233E-10","1.8026735846122E-10","2.18543409371641E-10","2.74498089075475E-10","3.54152666316617E-10","3.90542952628105E-10","4.20989017434933E-10","4.48218059328181E-10","5.88380614993937E-10","9.66384481480835E-10","1.59970732848138E-09","2.0897047438487E-09","6.2209959491128E-09","3.3489038319795E-08","8.68796669538272E-08","2.27079272548601E-07","5.617419920553E-07","1.09983703146405E-06","2.25770549423123E-06","6.64973964313215E-06","3.19292920209082E-05","0.000227079944710638","0.0016064713869076","0.00284814905357603","0.0064806760228146","0.0311880164529436","0.98120342610931","21.3737192500369","51.4043032052253","59.6659994934379","57.5412362252407","59.180781521562","61.0539262799835","61.0219489829064","60.7388601486823","59.7030927427164","58.6066105825432","59.214529394292","58.5656756966243","76.4605374112749","84.4856083466432","99.9999998969317","110.317511084538","125.47629818382","144.222363056105","177.640364739783","204.957277170641","247.824346395484","306.567321408416","374.977453364052","464.780047776689","652.00726257168","825.310738210731","1164.67339673925","1467.57563410044","2060.06629287601",
"Armenia","ARM","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00192770959655547","0.00345804314751732","0.0231276448496244","0.344871702219828","14.5097759874623","37.8942994023043","45.3184634993444","53.3561436917548","59.0644495265819","59.0962286100014","58.2844379028441","60.6561132418411","62.0935344218797","64.9256816258918","69.0221887545451","71.2583946456358","74.5504310516751","77.7059796177821","82.3602277237253","84.4661252560531","91.0280582071425","94.9254700316155","100","103.366824642245","105.753753195239","107.037508479879","107.324984550164","109.633160636454","112.465102820735",
"American Samoa","ASM","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.7421981004071","70.92866756393","68.5408299866131","67.6075268817204","69.5652173913043","71.5268225584594","79.5197740112994","100","84.5814977973568","84.0409956076135","98.6217457886677","100.944881889764","100.312012480499","101.848998459168","103.322784810127","106.020066889632","",
