"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","1.79","",
"Afghanistan","AFG","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","17.1965606878624","17.1965606878624","17.1965606878624","35.1096447377192","38.6922615476905","38.6922615476905","38.6922615476905","38.6922615476905","38.6922615476905","38.6922615476905","38.6922615476905","38.6922615476905","38.6922615476905","38.6922615476905","38.3787089832034","34.9296307738452","34.9296307738452","34.9296307738452","34.9296307738452","33.8461643196361","34.3694584015197","38.5616585156635","39.276429270146","39.276429270146","39.276429270146","39.276429270146","39.276429270146","39.276429270146","39.276429270146","39.276429270146","39.276429270146","39.276429270146","39.276429270146","39.276429270146","38.818463","36.5671446236559","47.5","47.5","47.5","46.6195310771889","47.3575747311828","47.500014516129","47.263","48.7627535833333","47.8453125","49.4945975","49.9253308333333","49.9620177703972","50.2496147435897","50.325","46.4524610013175","46.747007738581","50.9214","55.3775","57.2475","61.1434615416667","67.8660857692308","68.0269040822312","72.083247177304","77.7379491783367","",
"Angola","AGO","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","2.86684433333333E-08","2.873486E-08","2.86784433333333E-08","2.87520266666667E-08","2.88197766666667E-08","2.87785266666667E-08","2.882386E-08","2.884161E-08","2.872761E-08","2.85611933333333E-08","2.862511E-08","2.819112E-08","2.7052815E-08","2.451462E-08","2.54076008333333E-08","2.55521808333333E-08","2.93836233333333E-08","2.9918E-08","2.9918E-08","2.9918E-08","2.9918E-08","2.9918E-08","2.9918E-08","2.9918E-08","2.9918E-08","2.9918E-08","2.9918E-08","2.9918E-08","2.9918E-08","2.9918E-08","2.9918E-08","5.50983333333333E-08","2.51416666666667E-07","2.66016666666667E-06","5.9515E-05","0.00275022958333333","0.128029166666667","0.229040083333333","0.3928235175","2.79070616666667","10.0405441666667","22.0578616666667","43.5302066666667","74.6063008333333","83.5413625","87.1591416666667","80.3680720555556","76.70614275","75.0333541666667","79.3281666666667","91.9057203405018","93.93475","95.467955421311","96.5182794791526","98.3024168556335","120.060701665019","163.656434116579","165.915950691498","252.855747731297","364.825804980887","",
"Albania","ALB","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.0325","102.0625","94.6233333333333","92.6975","104.498916666667","148.932916666667","150.633333333333","137.690583333333","143.709416666667","143.484833333333","140.154515875","121.86325","102.780051196172","99.8702544808992","98.1033770912698","90.4278938310708","83.8946041005291","94.9781198203843","103.936666666667","100.895833333333","108.184166666667","105.669166666667","105.48","125.961666666667","124.1425","119.1","107.989166666667","109.850833333333","",
"Andorra","AND","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","","","","","","","4.7619000037619","4.7619000037619","4.7619000037619","4.7619000037619","4.7619000037619","4.74796288486442","4.38597784250488","3.99627131386443","3.95904515568157","3.961284999","3.953072499","3.903247499","3.87121083233333","3.81567583233333","3.707364999","3.670999999","3.670999999","3.670999999","3.67099999958333","3.671","3.671","3.671","3.671","3.671","3.671","3.671","3.671","3.671","3.671","3.671","3.671","3.671125","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","3.6725","",
"Argentina","ARG","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","","","","1.3871666666625E-11","1.40391666666167E-11","1.69566666666417E-11","2.09149999999667E-11","3.33424999999917E-11","3.5E-11","3.5E-11","3.79166666566667E-11","4.52166666566667E-11","4.999999999E-11","4.999999999E-11","4.999999999E-11","3.65749999995E-10","1.39983333333167E-09","4.07633333332833E-09","7.95749999999583E-09","1.31696666666408E-08","1.83715833333225E-08","4.40269166666725E-08","2.59225333333263E-07","1.05299574995841E-06","6.7649116666E-06","6.01809E-05","9.43031666666667E-05","0.000214429833333333","0.000875260416666667","0.0423339608333333","0.487589083333333","0.953554416666667","0.990641666666667","0.998945833333333","0.999008333333333","0.99975","0.9996625","0.9995","0.9995","0.9995","0.9995","0.9995","3.06325666666667","2.90062916666667","2.92330081890332","2.9036575","3.05431333333333","3.09564884920635","3.14416455988456","3.71010683052328","3.8962951544705","4.11013957621326","4.53693436018746","5.45935266465704","8.07527599281334","9.23318552472429","14.7581750873396","16.5627069251411","28.0949916666667","48.1478916666667","",
"Armenia","ARM","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.105","288.650833333333","405.908333333333","414.0415","490.84678575","504.915","535.061833333333","539.525833333333","555.078258333333","573.353333333333","578.762954545455","533.450833333333","457.686940629159","416.040369724542","342.079116208671","305.969400261936","363.283285606061","373.660466738817","372.500882448711","401.763975626916","409.625749270293","415.919789204938","477.918306576099","480.488150777966","482.716393849129","482.987946590235","480.445128767119","",
"American Samoa","ASM","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","1.71429000071429","1.71429000071429","1.71429000071429","1.71429000071429","1.71429000071429","1.71429000071429","1.71429000071429","1.76190833409524","2.000000001","2.000000001","2.000000001","1.97487273321145","1.92127814947601","1.95921923598161","2.05323240851763","2.16979583233333","2.61467083283333","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","",
"Australia","AUS","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","0.892856999892857","0.892856999892857","0.892856999892857","0.892856999892857","0.892856999892857","0.892856999892857","0.892856999892857","0.892856999892857","0.892856999892857","0.892856999892857","0.892856999892857","0.882670259295548","0.838697807262207","0.704113907966658","0.696665868638096","0.763871249","0.818284082333333","0.901824999","0.873659249","0.894640915666667","0.878244332333333","0.870214582333333","0.985862832333333","1.11001499916667","1.13951916591667","1.4318949995","1.49597416641667","1.42818","1.27990833333333","1.26459666666667","1.28105666666667","1.28375583333333","1.36164833333333","1.47056","1.36775083333333","1.3490325","1.27786333333333","1.34738","1.59182833333333","1.54995","1.72482666666667","1.9334425","1.8405625","1.54191416666667","1.3597525","1.30947333333333","1.3279734405","1.1950725","1.19217833333333","1.28218881008452","1.09015948638677","0.969463201496735","0.965801030658708","1.03584309652054","1.10936329281692","1.33109026245502","1.34521397601947","1.30475807671592","1.33841214646451","1.43850654421382","",
"Austria","AUT","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","26.000000025","26.000000025","26.000000025","26.000000025","26.000000025","26.000000025","26.000000025","26.000000025","26.000000025","26.000000025","26.000000025","24.9855838961397","23.1153333323333","19.5799999990833","18.692499999","17.4167499991667","17.9396666658333","16.526916666","14.52166666575","13.3674999994167","12.9379999990833","15.9268333323333","17.0592499991667","17.9633333325","20.0090833326667","20.6894999998333","15.2671333333333","12.6425","12.3476666666667","13.2306666666667","11.3698333333333","11.6759166666667","10.9893333333333","11.6321825","11.4218249166667","10.0814958333333","10.5865575","12.2042441666667","12.379065","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01084","0.019995","0.314045","0.8827085","0.860252833333333","0.797075","0.773799686666667","0.824033333333333","0.89483075","0.931316666666667","0.972164166666667","0.982146","0.9826955","0.945421","0.893445","0.858123808243728","0.821619578853046","0.803783333333333","0.80265","0.789686388888889","0.785645349462366","0.784541075268817","0.7843475","1.02456381855059","1.59572157270424","1.72115480222734","1.70001666666667","1.7","",
"Burundi","BDI","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","50.000000049","50.000000049","50.000000049","50.000000049","50.000000049","84.375000080125","87.5000000875","87.5000000875","87.5000000875","87.5000000875","87.5000000875","87.5000000802083","87.5","80.0260833333333","78.75","78.75","86.25","90","90","90","90","90","90","92.9483333331667","119.709166666167","120.690749999417","114.171083333167","123.563833333333","140.395","158.666666666667","171.255416666667","181.512583333333","208.302666666667","242.78","252.6625","249.7575","302.746666666667","352.350833333333","447.765833333333","563.5625","720.673333333333","830.353333333333","930.749166666667","1082.62","1100.9","1081.57716666667","1028.683553","1081.8696825","1185.69083333333","1230.17916666667","1230.74833333333","1261.07333333333","1442.505625","1555.09083333333","1546.68666666667","1571.89833333333","1654.62666666667","1729.055","1782.876875","1845.62289069697","",
"Belgium","BEL","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","50.000000049","50.000000049","50.000000049","50.000000049","50.000000049","50.000000049","50.000000049","50.000000049","50.000000049","50.000000049","50.000000049","49.0569774216899","44.0145833323333","38.976499999","38.951499999","36.7789166656667","38.6051666656667","35.842749999","31.4920833323333","29.3186666656667","29.24166666575","37.1292499991667","45.6905833323333","51.1316666658333","57.7839166664167","59.378","44.6719166666667","37.3340833333333","36.7683333333333","39.404","33.4179166666667","34.14825","32.1495","34.5965208333333","33.4564975","29.4800166666667","30.9615133333333","35.7738908333333","36.2986408333333","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","245.195101398359","245.26010162116","245.013850686544","245.016350696075","245.027184079042","245.060934207708","245.678436557644","246.000937791281","247.564693756951","259.960574351236","276.403137026845","275.356456685332","252.027627462649","222.889183053227","240.704667637823","214.312900341219","238.950494267059","245.679686566576","225.655860233957","212.721644262377","211.279555414705","271.731452550327","328.60625269899","381.066036024628","436.956665788008","449.262962711607","346.305903554493","300.536562401478","297.848218819378","319.008299487903","272.264787954393","282.10690880882","264.691800750579","283.162579500018","555.204695655697","499.14842590131","511.552430272516","583.669372353396","589.951774567332","615.473349319164","710.207977031367","732.397693260228","693.713226496374","579.897426172466","527.338032291576","527.258362649626","522.425624895176","478.633718476363","446.000041432788","470.293423341398","494.794262222947","471.248625718937","510.556338454251","493.899623852237","493.757329875312","591.21169798261","592.605615063022","580.656749587858","555.446458398226","585.950813757156","",
"Burkina Faso","BFA","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","245.195101398359","245.26010162116","245.013850686544","245.016350696075","245.027184079042","245.060934207708","245.678436557644","246.000937791281","247.564693756951","259.960574351236","276.403137026845","275.356456685332","252.027627462649","222.889183053227","240.704667637823","214.312900341219","238.950494267059","245.679686566576","225.655860233957","212.721644262377","211.279555414705","271.731452550327","328.60625269899","381.066036024628","436.956665788008","449.262962711607","346.305903554493","300.536562401478","297.848218819378","319.008299487903","272.264787954393","282.10690880882","264.691800750579","283.162579500018","555.204695655697","499.14842590131","511.552430272516","583.669372353396","589.951774567332","615.473349319164","710.207977031367","732.397693260228","693.713226496374","579.897426172466","527.338032291576","527.258362649626","522.425624895176","478.633718476363","446.000041432788","470.293423341398","494.794262222947","471.248625718937","510.556338454251","493.899623852237","493.757329875312","591.21169798261","592.605615063022","580.656749587858","555.446458398226","585.911013180369","",
"Bangladesh","BGD","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","","","","","","","","","","","","7.86884258502912","7.7001841681495","7.84981599931742","8.22600224121538","12.186180036989","15.3991686037548","15.3750999994167","15.01611666575","15.5519249993333","15.4540583325","17.9866916658333","22.1178833323333","24.6154249995","25.3539333850833","27.9945916666667","30.4069","30.9498333333333","31.7332485981559","32.27","34.5688083333333","36.5961833333333","38.9507583333333","39.5672575","40.2117391666667","40.2783183333333","41.7941683333333","43.8921158333333","46.9056516666667","49.0854","52.1416666666667","55.8066666666667","57.888","58.15004","59.5126583333333","64.327475","68.9332333333333","68.874875","68.598275","69.0390666666667","69.6492916666667","74.1524","81.8626583333333","78.103235","77.6414083333333","77.9469083333333","78.4680916666667","80.4375416666667","83.4662019166667","84.4535225","",
"Bulgaria","BGR","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","0.001169999999","0.001169999999","0.001169999999","0.001169999999","0.001169999999","0.001169999999","0.001169999999","0.001169999999","0.001169999999","0.001169999999","0.001169999999","0.001169999999","0.00108","0.00097916666575","0.000969999999","","","","","","","","","","","","","","","","","0.01778825","0.0233411666666667","0.0275935833333333","0.0541336666666667","0.0671708333333333","0.177888666666667","1.68187916666667","1.76035833333333","1.83638333333333","2.123275","2.18470833333333","2.076975","1.73270166666667","1.57510891666667","1.57413333333333","1.55926666666667","1.42905","1.33711666666667","1.40669166666667","1.47739166666667","1.40645833333333","1.52205","1.47356666666667","1.47418333333333","1.7644","1.76804166666667","1.73545833333333","1.65704166666667","1.74704166666667","",
"Bahrain","BHR","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","","","","","","","0.47618999947619","0.47618999947619","0.47618999947619","0.47618999947619","0.47618999947619","0.474796287589076","0.438597783421538","0.399630307154623","0.394739999","0.395499999","0.395599165666667","0.395649999","0.387453332333333","0.38161749925","0.3770002347101","0.375999999","0.375999999","0.375999999","0.375999999583333","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.375999989166667","0.375999965","0.375999970833333","0.3759999675","0.375999965","0.3759999625","0.375999979166667","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","0.376","",
"Bahamas, The","BHS","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","1.02041","1.02041","1.02041","1.02041","1.02041","1.02041","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",
