"Data Source","World Development Indicators",

"Last Updated Date","2017-05-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2381000000","2364000000","2470000000","2742000000","2981000000","3083810000","3353480000","3437270000","3474560000","3618130000","3988620000","4172500000","4334440000","4696470000","4997610000","4473090000","4417190000","4626190000","","","","","",
"Afghanistan","AFG","GDP (current LCU)","NY.GDP.MKTP.CN","24200001500","24700000300","24600000500","33800003600","36000002000","45299998700","62999998500","75300003800","61800001500","63400001500","78699896800","82399903700","71799996400","77999996900","96999997400","106499997700","115000000500","132900003800","148500004900","161599995900","160599998500","172200001500","","","","","","","","","","","","","","","","","","","","133987000000","185470755700","224696199700","252596633500","311435666400","352307549100","490403496600","519186097400","615083111900","729900688100","856323131400","1061312099400","1133153125300","1150816738600","1204789571000","",
"Angola","AGO","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","200","200","200","200","300","300","800","2600","26900","620200","13662000","835493000","1751785000","2531764000","17171000000","91666100000","197110800000","544012000000","1058585000000","1640824000000","2460825000000","3358541000000","4636801000000","6316164000000","5988675000000","7579547000000","9780098000000","11011428000000","12056300000000","12462471000000","12321461000000","",
"Albania","ALB","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","15537999900","16072999900","16544000000","16723999700","16510000100","16862999600","17390000100","17252999200","17008000000","18680999900","16812999700","16403999700","53232001000","125340000300","187891007500","224744996900","346403225060.831","346197785980.515","409208829435.553","471578482392.523","523043379072.985","583368609797.925","622710765615.756","694097162436.821","751021596505.642","814796707884.407","882208789416.762","967670033700","1080675931200","1143936457600","1239644584700","1300624080300","1332810989300","1350554787100","1394419988900","1435750631000","",
"Andorra","AND","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","33075100","37328600","43809600","52817200","64679900","75943900","91389700","115960200","141930500","166030700","192360700","215833200","248204100","282616900","318914300","354366200","405699900","453657900","505070300","565962200","630395100","691276900","744521400","770274000","819228800","883347000","931789600","1038925600","1088194100","1163747900","1521400000","1658390000","1825000000","2103300000","2349180000","2611890000","2819050000","2930430000","2731620000","2627330000","2526620000","2465400000","2448650000","2447090000","","","",
"Arab World","ARB","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","58313000000","75951000000","97082000000","92041000000","119147000000","161638000000","181103000000","171152000000","157131000000","153477000000","149056000000","124607000000","133569000000","133168000000","152218000000","186125000000","189248000000","199112000000","204200000000","217709000000","241345000000","270080000000","289418000000","277914000000","310126000000","383179000000","379412000000","403300000000","456662000000","542885000000","663316000000","815684000000","947197000000","1158580526300","931152675000","1050516186600","1279962000000","1371429000000","1427128000000","1476191000000","1359913000000","",
"Argentina","ARG","GDP (current LCU)","NY.GDP.MKTP.CN","0.131508916599","0.166807189599","0.2131359279","0.253470897699","0.359472096","0.4818600118","0.601239979299","0.8004699945","0.9252899885","1.093969941099","1.2001999617","1.664659976999","2.7786400318","4.7289600372","6.519309997599","19.402299881","102.3389968872","283.9049987793","708.611022949199","1932.1400146484","3840.3999023438","7474.2998046875","21852.5","109490","790920","5305000","9984100","23332300","111062000","3244039936","68921999360","180898005000","226638004200","236504973300","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","312580000000","375909500000","485115194724.755","582538172937.275","715904271733.848","896980174071.903","1149646090583.64","1247929268925.02","1661720925944.58","2179024103630.78","2637913848215.55","3348308488227.21","4579086425410.1","5854014449178.43","",
"Armenia","ARM","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50310000","79690000","310190016","4218409984","187065008128","522255990784","661209022464","804334993408","955384987648","987443691520","1031338300000","1175876800000","1362471700000","1624642700000","1907945400000","2242880900000","2656189800000","3149283400000","3568227600000","3141651000000","3460202700000","3777945600000","4266460500000","4555638200000","4828626300000","5032089000000","",
"American Samoa","ASM","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","514000000","527000000","512000000","503000000","496000000","520000000","563000000","678000000","576000000","574000000","644000000","639000000","638000000","641000000","",
"Antigua and Barbuda","ATG","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","178590000","202110000","249050000","297180000","336050000","372470000","413830000","468480000","545030000","663920000","773480000","914480000","1008190000","1057240000","1108050000","1144160000","1232650000","1350240000","1334300000","1460900000","1565600000","1674100000","1760000000","2116362200","2089166000","2166829200","2267990200","2425561600","2692910100","3064887700","3480986700","3637844600","3257308000","3065955400","3050779600","3252725400","3241586300","3296635200","3400000000","",
"Australia","AUS","GDP (current LCU)","NY.GDP.MKTP.CN","16579000000","17536000000","17754000000","19195000000","21210000000","23149000000","24332000000","27125000000","29146000000","32686000000","36828000000","40287000000","44451000000","49709000000","60234000000","71093000000","83150000000","95983000000","104812000000","118475000000","134315000000","152043000000","175506000000","189017000000","213329000000","234904000000","260172000000","285733000000","324044000000","367792000000","404086000000","414815000000","422927000000","443968000000","466615000000","495554000000","528960000000","556573000000","588679000000","620243000000","660728000000","705221000000","753388000000","800720000000","861327000000","921929000000","997534000000","1086534000000","1177941000000","1258459000000","1296797000000","1409795000000","1491046000000","1524383000000","1584578000000","1609513000000","",
"Austria","AUT","GDP (current LCU)","NY.GDP.MKTP.CN","12456853504","13815504896","14655121408","15822951424","17326626816","18883733504","20572207104","21879263232","23506483200","25664612352","28977319600","32349321200","36968670400","41896387400","47685992300","50580794800","55872000300","61762466500","65325998400","71657045200","76965931100","82016959900","88147114800","93919975700","98619342900","104078623500","109615923200","113811132500","119357215400","127672925900","137217341900","147109118600","155414095500","160540303000","168547593800","176183300000","182132750000","188309680000","195828190000","203418330000","213196120000","220095680000","226302650000","230999230000","241505020000","253009250000","266478000000","282346910000","291930390000","286188360000","294627500000","308630280000","317116960000","322539230000","330417600000","339896040000","",
"Azerbaijan","AZE","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","293200","534400","4820100","31416400","374677400","2133800000","2732640000","3158280000","3440620000","3775080000","4718100000","5315600000","6062440000","7146500000","8530300000","12522500000","18746230000","28360500000","40137200000","35601500000","42465000000","52082000000","53995000000","57708200000","58977800000","54352100000","",
"Burundi","BDI","GDP (current LCU)","NY.GDP.MKTP.CN","9799999500","10149999600","10675000300","11637499900","13037500400","13415200000","14476400000","15601000000","16030000000","16643000000","21239100000","22123700000","21595400000","24355100000","27189500000","33152700000","38675600000","49278200000","54920300000","70424700000","82775400000","87214200000","91190000000","100658000000","118171000000","138791000000","137201000000","139804000000","151964000000","176743000000","193878000000","211898000000","225599995900","227899998200","233721004000","249864994800","263100000000","342800000000","400200000000","455400000000","627333193100","728046498300","768235261400","849482572100","1007615939900","1208400000000","1309700000000","1467100000000","1910900000000","2140243000000","2494560000000","2970650000000","3566429073700","4221302738800","4784903020200","4868733696262.15","",
"Belgium","BEL","GDP (current LCU)","NY.GDP.MKTP.CN","14450609152","15369578496","16440317952","17674829824","19782035456","21531359232","23118405632","24779487232","26495297536","29388689408","33279550700","36460281300","40816552500","46377028500","54395206300","60199379000","68420339000","73997307200","79466337600","84990667300","92430783300","96909572800","104866281600","111097641000","120029046600","127658064700","133620361700","139004750300","148727639100","161269924800","171007470800","179151581000","188122770200","193753188700","204194275100","211616000000","215942000000","225969000000","234490000000","244226000000","258222000000","265788000000","275065000000","282637000000","298711000000","311481000000","326662000000","344713000000","354066000000","348781000000","365101000000","379106000000","387500000000","391712000000","400805000000","410351000000","",
"Benin","BEN","GDP (current LCU)","NY.GDP.MKTP.CN","55462047700","57800011800","57929838600","62216437800","66112991200","71045292000","74422198300","75330887700","80786079700","85981503500","92215746600","92264521700","103414964200","112419971100","133508014100","145062002700","166884999200","184271994900","209598971900","252337012700","296900984800","350837964800","416599998500","417399996400","459300012000","469800026100","462700019700","469561999400","482587410400","479244386300","533629545100","560387826700","594416368900","644069732800","887259268600","1082965970900","1207834857200","1323938197500","1448386288100","1656100000000","1829200000000","1964700000000","2129000000000","2269800000000","2388600000000","2533800000000","2688900000000","2861000000000","3194100000000","3351200000000","3452200000000","3687200000000","4162100000000","4523800000000","4799500000000","4903700000000","",
"Burkina Faso","BFA","GDP (current LCU)","NY.GDP.MKTP.CN","81022959600","85901672400","92999196700","96546406400","100539957200","103640383500","106597359600","110885888000","113989353500","124338790400","126704377900","132835033100","145822056400","150399729700","180801323000","201448276000","233346433000","277918974000","332974096400","371939672100","407499079700","482552217600","576523272200","609811824600","637904355300","697477693400","705183875100","712222048300","779182997500","834394193900","844374999000","884418019300","888488984600","905988997100","1052274262000","1187732652000","1323156242400","1428629487600","1654757130200","1854884000000","1874420000000","2061924056000","2234260000000","2444349000000","2556133000000","2881405000000","3056120000000","3237842000000","3739492000000","3951809000000","4447571000000","5060321000000","5700577000000","5896173000000","6059930905040.19","6320427727906.89","",
"Bangladesh","BGD","GDP (current LCU)","NY.GDP.MKTP.CN","20519491600","23124385800","24390785000","25533401100","25853063200","28351856600","30910501700","34817163300","35921691700","40660830900","43165066400","42008847300","37729475200","62922812900","99674260500","172623537500","150239133000","149303279700","200820319200","236906610500","280777000000","330880000000","371249000000","418391000000","473021000000","579239000000","653221000000","753239000000","829265000000","923893000000","1039585474800","1105182177000","1195424572200","1253694434000","1354123301400","1525177900500","1899334000000","2060032000000","2269299000000","2465089000000","2685034000000","2913370000000","3142804000000","3483202000000","3832940000000","4270741000000","4823369660200","5497997000000","6286822000000","7050718000000","7975387000000","9158288000000","10552040389300","11989231718700","13436744000000","15158022000000","",
"Bulgaria","BGR","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","25791000","27818000","29013000","29814600","31670900","32595300","34423800","36531300","38345100","39579200","45390600","135700000","200800000","298900000","525600000","877862000","1798463000","18829931000","25756368000","24799877000","27917359000","30881595000","33980440000","36516263000","41101640000","46942279000","53490926000","63970233000","73094768000","72843785000","74771260000","80758967000","82040409000","82166086000","83634324000","88571323000","",
"Bahrain","BHR","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","1158100000","1303900000","1370800000","1404400000","1468500000","1373100000","1147700000","1275399900","1392100000","1452700000","1590400000","1735700000","1786400000","1955300000","2093400100","2199399900","2294299900","2387300100","2325100000","2489499900","3407653000","3375054100","3621690300","4164133100","4944462700","6004241300","6957900000","8170480000","9667290000","8624770000","9668190000","10820000000","11561740000","12234830000","12553780000","11703320000","",
"Bahamas, The","BHS","GDP (current LCU)","NY.GDP.MKTP.CN","173200000","193900000","216500000","242500000","272000000","306400000","346800000","398000000","453800000","538700000","539500000","573400000","590900000","670900000","632400000","596200000","642100000","713000000","832400000","1139800100","1335300000","1426500000","1578300000","1732800000","2041100000","2320699900","2472500000","2713999900","2817900000","3062000000","3166000000","3111160000","3109000000","3092000000","3259000000","3429000000","3609000000","4961119000","5353524000","6019972000","6327552000","6516651000","6957996000","6949317000","7094413000","7706222000","7965588000","8318996000","8246650000","7820420000","7909580000","7889750000","8399031000","8521997500","8617738100","8853519100","",
"Bosnia and Herzegovina","BIH","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2034400000","2674985700","4192441000","6367297000","7244156000","8602999800","11689205000","12564994000","13821248000","14505245000","15785974000","17653775000","20060199000","22544508000","25504262000","24779928000","25346492000","26209628000","26193055000","26743085000","27304359000","28539519000","",
"Belarus","BLR","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4330000","8710000","92450000","985320000","17793200000","121402600000","191839200000","366830100000","702161100000","3026063700000","9133800000000","17173200000000","26138300000000","36564800000000","49991800000000","65067100000000","79267000000000","97165300000000","129790800000000","137442200000000","164476100000000","297157700000000","530355500000000","649110700000000","778094700000000","869701700000000","",
