"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","725779516.640253","872808399.366085","1067598256.73534","1244594809.82567","1369147939.77813","1561128300","1715649100","1938533700","2229782000","2363650000","2470130000","2742180000","2980530000","3083810000","3353480000","3437000000","3475000000","3618000000","3989000000","4172000000","4340000000","4681000000","4914000000","4473000000","4279000000","4564000000","4537000000","4836000000","4950000000","5226000000","5309000000","5471000000","","","",
"Afghanistan","AFG","GDP (current LCU)","NY.GDP.MKTP.CN","24200001500","24700000300","24600000500","33800003600","36000002000","45299998700","62999998500","75300003800","61800001500","63400001500","78699896800","82399903700","71799996400","77999996900","96999997400","106499997700","115000000500","132900003800","148500004900","161599995900","160599998500","172200001500","","","","","","","","","","","","","","","","","","","","","182162721300","221358563000","249791940700","308163225800","348048404600","485419056200","515046858600","611692107000","726231122700","850347275400","1028794220100","1138809791300","1176469485800","1222756495400","1222916881118.13","1285460326468.55","1327690394725.78","1469596303316.48","",
"Angola","AGO","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","177.4288007461","166.0593514683","166.0593514683","173.05593188","183.4414710018","226.0025289364","211.5961352958","241.8694506132","262.3759764481","305.2168832638","335.9646476978","700","3800","29400","678100","15015300","835493000","1751785000","2555800000","17171000000","91666100000","197110800000","665385000000","1328940035000","1967571431000","3222352000000","4209762000000","5006335000000","6643353030000","5577340741700","7701651395700","10500941840100","12224949831600","13195003553700","14323859000000","13950290849400","16549565423600","20262296106300","25627742117300","32402258000000","",
"Albania","ALB","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","14991970000","15514160000","15968780000","16142520000","15935960000","16276690000","16778610000","16646370000","16409890000","18024720000","16228430000","15833650000","48934320000","120976260000","177981840000","221803320000","334359130000","331324240000","384848410000","443593640000","501198990000","563448810000","610494270000","677737520000","737655550000","804163210000","872735100000","965527760000","1080676050000","1143937450000","1239645590000","1300624080000","1332810980000","1350052650000","1395304630000","1434306520000","1472479120000","1550645490000","1635714630000","1678430507746.23","",
"Andorra","AND","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","33075100","37328600","43809600","52817200","64679900","75943900","91389700","115960200","141930500","166030700","192360700","215833200","248204100","282616900","318914300","354366200","405699900","453657900","505070300","565962200","630395100","691276900","744521400","770274000","819228800","883347000","931789600","1038925600","1088194100","1163747900","1551090000","1728690000","1865830000","2092490000","2331570000","2540880000","2755130000","2887770000","2789260000","2644840000","2602310000","2607220000","2481850000","2404540000","2462690000","2514510000","2616860000","2655760000","2725270000","2817520000","",
"Arab World","ARB","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","58313000000","75951000000","97082000000","92041000000","119147000000","161638000000","181103000000","171152000000","157131000000","153477000000","149056000000","124607000000","133569000000","133168000000","152218000000","186125000000","189248000000","199112000000","204200000000","217709000000","241345000000","270080000000","289418000000","277914000000","310126000000","383179000000","379412000000","403300000000","456662000000","542885000000","663317651100","815723000000","947197000000","1158580526300","931152675000","1064244000000","1287821000000","1375684000000","1432670000000","1480521000000","1315251000000","1311248000000","1416136223924.55","1550584747565.8","1546644979001.02","",
"Argentina","ARG","GDP (current LCU)","NY.GDP.MKTP.CN","0.1315089166","0.1668071896","0.2131359279","0.2534708977","0.359472096","0.4818600118","0.6012399793","0.8004699945","0.9252899885","1.0939699411","1.2001999617","1.664659977","2.7786400318","4.7289600372","6.5193099976","19.402299881","102.3389968872","283.9049987793","708.6110229492","1932.1400146484","3840.3999023438","7474.2998046875","21852.5","109490","790920","5305000","9984100","23332300","111062000","3244039936","68921999360","180898005000","226638004200","236504973300","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","312580000000","375909500000","485115194700","582538172900","715904271700","896980174100","1149646090600","1247929268900","1661720925900","2179024103600","2637913848200","3348308488200","4579086425400","5954510895700","8228159556500","10660228494808.5","14542722148095.3","21447249859798.7","",
"Armenia","ARM","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50310000","79690000","310190000","4218410000","187065008100","522255990800","661209022500","804334993400","955384987600","987443691500","1031338300000","1175876800000","1362471700000","1624642700000","1907945400000","2242880900000","2656189800000","3149283400000","3568227600000","3141651000000","3460202700000","3777945600000","4266460500000","4555638200000","4828626300000","5043633200000","5067293500000","5564493300000","6017035200000","6569030800000","",
"American Samoa","ASM","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","514000000","527000000","512000000","503000000","496000000","520000000","563000000","678000000","576000000","574000000","644000000","641000000","642000000","661000000","652000000","602000000","636000000","","",
"Antigua and Barbuda","ATG","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","209241235","237274222","294515943","354863772","399172683","443797053","491789051","562606685","650494597","784188380","910372127","1076321865","1184745929","1240570000","1300610000","1348060000","1444970000","1591460000","1558660000","1711070000","1837670000","1965220000","2068740000","2231200000","2161300000","2198830000","2312270000","2483270000","2762000000","3125690000","3544450000","3699190000","3316490000","3101490000","3071620000","3239860000","3189910000","3374280000","3609070000","3878780000","3963540000","4334450000","4487300000","",
"Australia","AUS","GDP (current LCU)","NY.GDP.MKTP.CN","16588000000","17548000000","17762000000","19204000000","21219000000","23159000000","24348000000","27142000000","29167000000","32706000000","36851000000","40314000000","44484000000","49747000000","60272000000","71159000000","83234000000","96074000000","104919000000","118587000000","134424000000","152142000000","175614000000","189157000000","213378000000","234973000000","260240000000","285710000000","323889000000","367536000000","403860000000","414485000000","422447000000","443397000000","465760000000","494567000000","527599000000","555291000000","588097000000","620141000000","661159000000","705066000000","754253000000","800960000000","861039000000","922371000000","996430000000","1086593000000","1177313000000","1260145000000","1301211000000","1416622000000","1499458000000","1536307000000","1598530000000","1624601000000","1660714000000","1762371000000","1848560000000","1952680000000","",
"Austria","AUT","GDP (current LCU)","NY.GDP.MKTP.CN","12456853504","13815504896","14655121408","15822951424","17326626816","18883733504","20572207104","21879263232","23506483200","25664612352","29047294000","32427439000","37057943000","41997559000","47801145000","50702938000","56006921000","61911611000","65483749000","71830084000","77151790000","82215016000","88359974000","94146775000","98857490000","104329954000","109880625000","114085965000","119645441000","127981232000","137548696000","147464360000","155789392000","160927978000","168954605000","176608750000","182540880000","188723760000","196346610000","203850580000","213606480000","220525080000","226735220000","231862460000","242348260000","254075030000","267824450000","283977970000","293761910000","288044020000","295896640000","310128660000","318653040000","323910200000","333146070000","344269230000","357607950000","369341260000","385361890000","397575280000","",
"Azerbaijan","AZE","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","293200","534400","4820100","31400000","374700000","2133800000","2732600000","3158300000","3440600000","3775100000","4718100000","5315600000","6062500000","7146500000","8530200000","12522500000","18746200000","28360500000","40137200000","35601500000","42465000000","52082000000","54743700000","58182000000","59014100000","54380000000","60425200000","70337800000","80092000000","81681000000","",
"Burundi","BDI","GDP (current LCU)","NY.GDP.MKTP.CN","9799999500","10149999600","10675000300","11637499900","13037500400","13415200000","14476400000","15601000000","16030000000","16643000000","21239100000","22123700000","21595400000","24355100000","27189500000","33152700000","38675600000","49278200000","54920300000","70424700000","82775400000","87214200000","91190000000","100658000000","118171000000","138791000000","137201000000","139804000000","151964000000","176743000000","193878000000","211898000000","225599995900","227899998200","233721004000","249864994800","263100000000","342800000000","400200000000","455400000000","627333193100","728046498300","768235261400","849482572100","1007615939900","1208244000000","1309900000000","1467231000000","1911139000000","2191509000000","2501047000000","2819534000000","3365810000000","3812500000000","4184999000000","4879793000000","4897101000000","5485068000000","5414485000000","5559586343900","",
"Belgium","BEL","GDP (current LCU)","NY.GDP.MKTP.CN","14450609152","15369578496","16440317952","17674829824","19782035456","21531359232","23118405632","24779487232","26495297536","29388689408","33102330000","36266123000","40599196000","46130061000","54105540000","59878805000","68055986000","73603256000","79043163000","84538074000","91938570000","96393509000","104307846000","110506023000","119389867000","126978258000","132908805000","138264521000","147935633000","160411128000","170096820000","178197561000","187120977000","192721412000","203106897000","210489100000","214287100000","224101500000","232623800000","242307600000","256376400000","264334900000","273255900000","281200200000","296819700000","310037600000","325151500000","343618900000","351743100000","346472800000","363140100000","375967800000","386174700000","392880000000","403003300000","416701400000","430085300000","444991100000","460419400000","476203300000","",
