"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1330167597.76536","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722798882.68156","1873452513.96648","1920262569.8324","1941094972.06704","2021301675.97765","2228279329.60894","2331005586.59218","2421474860.3352","2623726256.98324","2791960893.85475","2498932960.89385","2467703910.61453","2584463687.15084","","","","","","",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","537777811.111111","548888895.555556","546666677.777778","751111191.111111","800000044.444444","1006666637.77778","1399999966.66667","1673333417.77778","1373333366.66667","1408888922.22222","1748886595.55556","1831108971.11111","1595555475.55556","1733333264.44444","2155555497.77778","2366666615.55556","2555555566.66667","2953333417.77778","3300000108.88889","3697940409.61098","3641723321.99546","3478787909.09091","","","","","","","","","","","","","","","","","","","","2461665937.89386","4128820723.04713","4583644246.48061","5285465685.86423","6275073571.54659","7057598406.61553","9843842455.48323","10190529882.4878","12486943505.7381","15936800636.2487","17930239399.8149","20536542736.7297","20264253974.1138","20616104297.6662","19215562178.9798","19469022207.6357","",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6684491978.60963","6684491978.60963","6684491978.60963","6684491978.60963","10026737967.9144","10026737967.9144","12118610904.2251","5684291718.77106","5278182970.79618","4059352153.05368","5039552482.42778","7526446605.51712","7648377412.83277","6445041824.66621","6152922942.98032","9129594818.60749","8936063723.20121","12497346669.6684","14188949190.618","19640848728.8937","28233712830.9035","41789478661.3096","60448921272.2326","84178032716.0971","75492384801.3695","82470913120.7314","104115923082.737","115398371427.673","124912063308.202","126776874216.703","102962245246.708","95335111741.2025","",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1924242453.00793","1965384586.2409","2173750012.5","2156624900","2126000000","2335124987.5","2101624962.5","1139166645.83333","709452583.880319","1228071037.84446","1985673798.10258","2424499009.14264","3314898291.75235","2359903108.38446","2707123772.16195","3414760915.27878","3632043907.97733","4060758804.12084","4435078647.74817","5746945912.58082","7314865175.6199","8158548716.68554","8992642348.7871","10701011896.7708","12881352687.7773","12044212903.8168","11926953258.916","12890867538.5302","12319784787.2987","12776277515.48","13228244357.1813","11335264966.561","11863865978.0942","",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78619206.0850963","89409820.3592814","113408231.944085","150820102.798401","186558696.279204","220127246.376812","227281024.620741","254020153.340635","308008897.569444","411578334.159643","446416105.825017","388958731.302938","375895956.383462","327861832.946636","330070689.298282","346737964.774951","482000594.03588","611316399.407088","721425939.15155","795449332.396346","1029048481.88051","1106928582.86629","1210013651.87713","1007025755.00065","1017549124.33238","1178738991.19295","1223945356.62682","1180597272.72727","1211932397.81713","1239876305.13531","1434429703.33518","1496912751.67785","1733116883.11688","2398645598.19413","2935659299.72684","3255789080.96008","3543256805.92147","4016972351.49192","4007353156.58415","3660530702.97305","3355695364.23841","3442062830.13622","3164615186.94591","3281585236.32501","3350736367.25488","2811489408.89431","2858517699.11504","",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","25760683041.0857","28434203615.4829","31385499664.0672","36426909888.3927","43316056615.4561","55018394945.5825","105145803084.376","116337021938.341","144846175400.488","167308327683.593","183555544342.188","248646206367.003","338177454717.539","348592795413.116","324328753765.299","303962539723.079","307940771858.542","303893618415.541","289029150639.442","312681678329.932","307503035642.516","322325140494.725","446877161735.16","439779177865.334","471163515479.771","476513630620.727","487526906267.397","523759898278.581","578231297757.414","613279111292.838","591525594008.239","643889670873.196","735025140326.516","723282816391.284","729051715403.445","823114272314.438","963862340520.581","1184661549595.13","1404113530800.68","1637573196970.62","2078208783580.33","1795804989045.25","2109667954478.21","2501553648412.73","2741238538444.31","2839626635836.57","2906616435186.9","2563301730344.97","2504702625568.63","",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720672506.5004","19213022691.0526","24871775164.6043","23775831783.4263","31225463217.7582","43598748449.0479","49333424135.1131","46622718605.2847","42803323345.1376","41807954235.903","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617018379.85","222116541865.214","257916133424.098","315474615738.598","253547358747.447","289880430197.413","350908390034.037","374817974104.833","390427289203.54","403197682886.317","357949199754.935","348743265704.561","",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","","","24450604877.6081","18272123664.4715","25605249381.7597","28344705966.6389","28630474727.9023","24256667553.2569","26436857247.4982","31256284543.6155","31584210365.5447","33293199095.4881","34733000536.2862","52544000116.9037","72436777342.4554","52438647921.9226","51169499890.7722","56781000100.9448","58082870156.2634","69252328953.3789","76961923741.9478","78676842366.4213","84307486836.724","103979106777.911","79092001998.032","88416668900.2596","110934442762.694","111106191358.197","126206817196.091","76636898036.4712","141352368714.691","189719984268.485","228788617201.696","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530163281574.658","545982375701.128","552025140252.246","526319673731.638","584711485367.267","545476103427.247","",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256838858.42714","2068526521.90299","1272577456.12712","1201313201.01272","1315158670.28285","1468317350.06841","1596968913.27897","1639492424.36472","1893726437.26462","1845482181.44801","1911563665.39006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469950.09033","6384451606.1421","9206301700.39619","11662040713.8753","8647936747.98704","9260284937.79782","10142111334.4961","10619320048.5857","11121465767.4067","11609512939.7543","10553337672.9872","10572298341.5618","",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","514000000","527000000","512000000","503000000","496000000","520000000","563000000","678000000","576000000","574000000","644000000","641000000","643000000","659000000","658000000","",
