"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","405586592.178771","487709497.206704","596648044.692737","695530726.256983","764804469.273743","872067039.106145","958659217.877095","1083240223.46369","1245810055.86592","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722905027.93296","1873184357.5419","1896648044.69274","1962011173.18436","2044134078.21229","2254748603.35196","2359776536.31285","2469832402.23464","2677653631.28492","2843016759.77654","2553631284.9162","2453631284.9162","2637988826.81564","2615083798.88268","2727932960.89385","2791061452.51397","2963128491.62011","2983798882.68156","3092178770.94972","3202234636.87151","3368970253.05286","2610038937.56355","3126019399.06492",
"Africa Eastern and Southern","AFE","GDP (current US$)","NY.GDP.MKTP.CD","21291524631.3606","21809435284.9773","23708060554.431","28211280561.2905","26119938954.6996","29683481336.0513","32240542858.7882","33516029588.4142","36523093043.1211","41830180279.6699","44864583230.3159","49481098052.9743","53517203818.7449","69603856569.2786","86061571541.3991","91653193181.7913","91128569293.0018","103420403329.819","115350126994.558","134677341922.263","170661859457.891","174394696089.578","167273687255.527","174925757219.659","160141026007.876","136303346909.24","152525018689.367","186152856097.735","204148844378.057","217548182694.891","253235204869.32","273414858794.988","238265945147.92","236537346754.785","240130679491.027","269648741744.563","268425523331.866","282197427432.652","265825811966.138","262183757225.13","283937941817.293","258829983740.485","264881490155.465","352674051427.535","438853140522.126","512233712292.51","575722407956.308","660827012895.537","708119166019.631","719095270493.797","860361207235.72","964213016259.692","972002199045.518","982677082467.187","1003403000510.52","923143900034.922","889859250365.411","1030482257898.25","1016696893390.38","1009051505055.59","934179085451.04","1089454323810.36",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","537777811.111111","548888895.555556","546666677.777778","751111191.111111","800000044.444444","1006666637.77778","1399999966.66667","1673333417.77778","1373333366.66667","1408888922.22222","1748886595.55556","1831108971.11111","1595555475.55556","1733333264.44444","2155555497.77778","2366666615.55556","2555555566.66667","2953333417.77778","3300000108.88889","3697940409.61098","3641723321.99546","3478787909.09091","","","","","","","","","","","","","","","","","","","","","3854235264.37171","4539500884.0479","5220823684.66085","6226199249.32211","6971379033.26327","9715761649.79443","10249767311.213","12154835707.8987","15633856787.0425","18190410820.6235","20203572959.5023","20564485419.1684","20550582746.8448","19998156214.3988","18019558181.9602","18896352021.94","18418848299.5825","18904490262.913","20143442150.971","14786861638.4535",
"Africa Western and Central","AFW","GDP (current US$)","NY.GDP.MKTP.CD","10404135069.15","11127894641.0191","11943187848.3043","12676330764.6917","13838369295.2313","14862225759.9135","15832591204.0611","14426038229.7748","14880349280.3199","16882092549.4749","23504605475.6438","20832817218.3939","25264953765.762","31273819025.9673","44214484996.8734","51444731784.0348","62129390374.9031","65315008068.1014","71199708191.9944","88628401268.6832","112031308653.857","211003492000.188","187163726212.803","138115204947.351","114262670303.605","116507282627.195","107497542341.418","110321770123.657","108943464548.552","101768783075.2","121802125421.925","117457060715.759","118282253152.158","98826369836.0256","86281743752.6536","108221319966.439","125763022907.643","127063922266.802","130106822586.563","137521000392.092","140410259302.465","146779813046.927","176605835909.847","204470860701.304","253471913925.27","310094246800.233","395655858340.007","464425613626.874","566479463919.374","507029514633.981","597129288864.775","680455985950.414","736039861278.13","832216894624.603","892497905712.366","766957955078.105","690545418736.157","683748014299.694","766359667820.703","794719102944.191","784799699387.377","840187283626.448",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","5930503400.96263","5550483035.96497","5550483035.96497","5784341596.36339","6131475065.17815","7553560459.2246","7072063345.58823","8083872012.36631","8769250549.79947","10201099039.4385","11228764963.2353","10603784541.197","8307810973.58848","5768720421.61367","4438321017.39068","5538749259.94714","7526446605.51712","7648377412.83277","6506229607.29432","6152922942.98032","9129594818.60749","8936063723.20121","15285594828.418","17812704825.1957","23552047248.4301","36970918699.2523","52381006892.038","65266452081.386","88538610805.3214","70307166934.3311","81699526880.8079","109436566876.419","124998210652.243","133401582620.494","137244439121.374","87219300384.5072","49840491178.1518","68972769395.6274","77792944471.9494","69309110145.7687","53619073505.1377","67404287260.3199",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1857338011.85488","1897050133.42015","2097326250","2080796250","2051236250","2253090000","2028553750","1099559027.77778","652174990.837304","1185315468.46295","1880951520.3972","2392764853.42107","3199641335.93751","2258513974.0968","2545964540.88383","3212121650.97755","3480355258.04122","3922100793.5403","4348068242.19512","5611496257.14231","7184685781.51876","8052073539.38058","8896072918.9814","10677324144.4289","12881353507.8539","12044208085.864","11926922828.9911","12890764531.3284","12319830437.3467","12776220507.0162","13228147516.1168","11386850129.8411","11861199830.8396","13019689336.6919","15156432309.8977","15401830754.0773","15131866270.5936","18255787479.1846",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78619206.0850963","89409820.3592814","113408231.944085","150820102.798401","186558696.279204","220127246.376812","227281024.620741","254020153.340635","308008897.569444","411578334.159643","446416105.825017","388958731.302938","375895956.383462","327861832.946636","330070689.298282","346737964.774951","482000594.03588","611316399.407088","721425939.15155","795449332.396346","1029048481.88051","1106928582.86629","1210013651.87713","1007025755.00065","1017549124.33238","1178738991.19295","1223945356.62682","1180597272.72727","1211932397.81713","1239876305.13531","1429049198.45218","1546926174.49664","1755910031.99699","2361726862.30248","2894921777.99851","3159905484.39249","3456442102.622","3952600602.24473","4085630584.44412","3674409558.21061","3449966856.68832","3629203786.19154","3188808942.56713","3193704343.20627","3271808157.30038","2789870187.50693","2896679211.86628","3000180750.11297","3218316013.22626","3155065487.51819","2891022272.98687","3330281523.53915",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","35019727479.5889","38162991696.2354","43149825508.2097","49841484048.1358","59381286567.0827","75329791104.236","142815696156.088","157909172311.576","196558555571.62","226977749615.669","249110012225.68","338624721239.323","459809712578.819","474023173431.203","444130483039.962","418461865357.877","425898338751.282","419499441919.467","406984212652.935","440606191122.674","424900387791.484","455822972042.688","644066401761.553","471524008317.293","473812923870.035","482766656235.824","507766644052.713","556057972649.453","614192593286.927","662317161233.183","644494323434.484","712836792132.533","816019292861.185","798505436109.015","803122797644.81","887852467421.85","1056246691798.46","1297892893576.4","1538290265813.1","1790035967811.6","2253731073493.57","1978796922179.86","2327000352027.74","2541860324280.98","2787171487379.26","2843529425181.9","2895457837893.28","2538925219911.17","2516485492775.5","2598094271212.95","2800428454533.12","2818359324481.87","2491175410790","2862987423061.49",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720672506.5004","19213022691.0526","24871775164.6043","23775831783.4263","31225463217.7582","43598748449.0479","49333424135.1131","46622718605.2847","42803323345.1376","41807954235.903","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617467964.602","222116541865.214","257916133424.098","315474615738.598","253547358747.447","289787452661.675","350666058379.85","384610125384.033","400218529747.597","414105366758.911","370275469560.166","369255326235.771","390516804016.501","427049432149.345","417989721734.494","349473015336.939","415021590683.006",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","","","24450604877.6081","18272123664.4715","25605249381.7597","28344705966.6389","28630474727.9023","24256667553.2569","26436857247.4982","31256284543.6155","31584210365.5447","33293199095.4881","34733000536.2862","52544000116.9037","72436777342.4554","52438647921.9226","51169499892.1722","56781000101.0848","58082870156.329","69252328951.6441","76961923741.0701","78676842366.5529","84307486836.724","103979106777.911","79092001998.032","88416668900.2596","110934442762.694","111106191358.197","126206817196.091","76636898036.4712","141352368714.691","189719984268.485","228788617201.696","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530163281574.658","545982375701.128","552025140252.246","526319673731.638","594749285413.212","557531376217.967","643628665302.155","524819742918.669","447754609218.678","385540224628.292","487227339102.67",
