"Data Source","World Development Indicators",

"Last Updated Date","2019-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","-7318435.75418994","-14413407.8212291","-17039106.1452514","-11284916.2011173","-7765363.12849162","-7765363.12849162","-9664804.46927374","-17877094.972067","-20000000","-15195530.726257","-17821229.0502793","-23184357.5418994","-5586592.17877095","-42681564.2458101","-24022346.3687151","-57262569.8324022","-135698324.022346","-53407821.2290503","-74301675.9776536","-478659217.877095","-105865921.787709","-384748603.351955","-116703910.614525","-88826815.6424581","-140279329.608939","-246927374.301676","-116089385.47486","-164581005.586592","-102849162.011173","-124748603.351955","-135195530.726257","-170558659.217877","",
"Afghanistan","AFG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","11111037.7777778","11111128.8888889","11111128.8888889","15555515.5555556","15555515.5555556","20000000","28888888.8888889","35555555.5555556","28888888.8888889","28888888.8888889","35557777.7777778","37777777.7777778","35553333.3333333","37775555.5555556","46666666.6666667","51111111.1111111","55555555.5555556","64444444.4444444","71111111.1111111","77803203.6613272","74829931.9727891","72727272.7272727","","","","","","","","","","","","","","","","","","","","0","","","","","","","","-35470045.7549568","27931207.4235808","-19413354.7362863","31644481.7678807","71736630.1110439","-2370653.19971767","179961854.741946","96142257.0716737","99309674.1757014","122140013.586838",
"Angola","AGO","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","-170966004772.268","-16011142394.6828","-481074465.091011","-767257294.9385","-1696768951.82791","-917755953.197422","-968767354.922939","-1372030006.50313","-1680860003.18873","-1560987288.00112","-1634656383.38441","-1726480988.87091","-2488562607.28214","-4030890603.50554","-6177865357.02598","-7599031578.97481","-13717539306.4955","-6823138404.75392","-8086863659.16369","-9697321527.27211","-10421748807.9775","-9900056795.44708","-8849903446.91483","-5907539299.70423","-5259464936.90439","-3737778762.1447","",
"Albania","ALB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","3200000.02845688","1400000.01244988","100000","400000","200000","-100000","-1900000","-21700000","-28787525.4056575","-11999706.0624617","4999825.62434411","43600001.0787777","71003051.7067644","49749444.4444444","76732898.2535062","75774590.8761767","106777819.982223","126844008.074621","108803951.83105","156398205.945352","172355466.900943","163144975.032617","261962906.484383","297072326.129436","65022883.4752177","-191470008.349293","-119155413.310448","3339310.17394321","-91768969.8903541","220158181.183264","121383361.838163","135558120.462874","192635948.345791","32281685.0084425","-6415382.27896864",
"Andorra","AND","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","",
"Arab World","ARB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5091899251.19129","5064669843.43091","921170864.533696","-54458815.5207624","707964601.769912","2886317222.60041","4737916950.30633","8373042886.31722","3803948264.12526","2614111640.57182","-99659632.4029952","110006807.35194","297345132.743363","1579305650.10211","658951667.801225","1742682096.6644","2096664397.54935","2777399591.55888","1987746766.50783",
"Argentina","ARG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","632802749.327546","472828283.29687","662611831.457015","733528054.8065","1165716399.63184","87575485.6208264","-392285420.713972","-219712940.743224","-1187892368.7027","341401095.441807","-533500315.881762","178220536.772338","243112774.184023","709461515.870546","15502930.1384528","-441796877.685007","-366396040.481392","-626163812.541883","-675349739.129055","-1834734840.21823","-5063657543.67694","-5906932543.23323","-4095200103.45346","-4744166786.5144","-5012222146.23763","-5163333374.32201","-5490909048.02283","-6417435494.28933","-6202341664.54415","-5862619611.95595","-4258037149.2025","-2998052152.15215","-3696736900","-4668859300","-5502049300","-6217795600","-7406048600","-7463719900","-7547781100","-7726781900","-4960215219.15838","-5135021620.33737","-18296342135.6323","-22583727006.0044","-7659784206.08108","-7536296704.70573","-8942556247.44473","-10232156785.3141","-14434953219.8032","-15153730541.836","-12908767215.1506","-11839391690.7098","-10787432518.7927","-11133833326.6745","-12192803051.8627","-16391798517.15","-18739777099.128",
"Armenia","ARM","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-82988509.0059672","-2336144.89862303","-209272304.191122","-98735613.6371568","-534355.205249722","-1852763.85422461","44695680.6542336","98599999.9963174","60400000","54940000.0637888","52900000.0895968","64455291.3198573","88204474.7536409","94493564.9739966","107418580.93542","206006349.537205","302026914.213139","497420778.702937","691280324.764503","358781515.693124","458281240.859015","360073591.500047","423036162.523272","682546974.713745","541140562.435354","442884498.877737","224217314.806066","463325201.919802","162136010.269364",
"American Samoa","ASM","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
