"Data Source","World Development Indicators",

"Last Updated Date","2017-05-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net income from abroad (current US$)","NY.GSR.NFCY.CD","11111037.7777778","11111128.8888889","11111128.8888889","15555515.5555556","15555515.5555556","20000000","28888888.8888889","35555555.5555556","28888888.8888889","28888888.8888889","35557777.7777778","37777777.7777778","35553333.3333333","37775555.5555556","46666666.6666667","51111111.1111111","55555555.5555556","64444444.4444444","71111111.1111111","77803203.6613272","74829931.9727891","72727272.7272727","","","","","","","","","","","","","","","","","","","","0","-8934306.89432559","-7088363.6296875","8083045.27231183","11144862.2422457","43303846.8395738","29780048.6969648","43000286.5672579","53908900.2620889","62000406.1161973","200083762.924374","312131865.431353","290902403.64288","180107671.507819","177400073.487765","",
"Angola","AGO","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","-3342245989.30481","-3342245989.30481","-1514826363.02814","-2186266045.68118","-2040635795.40076","-2116073123.31869","-1351995883.36951","-1644179773.94887","-1257819573.79367","-1214806595.68708","-1436664865.649","-1680852603.19141","-1560989999.04796","-1634656132.98354","-1726480970.10574","-2483623725.48222","-4030888677.14329","-6177867505.88853","-7599027343.32732","-13717547685.4308","-6823141271.32596","-8086861869.28558","-9697321308.31312","-12583475468.7123","-12467890388.662","-12708527154.983","-12757120634.8122","",
"Albania","ALB","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","3200000.02845462","1400000.0124489","100000","400000","200000","-100000","-1900000","-21700000","-28787525.4056575","-11999706.0624617","4999825.62434411","43600001.0787777","71003051.8954469","49749444.5345896","76732898.1204982","75774590.6741637","106777819.786842","126844007.980986","108803951.961042","156398206.013252","172355467.063859","163144975.44693","261962906.604698","297072326.129436","65021367.2870483","-191473511.26207","-119153442.874681","-35601430.1997126","-91764494.2071237","28007698.5900271","-157945831.974456","-165266239.973071","",
"Andorra","AND","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Arab World","ARB","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5064669843.43091","921170864.533696","-54458815.5207624","707964601.769912","2886317222.60041","4737916950.30633","8373042886.31722","3803948264.12526","3213070115.72498","-99659632.4029952","110000000","297000000","1579000000","550000000","272000000","",
"Argentina","ARG","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","632802749.327546","472828283.29687","662611831.457015","733528054.8065","1165716399.63184","87575485.6208264","-392285420.713972","-219712940.743224","-1187892368.7027","341401095.441807","-533500315.881762","178220536.772338","243112774.184023","709461515.870546","15502930.1384528","-441796877.685007","-366396040.481392","-626163812.541883","-675349739.129035","-1834734840.21822","-5063657543.67694","-5906932543.23323","-4095200103.45346","-4744166786.5144","-5012222146.23763","-5163333374.32201","-5490909048.02283","-6417435494.28933","-6202341664.54415","-5862619611.95595","-4258037149.2025","-3071914514.51451","-3696500000","-4669000000","-5501750000","-6217750000","-7406250000","-7464000000","-7547750000","-7726750000","-7053632839.36722","-7833893357.77076","-9418152535.46942","-7524033740.4476","-6328948284.82329","-6096986280.29235","-7671589112.18039","-9081438870.8042","-13889653775.557","-13882435001.5815","-12070514436.5104","-11051699183.909","-10024371094.9174","-10255465480.7327","",
"Armenia","ARM","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-82988509.0059672","-2336144.89862303","-209272304.191122","-98735618.1936156","-534355.036517961","-1852763.98917612","44695680.6542336","98599999.9999998","60400000","54939999.9999999","52900000","64455291.2844939","88204474.7988257","94493564.9725093","107418580.912639","206006331.249892","302026914.213139","497420778.702937","691280324.764503","358781508.260908","458281536.849627","360076229.614479","423053640.196732","682590833.860917","540800612.717608","435374996.746402","",
"American Samoa","ASM","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
