"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net income from abroad (current US$)","NY.GSR.NFCY.CD","11111037.7777778","11111128.8888889","11111128.8888889","15555515.5555556","15555515.5555556","20000000","28888888.8888889","35555555.5555556","28888888.8888889","28888888.8888889","35557777.7777778","37777777.7777778","35553333.3333333","37775555.5555556","46666666.6666667","51111111.1111111","55555555.5555556","64444444.4444444","71111111.1111111","77803203.6613272","74829931.9727891","72727272.7272727","","","","","","","","","","","","","","","","","","","","0","-8934306.89432559","-7088363.6296875","8083045.27231183","11144862.2422457","43303846.8395738","29780048.6969648","43000286.5672579","53908900.2620889","62000406.1161973","200083762.924374","312131865.431353","290902403.64288","180107671.507819","173011445.257119","221000000","",
"Angola","AGO","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","-171028969234.384","-16013104544.4861","-480878108.166484","-792458598.538154","-1473252730.46546","-920838819.697136","-968732000.624173","-1372026968.20404","-1680852606.17929","-1560990000","-1634656133.52","-1726480970","-2488563724.91","-4030888677.06","-6177867505.48","-7599027343.95","-13717547685.5001","-6823141271.27","-8086861868.85","-9697326689.50557","-10421753673.915","-9900058900.80309","-8849901928.96056","-5907539217.71846","-5373641600.37407","",
"Albania","ALB","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","3200000.02845462","1400000.0124489","100000","400000","200000","-100000","-1900000","-21700000","-28787525.4056575","-11999706.0624617","4999825.62434411","43600001.0787777","71003051.7067644","49749444.4444444","76732898.2535062","75774590.8761767","106777819.982223","126844008.074621","108803951.83105","156398205.945352","172355466.900943","163144975.032617","261962906.484383","297072326.129436","65022883.4752178","-191470008.349294","-119155413.310448","3339310.1739429","-91768969.8903543","32576951.3583482","-158378449.969284","-109431215.108193","-192583669.040582","",
"Andorra","AND","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",
"Arab World","ARB","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5064669843.43091","921170864.533696","-54458815.5207624","707964601.769912","2886317222.60041","4737916950.30633","8373042886.31722","3803948264.12526","2614111640.57182","-99659632.4029952","110006807.35194","297345132.743363","1579305650.10211","658951667.801225","1742682096.6644","2096664397.54935","",
"Argentina","ARG","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","632802749.327546","472828283.29687","662611831.457015","733528054.8065","1165716399.63184","87575485.6208264","-392285420.713972","-219712940.743224","-1187892368.7027","341401095.441807","-533500315.881762","178220536.772338","243112774.184023","709461515.870546","15502930.1384528","-441796877.685007","-366396040.481392","-626163812.541883","-675349739.129055","-1834734840.21823","-5063657543.67694","-5906932543.23323","-4095200103.45346","-4744166786.5144","-5012222146.23763","-5163333374.32201","-5490909048.02283","-6417435494.28933","-6202341664.54415","-5862619611.95595","-4258037149.2025","-3071914514.51451","-3696500000","-4669000000","-5501750000","-6217750000","-7406250000","-7464000000","-7547750000","-7726750000","-7053632839.36722","-7833893357.77076","-9418152535.46942","-7524033740.4476","-7637577767.67152","-7495075522.50288","-8950708683.20911","-10243971716.7405","-14479523836.2311","-15011002700.6642","-12837459381.1446","-11779738306.8172","-10736817521.4363","-11176889969.8356","-12149211258.8256","",
"Armenia","ARM","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-82988509.0059672","-2336144.89862303","-209272304.191122","-98735613.6371568","-534355.205249722","-1852763.85422461","44695680.6542336","98599999.9963174","60400000","54940000.0637888","52900000.0895968","64455291.3198573","88204474.7536409","94493564.9739966","107418580.93542","206006349.537205","302026914.213139","497420778.702937","691280324.764503","358781508.260908","458281536.849627","360076229.614479","423053640.196732","682590833.778252","540800612.762364","442886074.251603","224219911.956215","",
"American Samoa","ASM","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
