"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","-7318435.75418994","-14413407.821229","-17039106.1452514","-11284916.2011173","-7765363.12849162","-7765363.12849162","-9664804.46927374","-17877094.972067","-20000000","-15195530.726257","-17821229.0502793","-23184357.5418994","-5586592.17877095","-42681564.2458101","-24022346.3687151","-57262569.8324022","-135698324.022346","-53407821.2290503","-74301675.9776536","-478659217.877095","-105865921.787709","-384748603.351955","-116703910.614525","-88826815.6424581","-140279329.608939","-246927374.301676","-116089385.47486","-164581005.586592","-102849162.011173","-124748603.351955","-135195530.726257","-170670614.52514","-210603854.748603","-157798324.022346","",
"Africa Eastern and Southern","AFE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","11111037.7777778","11111128.8888889","11111128.8888889","15555515.5555556","15555515.5555556","20000000","28888888.8888889","35555555.5555556","28888888.8888889","28888888.8888889","35557777.7777778","37777777.7777778","35553333.3333333","37775555.5555556","46666666.6666667","51111111.1111111","55555555.5555556","64444444.4444444","71111111.1111111","77803203.6613272","74829931.9727891","72727272.7272727","","","","","","","","","","","","","","","","","","","","0","","","","","","","","-35404672.2066829","27931390.3802863","-19414247.9050893","31346853.2794625","70289884.2493901","-2371970.21436735","172978804.210052","180534710.463433","246784752.251069","187609522.851226","298854888.496309","188685859.449958",
"Africa Western and Central","AFW","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","-367500000","-770370370.37037","-1696885585.58559","-917916593.886463","-968825356.415479","-1372033038.3058","-1680867397.04198","-1560987288.00112","-1634656383.38441","-1726480988.87091","-2488562607.28214","-4030890603.50554","-6177865357.02598","-7599031578.97481","-13717539306.4955","-6823138404.75392","-8086863659.16369","-9697321527.27211","-10421748807.9775","-9900056795.44708","-8849901929.14924","-5907539218.07886","-5273683298.05617","-7505615632.60927","-7829547501.20325","-7516299999.89036","-4924000000",
"Albania","ALB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","3200000.02845688","1400000.01244988","100000","400000","200000","-100000","-1900000","-21700000","-35100000.6663779","33900000.4898959","13800004.8613819","43600000","71682285.6508535","50333128.8343558","76522625.0330775","75268211.4409848","104651963.77979","125993317.555339","109118141.843143","150569936.088666","169288871.400381","162031254.537135","262219148.367946","297972086.048664","65020513.8352184","-191468664.881695","-119157140.836682","3339484.89431616","-91764971.2250035","220318787.30983","121272184.300341","134958245.244389","192633143.363473","31791351.8052065","-18439158.7306877","-201581599.769869","-250229603.313392",
"Andorra","AND","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5091899251.19129","5064669843.43091","921170864.533696","-54458815.5207624","707964601.769912","2886317222.60041","4737916950.30633","8373042886.31722","3803948264.12526","2614111640.57182","-83866575.9019741","135330156.569095","299523485.364193","462899931.926481","658951667.801225","1742682096.6644","2096664397.54935","2777399591.55888","1424098025.86794","2069434989.78897","-462899931.926481",
"Argentina","ARG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","632802749.327546","472828283.29687","662611831.457015","733528054.8065","1165716399.63184","87575485.6208264","-392285420.713972","-219712940.743224","-1187892368.7027","341401095.441806","-533500315.881762","178220536.772338","243112774.184023","709461515.870546","15502930.1384528","-441796877.685007","-366396040.481392","-626163812.541883","-675349739.129055","-1834734840.21823","-5063657543.67694","-5906932543.23323","-4095200103.45346","-4744166786.5144","-5012222146.23763","-5163333374.32201","-5490909048.02283","-6417435494.28933","-6202341664.54415","-5862619611.95595","-4258037149.2025","-2998052152.15215","-3696736900","-4668859300","-5502049300","-6217795600","-7406048600","-7463719900","-7547781100","-7726781900","-4960215219.15838","-5135021620.33737","-18296342135.6323","-22583727006.0044","-7659784201.35785","-7536296702.23404","-8942556250.76724","-10232156777.504","-14434953229.0495","-15153730549.098","-12908767209.4814","-11839391688.1672","-10787432524.481","-11133833329.086","-12280658734.6128","-16427936289.1597","-18725841967.2553","-17774560589.5177","-10164299264.0584",
