"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","-7318435.75418994","-14413407.821229","-17039106.1452514","-11284916.2011173","-7765363.12849162","-7765363.12849162","-9664804.46927374","-17877094.972067","-20000000","-15195530.726257","-17821229.0502793","-23184357.5418994","-5586592.17877095","-42681564.2458101","-24022346.3687151","-57262569.8324022","-135698324.022346","-53296089.3854749","-74301675.9776536","-478938547.486033","-105865921.787709","-384636871.50838","-116648044.692737","-88770949.7206704","-140223463.687151","-246033519.553073","-116089385.47486","-164357541.899441","-102737430.167598","-124748603.351955","-135251396.648045","-170558659.217877","-214748603.351955","-153296089.385475","-68100558.6592179","-92849162.0111732",
"Africa Eastern and Southern","AFE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","11111037.7777778","11111128.8888889","11111128.8888889","15555515.5555556","15555515.5555556","20000000","28888888.8888889","35555555.5555556","28888888.8888889","28888888.8888889","35557777.7777778","37777777.7777778","35553333.3333333","37775555.5555556","46666666.6666667","51111111.1111111","55555555.5555556","64444444.4444444","71111111.1111111","77803203.6613272","74829931.9727891","72727272.7272727","","","","","","","","","","","","","","","","","","","","0","","","","","","","","-34659503.2290114","27538891.8568641","-19834366.8365835","31813349.5936875","71748547.6953636","-2378156.25136469","180789111.72638","179568045.834326","248665001.417082","191409050.511601","300524701.859789","188941973.947349","124061713.472655",
"Africa Western and Central","AFW","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","-170966004772.268","-16011142394.6828","-481074465.091011","-767257294.938499","-1696768951.82791","-917755953.197422","-968767354.922939","-1372030006.50313","-1680860003.18873","-1560987288.00112","-1634656383.38441","-1726480988.87091","-2483589174.94799","-4030851229.53312","-6177849471.36986","-7599046854.16153","-13717492403.383","-6823163698.40738","-7884215267.11079","-9493159290.95635","-10173167879.674","-9660444450.06112","-8335642410.71215","-4434425213.6672","-2599234392.89072","-4239217591.2373","-6009501537.63121","-6266159209.89189","-4512744371.95459","-5323939868.25348",
"Albania","ALB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","3200000.02845688","1400000.01244988","100000","400000","200000","-100000","-1900000","-21700000","-35100000.6663779","33900000.4898959","13800004.8613819","43600000","71682285.6508537","50333128.8343558","76522625.0330775","75268211.4409848","104651963.77979","125993317.555339","109118141.843143","150569936.088666","169288871.400381","162031254.537135","262219148.367946","297972086.048664","65020513.8352171","-191468664.881694","-119157140.836682","3339484.89431671","-91764971.2250033","220318787.309831","121272184.300341","134958245.244388","192633143.363473","31791351.8052057","-18439158.7306879","-201581599.76987","-250229603.313392","-249598404.173107",
"Andorra","AND","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","307198029.777231","","",
"Arab World","ARB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5091899251.19129","5064669843.43091","921170864.533696","-54458815.5207624","707964601.769912","2886317222.60041","4737916950.30633","8373042886.31722","3803948264.12526","2614111640.57182","-83866575.9019741","135330156.569095","299523485.364193","462899931.926481","658951667.801225","1742682096.6644","2096664397.54935","2777399591.55888","1424098025.86794","2069434989.78897","-462899931.926481","",
"Argentina","ARG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","632802749.327546","472828283.29687","662611831.457015","733528054.8065","1165716399.63184","87575485.6208264","-392285420.713972","-219712940.743224","-1187892368.7027","341401095.441806","-533500315.881762","178220536.772338","243112774.184023","709461515.870546","15502930.1384528","-441796877.685007","-366396040.481392","-626163812.538299","-675349739.131059","-1834734840.24455","-5063657543.67694","-5906932543.23323","-4095200103.45346","-4744166786.5144","-5012222146.23763","-5163333374.32201","-5490909048.02284","-6417435494.28933","-6202341664.54412","-5862619611.95595","-4258037149.2025","-2998052152.15215","-3696736900","-4668859300","-5502049300","-6217795600","-7406048600","-7463719900","-7547781100","-7726781900","-4960215219.15838","-5135021620.33737","-18296342135.6323","-22583727006.0044","-7659784206.08108","-7536296704.70573","-8942556247.44473","-10232156785.3141","-14434953219.8032","-15153730541.836","-12908767215.1506","-11839391690.7098","-10787432518.7927","-11133833326.6745","-12280658732.0947","-16427936290.5806","-18725841968.3218","-17587888622.3491","-10004439555.5946","-9815444429.82313",
