"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","-7318435.75418994","-14413407.821229","-17039106.1452514","-11284916.2011173","-7765363.12849162","-7765363.12849162","-9664804.46927374","-17877094.972067","-20000000","-15195530.726257","-17821229.0502793","-23184357.5418994","-5586592.17877095","-42681564.2458101","-24041451.1712041","-57249503.0234737","-135704567.626877","-53308280.7817273","-74323421.0777575","-478953662.577079","-105839090.618597","-384627587.986657","-116630935.182904","-88749880.0778318","-140211998.361679","-246017796.18444","-116090523.053193","-164332468.05524","-102747306.516979","-124763338.872277","-135228983.946249","-170628063.740583","-214737115.581563","-153404586.13448","-68173583.5591352","-93936567.3323475","-122759451.343771",
"Africa Eastern and Southern","AFE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","11111037.7777778","11111128.8888889","11111128.8888889","15555515.5555556","15555515.5555556","20000000","28888888.8888889","35555555.5555556","28888888.8888889","28888888.8888889","35557777.7777778","37777777.7777778","35553333.3333333","37775555.5555556","46666666.6666667","51111111.1111111","55555555.5555556","64444444.4444444","71111111.1111111","77803203.6613272","74829931.9727891","72727272.7272727","","","","","","","","","","","","","","","","","","","","0","","","","","","","-2101054.23947966","-37811802.0378636","29106509.2653075","-23586775.5022538","53931817.9423239","62936900.6907016","62543768.5091185","115277794.53579","233903480.255722","208313290.216443","241291270.498364","281217519.498591","149227717.737064","86132933.7693348","",
"Africa Western and Central","AFW","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","-170966331438.566","-16888116229.9764","-481074465.091011","-767257294.938499","-1473354332.26646","-921000001.345115","-968789959.079703","-1372030006.33925","-1680860002.63071","-1560990000.53254","-1634656132.91103","-1726480969.6637","-2488563725.54374","-4030888677.52041","-6177867504.76393","-7599027343.86941","-13717547690.4313","-6823141271.51881","-8086861869.42953","-9697326690.06944","-10421753670.3584","-9583541532.13313","-8258011810.20189","-4601035940.78419","-2751560063.02868","-4528926524.63284","-6137575022.27417","-6409804981.41912","-4356523025.01194","-5453841732.30097","-8045138800.25121",
"Albania","ALB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","3200000","1400000","100000","400000","200000","-100000","-1900000","-21700000","-35100000.6663779","33900000.4898959","13800000.0486138","43600000","71682273.9894998","50333128.8343558","76522625.0330775","75268211.4409848","104651963.77979","125993317.555339","109118141.843143","150569936.088666","169288871.400381","162031329.168343","262219209.844326","297972105.819472","65020510.7351124","-191468624.563215","-119157178.669199","3339483.80207139","-91764999.2165674","220318856.114386","121272184.300341","134958280.601352","192633143.363473","31791431.8843792","-18439164.3654405","-201581539.213271","-250229603.313392","-249598404.173107","-347003549.584951",
"Andorra","AND","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","307206283.388337","377587360.909006","251946764.57959","",
"Arab World","ARB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5091899251.19129","5064669843.43091","921170864.533696","-54458815.5207624","707964601.769912","2886317222.60041","4737916950.30633","8373042886.31722","3803948264.12526","2614111640.57182","-83866575.902018","140776038.121189","299523485.364471","462899931.926342","653505786.249092","1742682096.66491","2096664397.54947","2778897208.98562","1425279101.42932","2069434989.78939","-1878829135.46595","-735194009.52928","-2489176310.41469",
"Argentina","ARG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","-6220000000","-5850285714.28571","-4744166666.66667","-4798936170.21277","-5066822429.90654","-5522285714.28571","-6416829215.28795","-6202354195.84937","-5862619611.95595","-4257856622.27121","-2998052152.15215","-3696736900","-4668859300","-5502049300","-6217795600","-7406048600","-7463719900","-7547781100","-7726781900","-4960215219.15838","-5135021620.33737","-18296342135.6323","-22583727006.0044","-7659784206.08108","-7536296704.70573","-8942556247.44473","-10232156785.3141","-14434953219.8032","-15153583065.297","-12908767215.1506","-11839391690.7098","-10787432518.7927","-11133833326.6745","-12280679535.2406","-16427929347.5396","-18725847300.4726","-17587891544.6599","-10396451095.0349","-9840832699.254","-11988493031.1255",
