"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142"
,"10101101","10101102","10101103","10101104","10101105","10101106","10101107","10101201","10101202","10101203","10101204","10101205","10101206","10101207","10102101","10102102","10102103","10102104","10102105","10102106","10102107","10102201","10102202","10102203","10102204","10102205","10102206","10102207","10201101","10201101","10201101","10201101","10201101","10201101","10201102","10201102","10201102","10201102","10201102","10201102","10201103","10201103","10201103","10201103","10201103","10201103","10201104","10201104","10201104","10201104","10201104","10201104","10201105","10201105","10201105","10201105","10201105","10201105","10201106","10201106","10201106","10201106","10201106","10201106","10201201","10201201","10201201","10201201","10201201","10201201","10201202","10201202","10201202","10201202","10201202","10201202","10201203","10201203","10201203","10201203","10201203","10201203","10201204","10201204","10201204","10201204","10201204","10201204","10201205","10201205","10201205","10201205","10201205","10201205","50102002","50103003","50104004","10302002","10303003","40101001","10401001","10401002","10401003","10402101","10402102","10402103","10402104","10402105","10402107","10402108","10402201","10402202","10402203","10402204","10402207","10402301","10402302","10402303","10402304","10402305","10402307","10403101","10403102","10403103","10403104","10403105","10403107","10403108","10403201","10403202","10403203","10403204","10403207","10403301","10403302","10403303","10403304","10403305","10403307","10501001","10501002"
"Argentina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources:","Income: Alvaredo, Facundo (2010). The Rich in Argentina over the Twentieth Century; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 6. Series updated by the same author.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes:","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.","Estimates do not include capital gains. Statistics exclude taxpayers with wage income only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Individuals aged 20+.","Individuals aged 20+.",,,,,"Tax units are individuals aged 20+.",,"Adults are individuals aged 20+.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Pareto-Lorenz a coefficients were computed using the top shares estimates. As a rule they were estimated from the top 0.1% share within the top 1% share: a=1/[1-log(S1%/S0.1%)/log(10)]. When the top 0.1% and top 1% shares were not available, the closest substitutes were used.","The inverted Pareto-Lorenz b coefficients were computed from the Pareto-Lorenz coefficients using the formula b=a/(a-1). Alternatively they can be computed by using directly the top income shares series and the formula: b=1/[log(S1%/S0.1%)/log(10)]."
"Units","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","Thousand","Thousand",,"Nominal million Pesos",,"2004=1.00","Real 2004 Pesos",,"Real 2004 Pesos","Real 2004 Pesos","Real 2004 Pesos","Real 2004 Pesos","Real 2004 Pesos","Real 2004 Pesos","Real 2004 Pesos","Real 2004 Pesos","Real 2004 Pesos","Real 2004 Pesos","Real 2004 Pesos","Real 2004 Pesos","Real 2004 Pesos",,,,,,,,,,,,,,,,,,,,,,,,,,
"Data/No Data","0","1","1","1","1","0","1","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","0","1","0","1","1","1","1","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Download/No Downloand","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Keep decimals","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","15","5","19","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3"
"Show decimals","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"Category","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Top groups income composition","Population units","Population units","Population units","Income","Income","Price index","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Pareto-Lorenz coefficients","Pareto-Lorenz coefficients"
"Subcategory","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Number of adults","Number of tax units","Number of tax returns","Fiscal income control","Fiscal income control-incl. capital gains","Price index","Average income per tax unit","Average income per tax unit-including capital gains","Average income per adult","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Top 10% income composition",,,,,,"Top 5% income composition",,,,,,"Top 1% income composition",,,,,,"Top 0.5% income composition",,,,,,"Top 0.1% income composition",,,,,,"Top 0.01% income composition",,,,,,"Top 10-5% income composition",,,,,,"Top 5-1% income composition",,,,,,"Top 1-0.5% income composition",,,,,,"Top 0.5-0.1% income composition",,,,,,"Top 0.1-0.01% income composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
