"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49"
,"10101101","10101102","10101103","10101104","10101105","10101106","10101107","10101201","10101202","10101203","10101204","10101205","10101206","10101207","50102002","50103003","10302002","40101001","10401001","10401003","10402101","10402102","10402103","10402104","10402105","10402107","10402108","10402201","10402202","10402203","10402204","10402207","10402301","10402302","10402303","10402304","10402305","10402307","10501001","10501002",,,,,,,,
"Denmark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources:","Income: Alvaredo, Facundo and Londoño Vélez, Juliana (2012). High Incomes and Personal Taxation in Colombia 1993-2010. Mimeo._x000D_",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes:",,,,,,,,,,,,,,,"Individuals aged 20+.","Individuals aged 20+.",,,,,,,,,,,,,,,,,,,,,,,"The Pareto-Lorenz a coefficients were computed using the top shares estimates (from the top 0.1% share within the top 1% share): a=1/[1-log(S1%/S0.1%)/log(10)].","The inverted Pareto-Lorenz b coefficients were computed from the Pareto-Lorenz a coefficients using the formula b=a/(a-1). Alternatively they can be computed by using directly the top income shares estimates and the formula: b=1/[log(Skx%/Sx%)/log(k)].",,,,,,,,
"Units","%","%","%","%","%","%","%","%","%","%","%","%","%","%","Thousand","Thousand","Nominal billion Colombian Pesos","2010=1.00","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos","Thousand real 2010 Colombian Pesos",,,,,,,,,,
"Data/No Data","0","0","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","0","0","1","1","1","0","0","1","1","1","1","1","1",,,,,,,,
"Download/No Downloand","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",,,,,,,,
"Keep decimals","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","5","7","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3",,,,,,,,
"Show decimals","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2",,,,,,,,
"Category","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Population units","Population units","Income","Price index","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Pareto-Lorenz coefficients","Pareto-Lorenz coefficients",,,,,,,,
