"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42"
,"10101101","10101102","10101103","10101104","10101105","10101106","10101201","10101202","10101203","10101204","10101205","50102002","50103003","10302002","40101001","10401001","10401003","10402101","10402102","10402103","10402104","10402105","10402108","10402201","10402202","10402203","10402204","10402207","10402301","10402302","10402303","10402304","10402305","10402307","10501001","10501002",,,,,
"Mauritius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources:","Income: Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes:","Notes on breaks in the continuity of the series: (i) move from a graduated poll tax up to 1949 to a fully-fledged income tax from 1950; (ii) change from tabulating gross income (up to 1949) to chargeable income (from 1950), and change from tabulating chargeable income (up to 1969) to gross income (from 1970), which motivated a sizeable correction (see text in source); (iii) from 1987 onwards, a wife electing to be assessed separately is counted as a separate tax unit.","Notes on breaks in the continuity of the series: (i) move from a graduated poll tax up to 1949 to a fully-fledged income tax from 1950; (ii) change from tabulating gross income (up to 1949) to chargeable income (from 1950), and change from tabulating chargeable income (up to 1969) to gross income (from 1970), which motivated a sizeable correction (see text in source); (iii) from 1987 onwards, a wife electing to be assessed separately is counted as a separate tax unit.","Notes on breaks in the continuity of the series: (i) move from a graduated poll tax up to 1949 to a fully-fledged income tax from 1950; (ii) change from tabulating gross income (up to 1949) to chargeable income (from 1950), and change from tabulating chargeable income (up to 1969) to gross income (from 1970), which motivated a sizeable correction (see text in source); (iii) from 1987 onwards, a wife electing to be assessed separately is counted as a separate tax unit.","Notes on breaks in the continuity of the series: (i) move from a graduated poll tax up to 1949 to a fully-fledged income tax from 1950; (ii) change from tabulating gross income (up to 1949) to chargeable income (from 1950), and change from tabulating chargeable income (up to 1969) to gross income (from 1970), which motivated a sizeable correction (see text in source); (iii) from 1987 onwards, a wife electing to be assessed separately is counted as a separate tax unit.","Notes on breaks in the continuity of the series: (i) move from a graduated poll tax up to 1949 to a fully-fledged income tax from 1950; (ii) change from tabulating gross income (up to 1949) to chargeable income (from 1950), and change from tabulating chargeable income (up to 1969) to gross income (from 1970), which motivated a sizeable correction (see text in source); (iii) from 1987 onwards, a wife electing to be assessed separately is counted as a separate tax unit.","Notes on breaks in the continuity of the series: (i) move from a graduated poll tax up to 1949 to a fully-fledged income tax from 1950; (ii) change from tabulating gross income (up to 1949) to chargeable income (from 1950), and change from tabulating chargeable income (up to 1969) to gross income (from 1970), which motivated a sizeable correction (see text in source); (iii) from 1987 onwards, a wife electing to be assessed separately is counted as a separate tax unit.","Notes on breaks in the continuity of the series: (i) move from a graduated poll tax up to 1949 to a fully-fledged income tax from 1950; (ii) change from tabulating gross income (up to 1949) to chargeable income (from 1950), and change from tabulating chargeable income (up to 1969) to gross income (from 1970), which motivated a sizeable correction (see text in source); (iii) from 1987 onwards, a wife electing to be assessed separately is counted as a separate tax unit.","Notes on breaks in the continuity of the series: (i) move from a graduated poll tax up to 1949 to a fully-fledged income tax from 1950; (ii) change from tabulating gross income (up to 1949) to chargeable income (from 1950), and change from tabulating chargeable income (up to 1969) to gross income (from 1970), which motivated a sizeable correction (see text in source); (iii) from 1987 onwards, a wife electing to be assessed separately is counted as a separate tax unit.","Notes on breaks in the continuity of the series: (i) move from a graduated poll tax up to 1949 to a fully-fledged income tax from 1950; (ii) change from tabulating gross income (up to 1949) to chargeable income (from 1950), and change from tabulating chargeable income (up to 1969) to gross income (from 1970), which motivated a sizeable correction (see text in source); (iii) from 1987 onwards, a wife electing to be assessed separately is counted as a separate tax unit.","Notes on breaks in the continuity of the series: (i) move from a graduated poll tax up to 1949 to a fully-fledged income tax from 1950; (ii) change from tabulating gross income (up to 1949) to chargeable income (from 1950), and change from tabulating chargeable income (up to 1969) to gross income (from 1970), which motivated a sizeable correction (see text in source); (iii) from 1987 onwards, a wife electing to be assessed separately is counted as a separate tax unit.","Notes on breaks in the continuity of the series: (i) move from a graduated poll tax up to 1949 to a fully-fledged income tax from 1950; (ii) change from tabulating gross income (up to 1949) to chargeable income (from 1950), and change from tabulating chargeable income (up to 1969) to gross income (from 1970), which motivated a sizeable correction (see text in source); (iii) from 1987 onwards, a wife electing to be assessed separately is counted as a separate tax unit.","Individuals aged 15+.","Individuals aged 15+ minus the number of married women and those not married but living together.",,"From www.globalfinancialdata.com. Index for year t is consumer price index for December, as fiscal year ends on June 30. ","Individuals aged 15+ minus the number of married women and those not married but living together.","Adults are individuals aged 15+.",,,,,,,,,,,,,,,,,,"The Pareto-Lorenz a coefficients were computed using the top shares estimates (from the top 0.05% share within the top 0.5% share): a=1/[1-log(S0.5%/S0.05%)/log(10)].","The inverted Pareto-Lorenz b coefficients were computed from the Pareto-Lorenz a coefficients using the formula b=a/(a-1). Alternatively they can be computed by using directly the top income shares estimates and the formula: b=1/[log(Skx%/Sx%)/log(k)].",,,,,
"Units","%","%","%","%","%","%","%","%","%","%","%","Thousand","Thousand","Nominal million Rupees","Dec. 2010=1.00","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees","Real 2010 Rupees",,,,,,,
"Data/No Data","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","1","1",,,,,
"Download/No Downloand","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",,,,,
"Keep decimals","2","2","2","2","2","2","2","2","2","2","2","3","3","5","7","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3",,,,,
"Show decimals","2","2","2","2","2","2","2","2","2","2","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2",,,,,
"Category","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Population units","Population units","Income","Price index","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Pareto-Lorenz coefficients","Pareto-Lorenz coefficients",,,,,
"Subcategory","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Number of adults","Number of tax units","Fiscal income control","Price index","Average income per tax unit","Average income per adult","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variable","Top 10% income share","Top 5% income share","Top 1% income share","Top 0.5% income share","Top 0.1% income share","Top 0.05% income share","Top 10-5% income share","Top 5-1% income share","Top 1-0.5% income share","Top 0.5-0.1% income share","Top 0.1-0.05% income share","Number of adults","Number of tax units","Fiscal income control","Price index","Average income per tax unit","Average income per adult","Top 10% average income","Top 5% average income","Top 1% average income","Top 0.5% average income","Top 0.1% average income","Bottom 90% average income","Top 10-5% average income","Top 5-1% average income","Top 1-0.5% average income","Top 0.5-0.1% average income","Top 0.1-0.01% average income","P90 income threshold","P95 income threshold","P99 income threshold","P99.5 income threshold","P99.9 income threshold","P99.99 income threshold","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient",,"1%","0.5 %","0.1%","0.05%"
"Subvariable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1933",,,,"18.355159953841","9.2457273401863844","6.5772254300128417",,,,"9.1094326136546151","2.6685019101735428","256.72500000000002","186.19900000000001","73.833417823993159",,,,,,,,,,,,,,,,,,,,,"1.8041274885556151","2.2435839020951938",,,"14.736348892147111","43.39785907686818","72.276147486675256"
